"","Tropical & Subtropical Dry Broadleaf Forests","Tropical & Subtropical Moist Broadleaf Forests","Temperate Broadleaf & Mixed Forests","Temperate Grasslands, Savannas & Shrublands","Tropical & Subtropical Coniferous Forests","Temperate Conifer Forests","Montane Grasslands & Shrublands","Mediterranean Forests, Woodlands & Scrub","Mangroves","Tropical & Subtropical Grasslands, Savannas & Shrubland","Deserts & Xeric Shrublands","Flooded Grasslands & Savannas","Boreal Forests/Taiga","Tundra"
"Aglaodorum griffithii Schott",1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Aglaonema modestum Schott ex Engl.",0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Alloschemone occidentalis Engl. & Krause",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alocasia ×amazonica",0,0,2,1,0,0,0,0,0,0,0,0,0,0
"Alocasia acuminata Schott",1,3,0,0,0,0,0,0,0,0,0,0,0,0
"Alocasia cucullata (Loureiro) G.Don",2,19,0,1,2,1,0,0,0,0,0,0,0,0
"Alocasia heterophylla Merr.",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Alocasia inornata Hallier f.",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Alocasia lauterbachiana (Engl.) A.Hay",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Alocasia longiloba Miq.",0,30,0,0,0,0,0,0,0,0,0,0,0,0
"Alocasia maquilingensis Merr.",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alocasia odora (G.Lodd.) Spach",0,5,1,0,0,0,0,0,0,0,0,0,0,0
"Alocasia perakensis Hemsl.",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Alocasia princeps Bull.",0,10,0,0,0,0,2,0,0,0,0,0,0,0
"Alocasia reversa N.E.Br.",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Alocasia robusta M.Hotta",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Alocasia sinuata N.E.Br.",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ambrosina bassii L.",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Amorphophallus angolensis (Schott) N.E.Br.",0,2,0,0,0,0,0,0,1,0,0,0,0,0
"Amorphophallus angolensis subsp. maculatus (N.E.Br.) Ittenb. ex Govaerts & Frodin",0,1,0,0,0,0,0,0,0,2,0,0,0,0
"Amorphophallus angolensis subsp. angolensis",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Amorphophallus paeoniifolius (Dennst.) Nicolson",6,28,0,0,0,0,0,0,0,16,0,0,0,0
"Amydrium humile Schott",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Anaphyllopsis americana (Engl.) A.Hay",0,12,0,0,0,0,0,0,1,0,0,0,0,0
"Anchomanes difformis Engl.",0,60,0,0,0,0,0,0,3,34,0,0,0,0
"Anthurium acaule (Jacq.) Schott",0,0,0,0,0,0,0,1,0,1,1,0,0,0
"Anubias barteri Schott",0,38,0,0,0,0,0,0,1,1,0,0,0,0
"Anubias barteri var. glabra N.E.Br.",0,12,0,0,0,0,0,0,0,1,0,0,0,0
"Anubias barteri var. caladiifolia Engl.",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Anubias barteri var. barteri",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Anubias barteri var. angustifolia (Engl.) W.Crusio",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Aridarum nicolsonii Bogner",0,1,0,0,0,0,0,0,2,0,0,0,0,0
"Arisaema amurense Maxim.",0,1,70,0,0,0,0,0,0,0,0,1,0,0
"Arisaema costatum Mart.",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Arisaema dracontium Schott",0,7,122,60,22,21,0,0,0,2,4,0,0,0
"Arisaema franchetianum Engl.",0,17,2,0,0,10,2,0,0,0,0,0,0,0
"Arisaema heterophyllum Blume",0,43,31,0,0,4,0,0,0,0,0,0,0,0
"Arisaema macrospathum Benth.",9,13,0,0,43,0,0,0,0,0,1,0,0,0
"Arisaema schimperianum Schott",0,1,0,0,0,0,10,0,0,0,0,0,0,0
"Arisaema speciosum (Wall.) Mart.",0,0,0,0,0,3,3,0,0,0,0,0,0,0
"Arisaema tortuosum Schott",0,2,1,0,0,3,3,0,0,1,0,0,0,0
"Arisaema tortuosum subsp. tortuosum",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Arisaema triphyllum (L.) Schott",0,0,394,109,0,39,0,0,0,0,0,0,6,0
"Arisarum vulgare Targ.Tozz.",0,0,0,0,0,1,0,80,0,0,0,0,0,0
"Arisarum vulgare subsp. vulgare",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Arisarum vulgare subsp. clusii (Schott) K.Richt.",0,0,1,0,0,0,0,9,0,0,0,0,0,0
"Arophyton buchetii Bogner",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Arum hygrophilum subsp. euxinum (R.R.Mill) Alpinar",0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Arum hygrophilum Boiss.",0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Biarum tenuifolium (L.) Schott",0,0,0,0,0,0,0,23,0,0,0,0,0,0
"Biarum tenuifolium subsp. arundanum (Boiss. & Reut.) Nyman",0,0,0,0,0,0,0,20,0,0,0,0,0,0
"Biarum tenuifolium subsp. abbreviatum (Schott) K.Richt.",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Biarum tenuifolium subsp. zelebori (Schott) P.C.Boyce",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Biarum tenuifolium subsp. tenuifolium",0,0,0,0,0,0,0,5,0,0,0,0,0,0
"Bognera recondita (Madison) S.Mayo & Nicolson",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Bucephalandra motleyana Schott",0,18,0,0,0,0,0,0,1,0,0,0,0,0
"Caladium lindenii (André) Madison",0,19,0,0,0,0,0,0,0,0,0,0,0,0
"Calla palustris L.",0,0,423,15,0,35,0,0,0,0,0,0,270,2
"Callopsis volkensii Engl.",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Carlephyton glaucophyllum Bogner",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cercestis mirabilis (N.E.Br.) Bogner",0,27,0,0,0,0,0,0,2,1,0,0,0,0
"Colletogyne perrieri Buchet",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colocasia esculenta (L.) Schott",9,155,59,6,4,25,1,6,1,54,8,2,0,0
"Colocasia esculenta subsp. esculenta",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Colocasia esculenta subsp. antiquorum (L.) Schott",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Croatiella integrifolia (Madison) E.G.Gonç.",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptocoryne lingua Becc. ex Engl.",1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Culcasia liberica N.E.Br.",0,23,0,0,0,0,0,0,3,2,0,0,0,0
"Cyrtosperma macrotum Becc. ex Engl.",0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Dieffenbachia aglaonematifolia Engl.",0,12,0,0,0,0,0,0,0,8,0,1,0,0
"Dracontioides desciscens Engl.",1,19,0,0,0,0,0,0,1,0,1,0,0,0
"Dracontium polyphyllum L.",0,17,0,0,0,0,0,0,3,0,0,0,0,0
"Dracunculus vulgaris Schott",0,0,4,1,0,3,0,23,0,0,1,0,1,0
"Eminium spiculatum (Blume) Schott",0,0,0,0,0,0,0,4,0,0,2,0,0,0
"Filarum manserichense Nicolson",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Gearum brasiliense N.E.Br.",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Gymnostachys anceps R.Br.",0,6,70,0,0,0,0,0,0,5,0,0,0,0
"Hapaline benthamiana Schott",4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Helicodiceros muscivorus Engl.",0,0,0,0,0,0,0,6,0,0,0,0,0,0
