"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Angelica_acutiloba",1,0,"closed",0,1
"Angelica_ampla",0.79,0.21,"closed",0,1
"Angelica_anomala",0.98,0.02,"closed",0,1
"Angelica_apaensis",0.69,0.31,"closed",1,1
"Angelica_arguta",0.86,0.14,"closed",0,1
"Angelica_biserrata",1,0,"closed",0,1
"Angelica_breweri",1,0,"closed",0,1
"Angelica_cartilaginomarginata",1,0,"closed",0,1
"Angelica_cincta",0.88,0.12,"closed",0,1
"Angelica_dahurica",0.94,0.06,"closed",0,1
"Angelica_decursiva",1,0,"closed",0,1
"Angelica_duclouxii",1,0,"closed",0,1
"Angelica_genuflexa",0.86,0.14,"closed",0,1
"Angelica_gigas",1,0,"closed",0,1
"Angelica_grayi",1,0,"closed",0,1
"Angelica_japonica",1,0,"closed",0,1
"Angelica_kangdingensis",1,0,"closed",0,1
"Angelica_keiskei",1,0,"closed",0,1
"Angelica_laxifoliata",1,0,"closed",0,1
"Angelica_lignescens",1,0,"closed",0,1
"Angelica_likiangensis",1,0,"closed",0,1
"Angelica_longicaudata",0.75,0.25,"closed",0,1
"Angelica_maowenensis",0.73,0.27,"closed",1,1
"Angelica_megaphylla",1,0,"closed",0,1
"Angelica_morii",1,0,"closed",0,1
"Angelica_nitida",0.29,0.71,"open",1,1
"Angelica_pinnata",0.69,0.31,"closed",1,1
"Angelica_polymorpha",1,0,"closed",0,1
"Angelica_pseudoselinum",0.83,0.17,"closed",0,1
"Angelica_pubescens",1,0,"closed",0,1
"Angelica_roseana",0.89,0.11,"closed",0,1
"Angelica_songpanensis",1,0,"closed",0,1
"Angelica_sylvestris",0.71,0.29,"closed",1,1
"Angelica_ursina",1,0,"closed",0,1
"Glehnia_littoralis",1,0,"closed",0,1
"Magadania_victoris",1,0,"closed",0,1
