"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Alphonsea_boniana",1,0,"closed",0,1
"Ambavia_gerrardii",1,0,"closed",0,1
"Anaxagorea_javanica",1,0,"closed",0,1
"Anaxagorea_luzonensis",1,0,"closed",0,1
"Anaxagorea_phaeocarpa",0.99,0.01,"closed",0,1
"Anaxagorea_silvatica",1,0,"closed",0,1
"Annickia_chlorantha",0.9,0.1,"closed",0,1
"Annickia_pilosa",0.6,0.4,"closed",1,1
"Annona_deceptrix",1,0,"closed",0,1
"Artabotrys_hexapetalus",0.95,0.05,"closed",0,1
"Asteranthe_asterias",0.9,0.1,"closed",0,1
"Bocageopsis_multiflora",0.94,0.06,"closed",0,1
"Bocageopsis_pleiosperma",1,0,"closed",0,1
"Cananga_odorata",0.91,0.09,"closed",0,1
"Cleistopholis_glauca",0.72,0.28,"closed",1,1
"Cremastosperma_brevipes",0.9,0.1,"closed",0,1
"Cremastosperma_cauliflorum",1,0,"closed",0,1
"Cremastosperma_leiophyllum",1,0,"closed",0,1
"Cremastosperma_megalophyllum",1,0,"closed",0,1
"Cymbopetalum_brasiliense",0.96,0.04,"closed",0,1
"Cymbopetalum_torulosum",1,0,"closed",0,1
"Dasymaschalon_sootepense",1,0,"closed",0,1
"Deeringothamnus_rugelii",1,0,"closed",0,1
"Desmopsis_microcarpa",1,0,"closed",0,1
"Desmopsis_schippii",1,0,"closed",0,1
"Desmos_chinensis",0.98,0.02,"closed",0,1
"Diclinanona_calycina",0.98,0.02,"closed",0,1
"Diclinanona_tessmannii",1,0,"closed",0,1
"Dielsiothamnus_divaricatus",1,0,"closed",0,1
"Duckeanthus_grandiflorus",1,0,"closed",0,1
"Duguetia_cauliflora",1,0,"closed",0,1
"Duguetia_hadrantha",1,0,"closed",0,1
"Duguetia_staudtii",0.91,0.09,"closed",0,1
"Enicosanthum_paradoxum",0.78,0.22,"closed",0,1
"Ephedranthus_boliviensis",1,0,"closed",0,1
"Fenerivia_chapelieri",1,0,"closed",0,1
"Fenerivia_ghesquiereana",1,0,"closed",0,1
"Fissistigma_glaucescens",1,0,"closed",0,1
"Fissistigma_uonicum",1,0,"closed",0,1
"Fitzalania_heteropetala",1,0,"closed",0,1
"Friesodielsia_desmoides",1,0,"closed",0,1
"Fusaea_longifolia",0.99,0.01,"closed",0,1
"Fusaea_peruviana",1,0,"closed",0,1
"Goniothalamus_griffithii",1,0,"closed",0,1
"Greenwayodendron_oliveri",0.96,0.04,"closed",0,1
"Guatteria_aeruginosa",1,0,"closed",0,1
"Guatteria_anomala",1,0,"closed",0,1
"Guatteria_pudica",1,0,"closed",0,1
"Guatteria_sellowiana",0.72,0.28,"closed",1,1
"Haplostichanthus_longirostris",0.95,0.05,"closed",0,1
"Hexalobus_crispiflorus",0.77,0.23,"closed",0,1
"Hexalobus_salicifolius",0.95,0.05,"closed",0,1
"Hornschuchia_citriodora",1,0,"closed",0,1
"Isolona_campanulata",1,0,"closed",0,1
"Isolona_cooperi",1,0,"closed",0,1
"Klarobelia_megalocarpa",1,0,"closed",0,1
"Klarobelia_stipitata",1,0,"closed",0,1
"Letestudoxa_bella",0.91,0.09,"closed",0,1
"Letestudoxa_glabrifolia",1,0,"closed",0,1
"Lettowianthus_stellatus",0.62,0.38,"closed",1,1
"Maasia_discolor",1,0,"closed",0,1
"Maasia_glauca",0.92,0.08,"closed",0,1
"Maasia_sumatrana",0.94,0.06,"closed",0,1
"Malmea_dielsiana",1,0,"closed",0,1
"Malmea_surinamensis",1,0,"closed",0,1
"Meiocarpidium_lepidotum",0.86,0.14,"closed",0,1
"Meiogyne_cylindrocarpa",0.15,0.85,"open",1,0
"Meiogyne_stenopetala",1,0,"closed",0,1
"Melodorum_fruticosum",0.9,0.1,"closed",0,1
"Mezzettia_parviflora",0.97,0.03,"closed",0,1
"Miliusa_horsfieldii",0.63,0.37,"closed",1,1
"Mischogyne_michelioides",0,1,"open",1,0
"Mitrephora_teysmannii",0.93,0.07,"closed",0,1
"Mkilua_fragrans",0.77,0.23,"closed",0,1
"Monanthotaxis_whytei",1,0,"closed",0,1
"Monocarpia_marginalis",1,0,"closed",0,1
"Monodora_crispata",0.91,0.09,"closed",0,1
"Monodora_myristica",0.82,0.18,"closed",0,1
"Mosannona_pacifica",1,0,"closed",0,1
"Mosannona_papillosa",1,0,"closed",0,1
"Mosannona_vasquezii",1,0,"closed",0,1
"Mwasumbia_alba",1,0,"closed",0,1
"Neostenanthera_myristicifolia",0.72,0.28,"closed",1,1
"Onychopetalum_periquino",1,0,"closed",0,1
"Ophrypetalum_odoratum",0.6,0.4,"closed",1,1
"Orophea_celebica",1,0,"closed",0,1
"Orophea_enterocarpa",0.96,0.04,"closed",0,1
"Orophea_polycarpa",1,0,"closed",0,1
"Oxandra_asbeckii",0.96,0.04,"closed",0,1
"Oxandra_espintana",0.97,0.03,"closed",0,1
"Oxandra_euneura",1,0,"closed",0,1
"Oxandra_longipetala",0.79,0.21,"closed",0,1
"Oxandra_macrophylla",1,0,"closed",0,1
"Oxandra_polyantha",1,0,"closed",0,1
"Oxandra_sphaerocarpa",1,0,"closed",0,1
"Oxandra_venezuelana",0.93,0.07,"closed",0,1
"Oxandra_xylopioides",1,0,"closed",0,1
"Piptostigma_fasciculatum",0.88,0.12,"closed",0,1
"Piptostigma_mortehani",1,0,"closed",0,1
"Piptostigma_pilosum",1,0,"closed",0,1
"Polyalthia_cauliflora",0.93,0.07,"closed",0,1
"Polyalthia_celebica",1,0,"closed",0,1
"Polyalthia_debilis",1,0,"closed",0,1
"Polyalthia_longifolia",0.82,0.18,"closed",0,1
"Polyalthia_obliqua",0.94,0.06,"closed",0,1
"Polyalthia_rumphii",1,0,"closed",0,1
"Polyalthia_stenopetala",1,0,"closed",0,1
"Polyalthia_suberosa",1,0,"closed",0,1
"Polyceratocarpus_microtrichus",1,0,"closed",0,1
"Popowia_pisocarpa",1,0,"closed",0,1
"Porcelia_steinbachii",0.67,0.33,"closed",1,1
"Pseudartabotrys_le-testui",0.8,0.2,"closed",0,1
"Pseudephedranthus_fragrans",0.88,0.12,"closed",0,1
"Pseudomalmea_diclina",1,0,"closed",0,1
"Pseudoxandra_lucida",0.98,0.02,"closed",0,1
"Pseudoxandra_polyphleba",1,0,"closed",0,1
"Pseuduvaria_megalopus",1,0,"closed",0,1
"Pseuduvaria_rugosa",0.92,0.08,"closed",0,1
"Ruizodendron_ovale",0.97,0.03,"closed",0,1
"Sageraea_lanceolata",0.85,0.15,"closed",0,1
"Sanrafaelia_ruffonammari",1,0,"closed",0,1
"Sapranthus_microcarpus",0.87,0.13,"closed",0,1
"Sapranthus_viridiflorus",1,0,"closed",0,1
"Stelechocarpus_burahol",1,0,"closed",0,1
"Stenanona_costaricensis",1,0,"closed",0,1
"Stenanona_panamensis",1,0,"closed",0,1
"Tetrameranthus_duckei",1,0,"closed",0,1
"Tetrameranthus_laomae",1,0,"closed",0,1
"Trigynaea_duckei",0.96,0.04,"closed",0,1
"Trigynaea_lanceipetala",1,0,"closed",0,1
"Trivalvaria_macrophylla",0.87,0.13,"closed",0,1
"Unonopsis_pittieri",0.88,0.12,"closed",0,1
"Unonopsis_rufescens",0.96,0.04,"closed",0,1
"Unonopsis_stipitata",0.98,0.02,"closed",0,1
"Uvaria_chamae",0.26,0.74,"open",1,1
"Uvaria_grandiflora",0.98,0.02,"closed",0,1
"Uvaria_lucida",0.42,0.58,"open",1,1
"Uvariastrum_pynaertii",0.87,0.13,"closed",0,1
"Uvariodendron_kirkii",1,0,"closed",0,1
"Uvariodendron_molundense",0.87,0.13,"closed",0,1
"Uvariopsis_korupensis",1,0,"closed",0,1
"Xylopia_frutescens",0.81,0.19,"closed",0,1
"Xylopia_hypolampra",0.89,0.11,"closed",0,1
"Xylopia_peruviana",1,0,"closed",0,1
