"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Acanthorrhinum_ramosissimum",0,1,"open",1,0
"Anarrhinum_bellidifolium",0.19,0.81,"open",1,0
"Anarrhinum_duriminium",0.56,0.44,"closed",1,1
"Anarrhinum_fruticosum",0,1,"open",1,0
"Anarrhinum_laxiflorum",0,1,"open",1,0
"Antirrhinum_australe",0.04,0.96,"open",1,0
"Antirrhinum_cirrhigerum",0,1,"open",1,0
"Antirrhinum_controversum",0,1,"open",1,0
"Antirrhinum_graniticum",0,1,"open",1,0
"Antirrhinum_grosii",0,1,"open",1,0
"Antirrhinum_hispanicum",0,1,"open",1,0
"Antirrhinum_latifolium",0.43,0.57,"open",1,1
"Antirrhinum_linkianum",0.3,0.7,"open",1,1
"Antirrhinum_litigiosum",0,1,"open",1,0
"Antirrhinum_lopesianum",0,1,"open",1,0
"Antirrhinum_majus",0.71,0.29,"closed",1,1
"Antirrhinum_meonanthum",0.26,0.74,"open",1,1
"Antirrhinum_microphyllum",0,1,"open",1,0
"Antirrhinum_molle",0.33,0.67,"open",1,1
"Antirrhinum_mollissimum",0,1,"open",1,0
"Antirrhinum_onubense",0,1,"open",1,0
"Antirrhinum_pertegasii",0,1,"open",1,0
"Antirrhinum_pulverulentum",0,1,"open",1,0
"Antirrhinum_sempervirens",1,0,"closed",0,1
"Antirrhinum_siculum",0,1,"open",1,0
"Antirrhinum_subbaeticum",0,1,"open",1,0
"Antirrhinum_tortuosum",0.08,0.92,"open",1,0
"Antirrhinum_valentinum",0,1,"open",1,0
"Asarina_procumbens",0.43,0.57,"open",1,1
"Chaenorhinum_calycinum",0,1,"open",1,0
"Chaenorhinum_crassifolium",0,1,"open",1,0
"Chaenorhinum_exile",0,1,"open",1,0
"Chaenorhinum_flexuosum",0.09,0.91,"open",1,0
"Chaenorhinum_formenterae",0,1,"open",1,0
"Chaenorhinum_glareosum",0,1,"open",1,0
"Chaenorhinum_grandiflorum",0,1,"open",1,0
"Chaenorhinum_litorale",1,0,"closed",0,1
"Chaenorhinum_macropodum",0,1,"open",1,0
"Chaenorhinum_minus",0.79,0.21,"closed",0,1
"Chaenorhinum_raveyi",0,1,"open",1,0
"Chaenorhinum_reyesii",0,1,"open",1,0
"Chaenorhinum_robustum",0,1,"open",1,0
"Chaenorhinum_rubrifolium",0.07,0.93,"open",1,0
"Chaenorhinum_segoviense",0,1,"open",1,0
"Chaenorhinum_serpyllifolium",0,1,"open",1,0
"Chaenorhinum_tenellum",0,1,"open",1,0
"Chaenorhinum_villosum",0,1,"open",1,0
"Cymbalaria_aequitriloba",0,1,"open",1,0
"Cymbalaria_fragilis",0,1,"open",1,0
"Cymbalaria_glutinosa_subsp._brevicalcarata",0,1,"open",1,0
"Cymbalaria_hepaticifolia",0,1,"open",1,0
"Cymbalaria_longipes",0,1,"open",1,0
"Cymbalaria_microcalyx_subsp._minor",0,1,"open",1,0
"Cymbalaria_microcalyx",0,1,"open",1,0
"Cymbalaria_muelleri",0,1,"open",1,0
"Cymbalaria_muralis",0.74,0.26,"closed",1,1
"Cymbalaria_pallida",1,0,"closed",0,1
"Gadoria_falukei",0,1,"open",1,0
"Galvezia_fruticosa",0.4,0.6,"open",1,1
"Galvezia_lanceolata",1,0,"closed",0,1
"Gambelia_juncea",0,1,"open",1,0
"Gambelia_speciosa",0,1,"open",1,0
"Kickxia_cirrhosa",0,1,"open",1,0
"Kickxia_commutata",0.07,0.93,"open",1,0
"Kickxia_elatine",0.62,0.38,"closed",1,1
"Kickxia_elatine_subsp._crinita",0.24,0.76,"open",1,0
"Kickxia_lanigera",0,1,"open",1,0
"Kickxia_spuria",0.53,0.47,"closed",1,1
