"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Aciphylla_aurea",0.11,0.89,"open",1,0
"Aciphylla_colensoi",0.62,0.38,"closed",1,1
"Aciphylla_congesta",0.83,0.17,"closed",0,1
"Aciphylla_crenulata",0.35,0.65,"open",1,1
"Aciphylla_dissecta",1,0,"closed",0,1
"Aciphylla_dobsonii",0,1,"open",1,0
"Aciphylla_hectori",0,1,"open",1,0
"Aciphylla_horrida",0.32,0.68,"open",1,1
"Aciphylla_kirkii",0,1,"open",1,0
"Aciphylla_lyallii",0.8,0.2,"closed",0,1
"Aciphylla_monroi",0.27,0.73,"open",1,1
"Aciphylla_montana",0,1,"open",1,0
"Aciphylla_pinnatifida",0.62,0.38,"closed",1,1
"Aciphylla_scott-thomsonii",0,1,"open",1,0
"Aciphylla_similis",0.2,0.8,"open",1,0
"Aciphylla_simplex",0,1,"open",1,0
"Aciphylla_simplicifolia",0.17,0.83,"open",1,0
"Aciphylla_squarrosa",1,0,"closed",0,1
"Aciphylla_subflabellata",0,1,"open",1,0
"Aciphylla_traillii",1,0,"closed",0,1
"Aciphylla_traversii",1,0,"closed",0,1
"Acronema_astrantiifolium",0.69,0.31,"closed",1,1
"Aegopodium_alpestre",0.79,0.21,"closed",0,1
"Aegopodium_kashmiricum",0.17,0.83,"open",1,0
"Aegopodium_podagraria",0.8,0.2,"closed",0,1
"Aethusa_cynapium",0.98,0.02,"closed",0,1
"Afroligusticum_elliotii",0.83,0.17,"closed",0,1
"Afroligusticum_petitianum",0.27,0.73,"open",1,1
"Ainsworthia_trachycarpa",0,1,"open",1,0
"Ammoides_pusilla",0.02,0.98,"open",1,0
"Angelica_acutiloba",1,0,"closed",0,1
"Angelica_ampla",0.79,0.21,"closed",0,1
"Angelica_anomala",0.98,0.02,"closed",0,1
"Angelica_apaensis",0.69,0.31,"closed",1,1
"Angelica_arguta",0.86,0.14,"closed",0,1
"Angelica_biserrata",1,0,"closed",0,1
"Angelica_breweri",1,0,"closed",0,1
"Angelica_cartilaginomarginata",1,0,"closed",0,1
"Angelica_cincta",0.88,0.12,"closed",0,1
"Angelica_dahurica",0.94,0.06,"closed",0,1
"Angelica_decursiva",1,0,"closed",0,1
"Angelica_genuflexa",0.86,0.14,"closed",0,1
"Angelica_gigas",1,0,"closed",0,1
"Angelica_grayi",1,0,"closed",0,1
"Angelica_japonica",1,0,"closed",0,1
"Angelica_kangdingensis",1,0,"closed",0,1
"Angelica_keiskei",1,0,"closed",0,1
"Angelica_laxifoliata",1,0,"closed",0,1
"Angelica_lignescens",1,0,"closed",0,1
"Angelica_maowenensis",0.73,0.27,"closed",1,1
"Angelica_megaphylla",1,0,"closed",0,1
"Angelica_morii",1,0,"closed",0,1
"Angelica_nitida",0.29,0.71,"open",1,1
"Angelica_pinnata",0.69,0.31,"closed",1,1
"Angelica_polymorpha",1,0,"closed",0,1
"Angelica_pseudoselinum",0.83,0.17,"closed",0,1
"Angelica_pubescens",1,0,"closed",0,1
"Angelica_roseana",0.89,0.11,"closed",0,1
"Angelica_sinensis",0.83,0.17,"closed",0,1
"Angelica_sylvestris",0.71,0.29,"closed",1,1
"Anisosciadium_isosciadium",0,1,"open",1,0
"Anisosciadium_orientale",0.33,0.67,"open",1,1
"Anisotome_aromatica",0.3,0.7,"open",1,1
"Anisotome_flexuosa",0.22,0.78,"open",1,0
"Anisotome_imbricata",0.27,0.73,"open",1,1
"Anisotome_lyallii",0.8,0.2,"closed",0,1
"Anisotome_procumbens",1,0,"closed",0,1
"Anthriscus_caucalis",0.44,0.56,"open",1,1
"Anthriscus_lamprocarpa",0,1,"open",1,0
"Anthriscus_nitidus",1,0,"closed",0,1
"Anthriscus_schmalhausenii",1,0,"closed",0,1
"Anthriscus_sylvestris",0.78,0.22,"closed",0,1
"Aphanopleura_capillifolia",0,1,"open",1,0
"Apium_chilense",0.5,0.5,"closed",1,1
"Apium_commersonii",0,1,"open",1,0
"Apium_insulare",1,0,"closed",0,1
"Apium_panul",0.33,0.67,"open",1,1
"Apium_prostratum",0.35,0.65,"open",1,1
"Apium_sellowianum",0.46,0.54,"open",1,1
"Arafoe_aromatica",1,0,"closed",0,1
"Arcuatopterus_thalictrioideus",1,0,"closed",0,1
"Arracacia_bracteata",1,0,"closed",0,1
"Arracacia_brandegeei",0.23,0.77,"open",1,0
"Arracacia_nelsonii",0.95,0.05,"closed",0,1
"Arracacia_tolucensis",0.71,0.29,"closed",1,1
"Artedia_squamata",0,1,"open",1,0
"Astomaea_seselifolia",0,1,"open",1,0
"Astrodaucus_orientalis",0.66,0.34,"closed",1,1
"Athamanta_cretensis",1,0,"closed",0,1
"Aulacospermum_anomalum",0.07,0.93,"open",1,0
"Aulacospermum_simplex",0.05,0.95,"open",1,0
"Azilia_eryngioides",1,0,"closed",0,1
"Berula_erecta",0.48,0.52,"open",1,1
"Bifora_radians",0.61,0.39,"closed",1,1
"Bilacunaria_microcarpa",0.4,0.6,"open",1,1
"Bunium_alpinum",0,1,"open",1,0
"Bunium_balearicum",0,1,"open",1,0
"Bunium_bulbocastanum",0.75,0.25,"closed",0,1
"Bunium_caroides",1,0,"closed",0,1
"Bunium_cornigerum",1,0,"closed",0,1
"Bunium_elegans",0.71,0.29,"closed",1,1
"Bunium_ferulaceum",0.02,0.98,"open",1,0
"Bunium_pachypodum",0,1,"open",1,0
"Bunium_paucifolium",0.71,0.29,"closed",1,1
"Bupleurum_acutifolium",0,1,"open",1,0
"Bupleurum_album",0,1,"open",1,0
"Bupleurum_angulosum",0.89,0.11,"closed",0,1
"Bupleurum_balansae",0.25,0.75,"open",1,0
"Bupleurum_barceloi",0,1,"open",1,0
"Bupleurum_benoistii",0,1,"open",1,0
"Bupleurum_candollei",0.93,0.07,"closed",0,1
"Bupleurum_chaishoui",0.5,0.5,"closed",1,1
