"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Acanthospermum_australe",0.54,0.46,"closed",1,1
"Acanthospermum_hispidum",0.31,0.69,"open",1,1
"Acanthospermum_microcarpum",0.71,0.29,"closed",1,1
"Agoseris_retrorsa",0.53,0.47,"closed",1,1
"Alfredia_cernua",0.75,0.25,"closed",0,1
"Alfredia_nivea",0.12,0.88,"open",1,0
"Ancathia_igniaria",0,1,"open",1,0
"Andryala_integrifolia",0.23,0.77,"open",1,0
"Anteremanthus_hatschbachii",0,1,"open",1,0
"Arnica_dealbata",1,0,"closed",0,1
"Arnica_longifolia",0.8,0.2,"closed",0,1
"Arnica_mallotopus",1,0,"closed",0,1
"Arnica_unalaschcensis",0.25,0.75,"open",1,0
"Arnoseris_minima",0.68,0.32,"closed",1,1
"Atractylis_cancellata",0.01,0.99,"open",1,0
"Atractylis_carduus",0,1,"open",1,0
"Atractylodes_koreana",1,0,"closed",0,1
"Atractylodes_lancea",0.85,0.15,"closed",0,1
"Bidens_alba",0.83,0.17,"closed",0,1
"Bidens_amplissima",1,0,"closed",0,1
"Bidens_andicola",0.49,0.51,"open",1,1
"Bidens_beckii",0.99,0.01,"closed",0,1
"Bidens_cernua",0.64,0.36,"closed",1,1
"Bidens_conjuncta",1,0,"closed",0,1
"Bidens_cosmoides",1,0,"closed",0,1
"Bidens_sandvicensis",0,1,"open",1,0
"Brickellia_cordifolia",1,0,"closed",0,1
"Brickellia_grandiflora",0.7,0.3,"closed",1,1
"Brickellia_spinulosa",0.3,0.7,"open",1,1
"Callicephalus_nitens",0,1,"open",1,0
"Calycadenia_hooveri",0,1,"open",1,0
"Calycadenia_multiglandulosa",0.32,0.68,"open",1,1
"Calycadenia_pauciflora",0,1,"open",1,0
"Calycadenia_spicata",0,1,"open",1,0
"Cardopatium_corymbosum",0,1,"open",1,0
"Carduus_acanthoides",0.82,0.18,"closed",0,1
"Carduus_carlinoides",0.63,0.37,"closed",1,1
"Carduus_defloratus",1,0,"closed",0,1
