"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Adenocalymma_adenophorum",1,0,"closed",0,1
"Adenocalymma_bracteatum",0.78,0.22,"closed",0,1
"Adenocalymma_bracteosum",0.89,0.11,"closed",0,1
"Adenocalymma_campicola",0.14,0.86,"open",1,0
"Adenocalymma_cymbalum",1,0,"closed",0,1
"Adenocalymma_impressum",0.96,0.04,"closed",0,1
"Adenocalymma_moringifolium",1,0,"closed",0,1
"Adenocalymma_salmoneum",1,0,"closed",0,1
"Adenocalymma_subincanum",0.92,0.08,"closed",0,1
"Adenocalymma_trichocladum",0.38,0.62,"open",1,1
"Amphilophium_aschersonii",0.97,0.03,"closed",0,1
"Amphilophium_bauhinioides",1,0,"closed",0,1
"Amphilophium_crucigerum",0.75,0.25,"closed",0,1
"Amphilophium_elongatum",0.36,0.64,"open",1,1
"Amphilophium_frutescens",0.83,0.17,"closed",0,1
"Amphilophium_granulosum",0.88,0.12,"closed",0,1
"Amphilophium_magnoliifolium",0.96,0.04,"closed",0,1
"Amphilophium_nunezii",1,0,"closed",0,1
"Amphilophium_paniculatum",0.83,0.17,"closed",0,1
"Amphilophium_parkeri",0.88,0.12,"closed",0,1
"Amphilophium_rodriguesii",0.95,0.05,"closed",0,1
"Anemopaegma_floridum",0.93,0.07,"closed",0,1
"Anemopaegma_foetidum",1,0,"closed",0,1
"Anemopaegma_laeve",0.23,0.77,"open",1,0
"Anemopaegma_robustum",0.9,0.1,"closed",0,1
"Bignonia_bracteomana",0.98,0.02,"closed",0,1
"Bignonia_callistegioides",0.39,0.61,"open",1,1
"Bignonia_capreolata",0.98,0.02,"closed",0,1
"Bignonia_corymbosa",0.74,0.26,"closed",1,1
"Bignonia_hyacinthina",0.94,0.06,"closed",0,1
"Bignonia_microcalyx",0.83,0.17,"closed",0,1
"Bignonia_nocturna",0.97,0.03,"closed",0,1
"Bignonia_prieurei",1,0,"closed",0,1
"Bignonia_uleana",1,0,"closed",0,1
"Cuspidaria_cinerea",1,0,"closed",0,1
"Cuspidaria_convoluta",0.57,0.43,"closed",1,1
"Cuspidaria_inaequalis",0.91,0.09,"closed",0,1
"Cuspidaria_lateriflora",0.42,0.58,"open",1,1
"Cuspidaria_sceptrum",0.14,0.86,"open",1,0
"Cuspidaria_subincana",0.92,0.08,"closed",0,1
"Dolichandra_cynanchoides",0.14,0.86,"open",1,0
"Dolichandra_quadrivalvis",0.55,0.45,"closed",1,1
"Dolichandra_unguis-cati",0.69,0.31,"closed",1,1
"Fridericia_chica",0.76,0.24,"closed",0,1
"Fridericia_cinerea",0.37,0.63,"open",1,1
"Fridericia_cinnamomea",0.53,0.47,"closed",1,1
"Fridericia_conjugata",0.8,0.2,"closed",0,1
"Fridericia_dispar",0.34,0.66,"open",1,1
"Fridericia_erubescens",0.25,0.75,"open",1,0
"Fridericia_leucopogon",0.78,0.22,"closed",0,1
"Fridericia_nigrescens",0.94,0.06,"closed",0,1
"Fridericia_oligantha",0.88,0.12,"closed",0,1
"Fridericia_patellifera",0.97,0.03,"closed",0,1
"Fridericia_platyphylla",0.41,0.59,"open",1,1
"Fridericia_prancei",1,0,"closed",0,1
"Fridericia_pubescens",0.75,0.25,"closed",0,1
"Fridericia_rego",0.84,0.16,"closed",0,1
"Fridericia_speciosa",0.62,0.38,"closed",1,1
"Fridericia_spicata",0.9,0.1,"closed",0,1
"Fridericia_subincana",1,0,"closed",0,1
"Fridericia_trailii",0.98,0.02,"closed",0,1
"Fridericia_triplinervia",0.59,0.41,"closed",1,1
"Lundia_cordata",0.74,0.26,"closed",1,1
"Lundia_corymbifera",0.85,0.15,"closed",0,1
"Lundia_densiflora",0.88,0.12,"closed",0,1
"Lundia_spruceana",1,0,"closed",0,1
"Lundia_virginalis",0.62,0.38,"closed",1,1
"Manaosella_cordifolia",0.86,0.14,"closed",0,1
"Mansoa_difficilis",0.84,0.16,"closed",0,1
"Mansoa_hirsuta",0.18,0.82,"open",1,0
"Mansoa_standleyi",1,0,"closed",0,1
"Mansoa_verrucifera",0.91,0.09,"closed",0,1
"Martinella_iquitoensis",1,0,"closed",0,1
"Martinella_obovata",0.92,0.08,"closed",0,1
"Neojobertia_candolleana",0.18,0.82,"open",1,0
"Neojobertia_mirabilis",0.5,0.5,"closed",1,1
"Pachyptera_aromatica",1,0,"closed",0,1
"Perianthomega_vellozoi",0.69,0.31,"closed",1,1
"Pleonotoma_jasminifolia",0.88,0.12,"closed",0,1
"Pleonotoma_stichadenia",0.54,0.46,"closed",1,1
"Pyrostegia_venusta",0.67,0.33,"closed",1,1
"Stizophyllum_inaequilaterum",0.95,0.05,"closed",0,1
"Stizophyllum_perforatum",0.57,0.43,"closed",1,1
"Tanaecium_bilabiatum",0.9,0.1,"closed",0,1
"Tanaecium_caudiculatum",1,0,"closed",0,1
"Tanaecium_crucigerum",0.43,0.57,"open",1,1
"Tanaecium_pyramidatum",0.85,0.15,"closed",0,1
"Tanaecium_revillae",1,0,"closed",0,1
"Tanaecium_selloi",0.76,0.24,"closed",0,1
"Tanaecium_tetragonolobum",0.9,0.1,"closed",0,1
"Tanaecium_truncatum",0.95,0.05,"closed",0,1
"Tynanthus_elegans",0.88,0.12,"closed",0,1
"Tynanthus_panurensis",1,0,"closed",0,1
"Tynanthus_polyanthus",0.96,0.04,"closed",0,1
"Tynanthus_villosus",1,0,"closed",0,1
"Xylophragma_harleyi",0.59,0.41,"closed",1,1
"Xylophragma_myrianthum",0.68,0.32,"closed",1,1
