"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Aciphylla_aurea",0.11,0.89,"open",1,0
"Aciphylla_congesta",0.83,0.17,"closed",0,1
"Aciphylla_monroi",0.27,0.73,"open",1,1
"Aciphylla_simplicifolia",0.17,0.83,"open",1,0
"Aciphylla_squarrosa",1,0,"closed",0,1
"Aciphylla_subflabellata",0,1,"open",1,0
"Aciphylla_traversii",1,0,"closed",0,1
"Acronema_astrantiifolium",0.69,0.31,"closed",1,1
"Aegopodium_alpestre",0.79,0.21,"closed",0,1
"Aegopodium_kashmiricum",0.17,0.83,"open",1,0
"Aegopodium_podagraria",0.8,0.2,"closed",0,1
"Aethusa_cynapium",0.98,0.02,"closed",0,1
"Afroligusticum_elliotii",0.83,0.17,"closed",0,1
"Afroligusticum_petitianum",0.27,0.73,"open",1,1
"Ainsworthia_trachycarpa",0,1,"open",1,0
"Ammoides_pusilla",0.02,0.98,"open",1,0
"Angelica_acutiloba",1,0,"closed",0,1
"Angelica_ampla",0.79,0.21,"closed",0,1
"Angelica_anomala",0.98,0.02,"closed",0,1
"Angelica_apaensis",0.69,0.31,"closed",1,1
"Angelica_arguta",0.86,0.14,"closed",0,1
"Angelica_biserrata",1,0,"closed",0,1
"Angelica_breweri",1,0,"closed",0,1
"Angelica_cartilaginomarginata",1,0,"closed",0,1
"Angelica_cincta",0.88,0.12,"closed",0,1
"Angelica_dahurica",0.94,0.06,"closed",0,1
"Angelica_decursiva",1,0,"closed",0,1
"Angelica_duclouxii",1,0,"closed",0,1
"Angelica_genuflexa",0.86,0.14,"closed",0,1
"Angelica_gigas",1,0,"closed",0,1
"Angelica_grayi",1,0,"closed",0,1
"Angelica_japonica",1,0,"closed",0,1
"Angelica_kangdingensis",1,0,"closed",0,1
"Angelica_keiskei",1,0,"closed",0,1
"Angelica_laxifoliata",1,0,"closed",0,1
"Angelica_lignescens",1,0,"closed",0,1
"Angelica_likiangensis",1,0,"closed",0,1
"Angelica_longicaudata",0.75,0.25,"closed",0,1
"Angelica_maowenensis",0.73,0.27,"closed",1,1
"Angelica_megaphylla",1,0,"closed",0,1
"Angelica_morii",1,0,"closed",0,1
"Angelica_nitida",0.29,0.71,"open",1,1
"Angelica_pinnata",0.69,0.31,"closed",1,1
"Angelica_polymorpha",1,0,"closed",0,1
"Angelica_pseudoselinum",0.83,0.17,"closed",0,1
"Angelica_pubescens",1,0,"closed",0,1
"Angelica_roseana",0.89,0.11,"closed",0,1
"Angelica_sinensis",0.83,0.17,"closed",0,1
"Angelica_songpanensis",1,0,"closed",0,1
"Angelica_sylvestris",0.71,0.29,"closed",1,1
"Angelica_ursina",1,0,"closed",0,1
"Anisosciadium_isosciadium",0,1,"open",1,0
"Anisosciadium_orientale",0.33,0.67,"open",1,1
"Anisotome_aromatica",0.3,0.7,"open",1,1
"Anthriscus_caucalis",0.44,0.56,"open",1,1
"Anthriscus_lamprocarpa",0,1,"open",1,0
"Anthriscus_nitidus",1,0,"closed",0,1
"Anthriscus_schmalhausenii",1,0,"closed",0,1
"Anthriscus_sylvestris",0.78,0.22,"closed",0,1
"Aphanopleura_capillifolia",0,1,"open",1,0
"Apium_chilense",0.5,0.5,"closed",1,1
"Apium_commersonii",0,1,"open",1,0
"Apium_insulare",1,0,"closed",0,1
"Apium_panul",0.33,0.67,"open",1,1
"Apium_prostratum",0.35,0.65,"open",1,1
"Apium_sellowianum",0.46,0.54,"open",1,1
"Arafoe_aromatica",1,0,"closed",0,1
"Arcuatopterus_thalictrioideus",1,0,"closed",0,1
"Arracacia_bracteata",1,0,"closed",0,1
"Arracacia_brandegeei",0.23,0.77,"open",1,0
"Arracacia_nelsonii",0.95,0.05,"closed",0,1
"Arracacia_tolucensis",0.71,0.29,"closed",1,1
"Artedia_squamata",0,1,"open",1,0
"Astomaea_seselifolia",0,1,"open",1,0
"Astrodaucus_orientalis",0.66,0.34,"closed",1,1
"Athamanta_cretensis",1,0,"closed",0,1
"Aulacospermum_anomalum",0.07,0.93,"open",1,0
"Aulacospermum_simplex",0.05,0.95,"open",1,0
"Azilia_eryngioides",1,0,"closed",0,1
"Berula_erecta",0.48,0.52,"open",1,1
"Bifora_radians",0.61,0.39,"closed",1,1
"Bilacunaria_microcarpa",0.4,0.6,"open",1,1
"Bunium_alpinum",0,1,"open",1,0
"Bunium_balearicum",0,1,"open",1,0
"Bunium_bulbocastanum",0.75,0.25,"closed",0,1
"Bunium_caroides",1,0,"closed",0,1
"Bunium_cornigerum",1,0,"closed",0,1
"Bunium_elegans",0.71,0.29,"closed",1,1
"Bunium_ferulaceum",0.02,0.98,"open",1,0
"Bunium_pachypodum",0,1,"open",1,0
"Bunium_paucifolium",0.71,0.29,"closed",1,1
"Bupleurum_acutifolium",0,1,"open",1,0
"Bupleurum_album",0,1,"open",1,0
"Bupleurum_angulosum",0.89,0.11,"closed",0,1
"Bupleurum_balansae",0.25,0.75,"open",1,0
"Bupleurum_barceloi",0,1,"open",1,0
"Bupleurum_benoistii",0,1,"open",1,0
"Bupleurum_candollei",0.93,0.07,"closed",0,1
"Bupleurum_chaishoui",0.5,0.5,"closed",1,1
"Bupleurum_chinense",0.85,0.15,"closed",0,1
"Bupleurum_commelynoideum",0.57,0.43,"closed",1,1
"Bupleurum_dumosum",0,1,"open",1,0
"Bupleurum_falcatum",0.71,0.29,"closed",1,1
"Bupleurum_fruticescens",0.09,0.91,"open",1,0
"Bupleurum_fruticosum",0.07,0.93,"open",1,0
"Bupleurum_gracilipes",1,0,"closed",0,1
"Bupleurum_hamiltonii",1,0,"closed",0,1
"Bupleurum_komarovianum",0.91,0.09,"closed",0,1
"Bupleurum_krylovianum",0.29,0.71,"open",1,1
"Bupleurum_lancifolium",0.01,0.99,"open",1,0
"Bupleurum_lateriflorum",0,1,"open",1,0
"Bupleurum_longicaule",0.66,0.34,"closed",1,1
"Bupleurum_longifolium",0.95,0.05,"closed",0,1
"Bupleurum_longiradiatum",0.95,0.05,"closed",0,1
"Bupleurum_malconense",0.69,0.31,"closed",1,1
"Bupleurum_marginatum",0.71,0.29,"closed",1,1
"Bupleurum_microcephalum",0.81,0.19,"closed",0,1
"Bupleurum_montanum",0.6,0.4,"closed",1,1
"Bupleurum_mundtii",0,1,"open",1,0
"Bupleurum_odontites",0.04,0.96,"open",1,0
"Bupleurum_oligactis",0.33,0.67,"open",1,1
"Bupleurum_petiolulatum",0.88,0.12,"closed",0,1
"Bupleurum_polyclonum",1,0,"closed",0,1
"Bupleurum_praealtum",0.36,0.64,"open",1,1
"Bupleurum_ranunculoides",0.76,0.24,"closed",0,1
"Bupleurum_rigidum",0.19,0.81,"open",1,0
"Bupleurum_rockii",1,0,"closed",0,1
"Bupleurum_rotundifolium",0.62,0.38,"closed",1,1
"Bupleurum_salicifolium",0,1,"open",1,0
"Bupleurum_scorzonerifolium",0.54,0.46,"closed",1,1
"Bupleurum_semicompositum",0.02,0.98,"open",1,0
"Bupleurum_sibiricum",0.5,0.5,"closed",1,1
"Bupleurum_smithii",0.65,0.35,"closed",1,1
"Bupleurum_stellatum",1,0,"closed",0,1
"Bupleurum_tenuissimum",0.63,0.37,"closed",1,1
"Bupleurum_thianschanicum",0,1,"open",1,0
"Bupleurum_wenchuanense",0.8,0.2,"closed",0,1
"Bupleurum_yunnanense",0.86,0.14,"closed",0,1
"Capnophyllum_africanum",0,1,"open",1,0
"Capnophyllum_macrocarpum",0,1,"open",1,0
"Carlesia_sinensis",1,0,"closed",0,1
"Caropsis_verticillatoinundata",1,0,"closed",0,1
"Carum_heldreichii",0.5,0.5,"closed",1,1
"Caucalis_platycarpos",0.41,0.59,"open",1,1
"Cenolophium_denudatum",0.94,0.06,"closed",0,1
"Chaerophyllum_andicola",0.28,0.72,"open",1,1
"Chaerophyllum_astrantiae",1,0,"closed",0,1
"Chaerophyllum_atlanticum",0,1,"open",1,0
"Chaerophyllum_aureum",0.78,0.22,"closed",0,1
"Chaerophyllum_australianum",0.59,0.41,"closed",1,1
"Chaerophyllum_azorellaceum",0.2,0.8,"open",1,0
"Chaerophyllum_basicola",0,1,"open",1,0
"Chaerophyllum_brevipes",0,1,"open",1,0
"Chaerophyllum_colensoi",0.44,0.56,"open",1,1
"Chaerophyllum_crinitum",0.5,0.5,"closed",1,1
"Chaerophyllum_elegans",1,0,"closed",0,1
"Chaerophyllum_eriopodum",0.75,0.25,"closed",0,1
"Chaerophyllum_guatemalense",1,0,"closed",0,1
"Chaerophyllum_hirsutum",0.8,0.2,"closed",0,1
"Chaerophyllum_humile",1,0,"closed",0,1
"Chaerophyllum_involucratum",1,0,"closed",0,1
"Chaerophyllum_libanoticum",1,0,"closed",0,1
"Chaerophyllum_lineare",0.44,0.56,"open",1,1
"Chaerophyllum_macropodum",0.75,0.25,"closed",0,1
"Chaerophyllum_macrospermum",0.5,0.5,"closed",1,1
"Chaerophyllum_nodosum",0.19,0.81,"open",1,0
"Chaerophyllum_orizabae",1,0,"closed",0,1
"Chaerophyllum_papuanum",0.3,0.7,"open",1,1
"Chaerophyllum_prescottii",0.78,0.22,"closed",0,1
"Chaerophyllum_procumbens",0.46,0.54,"open",1,1
"Chaerophyllum_pumilum",0.5,0.5,"closed",1,1
"Chaerophyllum_ramosum",0.43,0.57,"open",1,1
"Chaerophyllum_roseum",1,0,"closed",0,1
"Chaerophyllum_tainturieri",0.63,0.37,"closed",1,1
"Chaerophyllum_taiwanianum",1,0,"closed",0,1
"Chaerophyllum_temulum",0.75,0.25,"closed",0,1
"Chaerophyllum_villarsii",1,0,"closed",0,1
"Chamaesciadium_acaule",0.91,0.09,"closed",0,1
"Chamaesium_paradoxum",0.34,0.66,"open",1,1
"Chamaesium_thalictrifolium",0.5,0.5,"closed",1,1
"Chamaesium_wolffianum",1,0,"closed",0,1
"Changium_smyrnioides",1,0,"closed",0,1
"Chuanminshen_violaceum",1,0,"closed",0,1
"Cicuta_bulbifera",0.9,0.1,"closed",0,1
"Cicuta_douglasii",0.66,0.34,"closed",1,1
"Cicuta_maculata",0.58,0.42,"closed",1,1
"Cicuta_virosa",0.99,0.01,"closed",0,1
"Coaxana_purpurea",1,0,"closed",0,1
"Conioselinum_chinense",0.98,0.02,"closed",0,1
"Conioselinum_scopulorum",0.88,0.12,"closed",0,1
"Conioselinum_tataricum",0.61,0.39,"closed",1,1
"Conium_sphaerocarpum",0,1,"open",1,0
"Conopodium_majus",0.58,0.42,"closed",1,1
"Cortia_depressa",0.18,0.82,"open",1,0
"Cortiella_caespitosa",0,1,"open",1,0
"Cortiella_hookeri",0,1,"open",1,0
"Coulterophytum_laxum",1,0,"closed",0,1
"Crithmum_maritimum",0.2,0.8,"open",1,0
"Cryptotaenia_africana",0.5,0.5,"closed",1,1
"Cryptotaenia_calycina",0.67,0.33,"closed",1,1
"Cryptotaenia_canadensis",0.73,0.27,"closed",1,1
"Cryptotaenia_japonica",1,0,"closed",0,1
"Cryptotaenia_thomasii",0,1,"open",1,0
"Cyclorhiza_peucedanifolia",0.91,0.09,"closed",0,1
"Cyclorhiza_waltonii",0.32,0.68,"open",1,1
"Cyclospermum_leptophyllum",0.63,0.37,"closed",1,1
"Cymbocarpum_anethoides",0,1,"open",1,0
"Cymopterus_acaulis",0.09,0.91,"open",1,0
"Cymopterus_davisii",0,1,"open",1,0
"Cymopterus_evertii",0.5,0.5,"closed",1,1
"Cymopterus_gilmanii",0,1,"open",1,0
"Cymopterus_globosus",0,1,"open",1,0
"Cymopterus_jonesii",0.17,0.83,"open",1,0
"Cymopterus_lapidosus",0,1,"open",1,0
"Cymopterus_newberryi",0,1,"open",1,0
"Cymopterus_panamintensis",0,1,"open",1,0
"Cymopterus_ripleyi",0.07,0.93,"open",1,0
"Cymopterus_rosei",0.83,0.17,"closed",0,1
"Cynorhiza_typica",0,1,"open",1,0
"Dahliaphyllum_almedae",1,0,"closed",0,1
"Dasispermum_capense",0,1,"open",1,0
"Dasispermum_hispidum",0,1,"open",1,0
"Dasispermum_suffruticosum",0.5,0.5,"closed",1,1
"Dasispermum_tenue",0,1,"open",1,0
"Daucosma_laciniatum",0,1,"open",1,0
"Daucus_arcanus",0,1,"open",1,0
"Daucus_aureus",0.04,0.96,"open",1,0
"Daucus_decipiens",0.85,0.15,"closed",0,1
"Daucus_durieua",0.02,0.98,"open",1,0
"Daucus_edulis",1,0,"closed",0,1
"Daucus_glochidiatus",0.19,0.81,"open",1,0
"Daucus_guttatus",0.15,0.85,"open",1,0
"Daucus_incognitus",0.5,0.5,"closed",1,1
"Daucus_involucratus",0,1,"open",1,0
"Daucus_littoralis",0.67,0.33,"closed",1,1
"Daucus_montanus",0.72,0.28,"closed",1,1
"Daucus_muricatus",0.05,0.95,"open",1,0
"Daucus_pumilus",0.04,0.96,"open",1,0
"Daucus_pusillus",0.15,0.85,"open",1,0
"Daucus_rouyi",0,1,"open",1,0
"Daucus_setifolius",0,1,"open",1,0
"Daucus_syrticus",0,1,"open",1,0
"Daucus_tenuisectus",0,1,"open",1,0
"Deverra_burchellii",0,1,"open",1,0
"Deverra_tortuosa",0,1,"open",1,0
"Deverra_triradiata",0,1,"open",1,0
"Dimorphosciadium_gayoides",0,1,"open",1,0
"Diplotaenia_cachrydifolia",1,0,"closed",0,1
"Ducrosia_anethifolia",0.22,0.78,"open",1,0
"Ducrosia_assadii",0,1,"open",1,0
"Echinophora_chrysantha",1,0,"closed",0,1
"Echinophora_tenuifolia",0,1,"open",1,0
"Ekimia_bornmuelleri",0,1,"open",1,0
"Elaeosticta_lutea",0,1,"open",1,0
"Eleutherospermum_cicutarium",1,0,"closed",0,1
"Enantiophylla_heydeana",0.96,0.04,"closed",0,1
"Eremodaucus_lehmannii",0,1,"open",1,0
"Erigenia_bulbosa",0.78,0.22,"closed",0,1
"Exoacantha_heterophylla",0,1,"open",1,0
"Falcaria_vulgaris",0.75,0.25,"closed",0,1
"Ferula_akitschkensis",0.25,0.75,"open",1,0
"Ferula_botschantzevii",0,1,"open",1,0
"Ferula_communis",0.04,0.96,"open",1,0
"Ferula_decurrens",0,1,"open",1,0
"Ferula_dissecta",0,1,"open",1,0
"Ferula_diversivittata",0,1,"open",1,0
"Ferula_dshizakensis",0,1,"open",1,0
"Ferula_fedoroviorum",0,1,"open",1,0
"Ferula_ferganensis",0,1,"open",1,0
"Ferula_foetida",0,1,"open",1,0
"Ferula_foetidissima",0,1,"open",1,0
"Ferula_glauca",0.25,0.75,"open",1,0
"Ferula_gummosa",0.5,0.5,"closed",1,1
"Ferula_karataviensis",0.5,0.5,"closed",1,1
"Ferula_kelleri",0.12,0.88,"open",1,0
"Ferula_kirialovii",0,1,"open",1,0
"Ferula_kokanica",0,1,"open",1,0
"Ferula_litwinowiana",0,1,"open",1,0
"Ferula_loscosii",0,1,"open",1,0
"Ferula_mogoltavica",0,1,"open",1,0
"Ferula_moschata",0,1,"open",1,0
"Ferula_olivacea",1,0,"closed",0,1
"Ferula_oopoda",0.5,0.5,"closed",1,1
"Ferula_ovina",0.28,0.72,"open",1,1
"Ferula_penninervis",0,1,"open",1,0
"Ferula_rubroarenosa",0,1,"open",1,0
"Ferula_samarkandica",0,1,"open",1,0
"Ferula_sibirica",0.33,0.67,"open",1,1
"Ferula_szowitsiana",0,1,"open",1,0
"Ferula_teterrima",0,1,"open",1,0
"Ferula_tingitana",0.06,0.94,"open",1,0
"Ferula_tschimganica",0,1,"open",1,0
"Ferula_ugamica",0,1,"open",1,0
"Ferula_varia",0,1,"open",1,0
"Ferula_violacea",0,1,"open",1,0
"Ferulago_angulata",0.75,0.25,"closed",0,1
"Ferulago_asparagifolia",0,1,"open",1,0
"Ferulago_humilis",0,1,"open",1,0
"Ferulago_mughlae",0,1,"open",1,0
"Ferulago_trachycarpa",0,1,"open",1,0
"Ferulopsis_hystrix",0.4,0.6,"open",1,1
"Frommia_ceratophylloides",0,1,"open",1,0
"Fuernrohria_setifolia",1,0,"closed",0,1
"Galagania_ferganensis",0,1,"open",1,0
"Galagania_fragrantissima",0,1,"open",1,0
"Galagania_tenuisecta",0,1,"open",1,0
"Geocaryum_macrocarpum",0,1,"open",1,0
"Gingidia_decipiens",0.28,0.72,"open",1,1
"Gingidia_enysii",0,1,"open",1,0
"Gingidia_flabellata",1,0,"closed",0,1
"Gingidia_harveyana",0.2,0.8,"open",1,0
"Gingidia_montana",0.33,0.67,"open",1,1
"Gingidia_trifoliolata",0.73,0.27,"closed",1,1
"Glaucosciadium_cordifolium",0,1,"open",1,0
"Glehnia_littoralis",1,0,"closed",0,1
"Gongylosciadium_falcarioides",0,1,"open",1,0
"Gongylotaxis_rechingeri",0,1,"open",1,0
"Grammosciadium_daucoides",0.5,0.5,"closed",1,1
"Grammosciadium_platycarpum",1,0,"closed",0,1
"Grammosciadium_pterocarpum",1,0,"closed",0,1
"Grammosciadium_scabridum",1,0,"closed",0,1
"Haplosphaera_phaea",0.5,0.5,"closed",1,1
"Harperella_nodosa",0.89,0.11,"closed",0,1
"Harrysmithia_franchetii",1,0,"closed",0,1
"Harrysmithia_heterophylla",0.67,0.33,"closed",1,1
"Helosciadium_bermejoi",0,1,"open",1,0
"Helosciadium_crassipes",0,1,"open",1,0
"Helosciadium_nodiflorum",0.14,0.86,"open",1,0
"Helosciadium_repens",0.65,0.35,"closed",1,1
"Heracleum_anisactis",1,0,"closed",0,1
"Heracleum_antasiaticum",1,0,"closed",0,1
"Heracleum_apiifolium",1,0,"closed",0,1
"Heracleum_asperum",0.95,0.05,"closed",0,1
"Heracleum_austriacum",1,0,"closed",0,1
"Heracleum_chorodanum",0.83,0.17,"closed",0,1
"Heracleum_dissectifolium",0.67,0.33,"closed",1,1
"Heracleum_dissectum",0.67,0.33,"closed",1,1
"Heracleum_elgonense",0.22,0.78,"open",1,0
"Heracleum_franchetii",0.6,0.4,"closed",1,1
"Heracleum_freynianum",1,0,"closed",0,1
"Heracleum_henryi",1,0,"closed",0,1
"Heracleum_humile",0,1,"open",1,0
"Heracleum_lehmannianum",0.43,0.57,"open",1,1
"Heracleum_leskovii",0.93,0.07,"closed",0,1
"Heracleum_oreocharis",0.86,0.14,"closed",0,1
"Heracleum_ossethicum",1,0,"closed",0,1
"Heracleum_pastinacifolium",1,0,"closed",0,1
"Heracleum_platytaenium",0.25,0.75,"open",1,0
"Heracleum_ponticum",1,0,"closed",0,1
"Heracleum_pubescens",0.5,0.5,"closed",1,1
"Heracleum_rechingeri",1,0,"closed",0,1
"Heracleum_roseum",1,0,"closed",0,1
"Heracleum_scabridum",1,0,"closed",0,1
"Heracleum_scabrum",1,0,"closed",0,1
"Heracleum_sosnowskyi",1,0,"closed",0,1
"Heracleum_souliei",0.75,0.25,"closed",0,1
"Heracleum_sphondylium",0.9,0.1,"closed",0,1
"Heracleum_trachyloma",1,0,"closed",0,1
"Heracleum_yungningense",1,0,"closed",0,1
"Hladnikia_pastinacifolia",1,0,"closed",0,1
"Hyalolaena_bupleuroides",0,1,"open",1,0
"Hyalolaena_jaxartica",0,1,"open",1,0
"Hyalolaena_trichophylla",0.33,0.67,"open",1,1
"Hyalolaena_tschuiliensis",0,1,"open",1,0
"Hymenidium_decurrens",1,0,"closed",0,1
"Hymenidium_wilsonii",0.38,0.62,"open",1,1
"Hymenolaena_badachschanica",0,1,"open",1,0
"Korshinskya_olgae",0,1,"open",1,0
"Laser_trilobum",0.84,0.16,"closed",0,1
"Laserpitium_gallicum",0.31,0.69,"open",1,1
"Laserpitium_halleri",1,0,"closed",0,1
"Laserpitium_krapfii",1,0,"closed",0,1
"Laserpitium_latifolium",0.96,0.04,"closed",0,1
"Laserpitium_peucedanoides",1,0,"closed",0,1
"Laserpitium_pseudomeum",0,1,"open",1,0
"Lecokia_cretica",0,1,"open",1,0
"Lefebvrea_abyssinica",0.26,0.74,"open",1,1
"Lefebvrea_grantii",0.29,0.71,"open",1,1
"Leiotulus_dasyanthus",0,1,"open",1,0
"Leiotulus_porphyrodiscus",1,0,"closed",0,1
"Leiotulus_secacul",0.17,0.83,"open",1,0
"Lignocarpa_diversifolia",0.67,0.33,"closed",1,1
"Ligusticopsis_brachyloba",1,0,"closed",0,1
"Ligusticopsis_coniifolia",0,1,"open",1,0
"Ligusticopsis_wallichiana",0.56,0.44,"closed",1,1
"Ligusticum_canadense",1,0,"closed",0,1
"Ligusticum_delavayi",1,0,"closed",0,1
"Ligusticum_porteri",0.81,0.19,"closed",0,1
"Ligusticum_scoticum",0.92,0.08,"closed",0,1
"Lilaeopsis_attenuata",0.29,0.71,"open",1,1
"Lilaeopsis_brasiliensis",0.41,0.59,"open",1,1
"Lilaeopsis_brisbanica",1,0,"closed",0,1
"Lilaeopsis_carolinensis",0.65,0.35,"closed",1,1
"Lilaeopsis_chinensis",1,0,"closed",0,1
"Lilaeopsis_macloviana",0.23,0.77,"open",1,0
"Lilaeopsis_occidentalis",0.97,0.03,"closed",0,1
"Lilaeopsis_schaffneriana",0.44,0.56,"open",1,1
"Limnosciadium_pinnatum",0.65,0.35,"closed",1,1
