"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Andrzeiowskia_cardamine",1,0,"closed",0,1
"Aplanodes_doidgeana",0,1,"open",1,0
"Barbarea_australis",1,0,"closed",0,1
"Barbarea_grayi",0.17,0.83,"open",1,0
"Barbarea_intermedia",0.7,0.3,"closed",1,1
"Barbarea_orthoceras",0.65,0.35,"closed",1,1
"Barbarea_stricta",0.8,0.2,"closed",0,1
"Barbarea_verna",0.74,0.26,"closed",1,1
"Cardamine_altigena",0.55,0.45,"closed",1,1
"Cardamine_amara",0.91,0.09,"closed",0,1
"Cardamine_angulata",1,0,"closed",0,1
"Cardamine_angustata",1,0,"closed",0,1
"Cardamine_apennina",0,1,"open",1,0
"Cardamine_appendiculata",1,0,"closed",0,1
"Cardamine_asarifolia",1,0,"closed",0,1
"Cardamine_bellidifolia",0.34,0.66,"open",1,1
"Cardamine_bilobata",0,1,"open",1,0
"Cardamine_bipinnata",1,0,"closed",0,1
"Cardamine_blaisdellii",0,1,"open",1,0
"Cardamine_bonariensis",0.71,0.29,"closed",1,1
"Cardamine_breweri",0.89,0.11,"closed",0,1
"Cardamine_bulbifera",0.85,0.15,"closed",0,1
"Cardamine_bulbosa",0.74,0.26,"closed",1,1
"Cardamine_californica",0.46,0.54,"open",1,1
"Cardamine_carnosa",0,1,"open",1,0
"Cardamine_castellana",1,0,"closed",0,1
"Cardamine_clematitis",1,0,"closed",0,1
"Cardamine_concatenata",0.76,0.24,"closed",0,1
"Cardamine_cordifolia",0.82,0.18,"closed",0,1
"Cardamine_corymbosa",0.53,0.47,"closed",1,1
"Cardamine_crassifolia",0.29,0.71,"open",1,1
"Cardamine_debilis",0.66,0.34,"closed",1,1
"Cardamine_delavayi",1,0,"closed",0,1
"Cardamine_diphylla",0.99,0.01,"closed",0,1
"Cardamine_dissecta",1,0,"closed",0,1
"Cardamine_douglassii",0.79,0.21,"closed",0,1
"Cardamine_enneaphyllos",1,0,"closed",0,1
"Cardamine_fragariifolia",1,0,"closed",0,1
"Cardamine_franchetiana",0.82,0.18,"closed",0,1
"Cardamine_fulcrata",0.95,0.05,"closed",0,1
"Cardamine_gallaecica",0.33,0.67,"open",1,1
"Cardamine_glanduligera",0.68,0.32,"closed",1,1
"Cardamine_graeca",0.12,0.88,"open",1,0
"Cardamine_granulosa",0,1,"open",1,0
"Cardamine_griffithii",0.97,0.03,"closed",0,1
"Cardamine_heptaphylla",0.73,0.27,"closed",1,1
"Cardamine_hirsuta",0.59,0.41,"closed",1,1
"Cardamine_impatiens",0.91,0.09,"closed",0,1
"Cardamine_jamesonii",0.5,0.5,"closed",1,1
"Cardamine_keysseri",1,0,"closed",0,1
"Cardamine_kitaibelii",0.5,0.5,"closed",1,1
"Cardamine_leucantha",0.99,0.01,"closed",0,1
"Cardamine_lihengiana",1,0,"closed",0,1
"Cardamine_lilacina",0.86,0.14,"closed",0,1
"Cardamine_longii",1,0,"closed",0,1
"Cardamine_macrophylla",0.72,0.28,"closed",1,1
"Cardamine_microphylla",0.08,0.92,"open",1,0
"Cardamine_microzyga",0.69,0.31,"closed",1,1
"Cardamine_monteluccii",0,1,"open",1,0
"Cardamine_niigatensis",1,0,"closed",0,1
"Cardamine_nipponica",1,0,"closed",0,1
"Cardamine_nuttallii",0.97,0.03,"closed",0,1
"Cardamine_obliqua",0.53,0.47,"closed",1,1
"Cardamine_occidentalis",1,0,"closed",0,1
"Cardamine_occulta",0.69,0.31,"closed",1,1
"Cardamine_oligosperma",0.77,0.23,"closed",0,1
"Cardamine_ovata",0.87,0.13,"closed",0,1
"Cardamine_papuana",1,0,"closed",0,1
"Cardamine_parviflora",0.84,0.16,"closed",0,1
"Cardamine_pattersonii",1,0,"closed",0,1
"Cardamine_paucijuga",0.72,0.28,"closed",1,1
"Cardamine_pensylvanica",0.84,0.16,"closed",0,1
"Cardamine_polemonioides",0.03,0.98,"open",1,0
"Cardamine_pratensis",0.89,0.11,"closed",0,1
"Cardamine_prorepens",0.64,0.36,"closed",1,1
"Cardamine_quinquefolia",0.92,0.08,"closed",0,1
"Cardamine_raphanifolia",0.88,0.12,"closed",0,1
"Cardamine_resedifolia",0.84,0.16,"closed",0,1
"Cardamine_rockii",1,0,"closed",0,1
"Cardamine_rotundifolia",1,0,"closed",0,1
"Cardamine_scutata",1,0,"closed",0,1
"Cardamine_tanakae",1,0,"closed",0,1
"Cardamine_tangutorum",0.47,0.53,"open",1,1
"Cardamine_tenera",1,0,"closed",0,1
"Cardamine_torrentis",1,0,"closed",0,1
"Cardamine_trichocarpa",0.62,0.38,"closed",1,1
"Cardamine_trifolia",1,0,"closed",0,1
"Cardamine_uliginosa",0.9,0.1,"closed",0,1
"Cardamine_umbellata",0.68,0.32,"closed",1,1
"Cardamine_victoris",0.43,0.57,"open",1,1
"Cardamine_waldsteinii",1,0,"closed",0,1
"Cardamine_yezoensis",1,0,"closed",0,1
"Cardamine_yunnanensis",0.95,0.05,"closed",0,1
"Iodanthus_pinnatifidus",0.36,0.64,"open",1,1
"Leavenworthia_alabamica",0.33,0.67,"open",1,1
"Leavenworthia_aurea",0,1,"open",1,0
"Leavenworthia_crassa",1,0,"closed",0,1
"Leavenworthia_exigua",1,0,"closed",0,1
"Leavenworthia_stylosa",1,0,"closed",0,1
"Leavenworthia_torulosa",1,0,"closed",0,1
"Leavenworthia_uniflora",0.89,0.11,"closed",0,1
"Nasturtium_microphyllum",0.81,0.19,"closed",0,1
"Nasturtium_officinale",0.57,0.43,"closed",1,1
"Ornithocarpa_torulosa",0.83,0.17,"closed",0,1
"Rorippa_amphibia",0.87,0.13,"closed",0,1
"Rorippa_austriaca",0.84,0.16,"closed",0,1
"Rorippa_dubia",1,0,"closed",0,1
"Rorippa_palustris",0.77,0.23,"closed",0,1
"Rorippa_sylvestris",0.86,0.14,"closed",0,1
"Selenia_aurea",0.29,0.71,"open",1,1
"Selenia_dissecta",0.11,0.89,"open",1,0
"Selenia_jonesii",0,1,"open",1,0
"Sisymbrella_aspera",0.15,0.85,"open",1,0
