"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Ceanothus_americanus",0.74,0.26,"closed",1,1
"Ceanothus_arboreus",0,1,"open",1,0
"Ceanothus_buxifolius",0.74,0.26,"closed",1,1
"Ceanothus_coeruleus",0.73,0.27,"closed",1,1
"Ceanothus_cordulatus",0.75,0.25,"closed",0,1
"Ceanothus_crassifolius",0,1,"open",1,0
"Ceanothus_cyaneus",0,1,"open",1,0
"Ceanothus_dentatus",0,1,"open",1,0
"Ceanothus_divergens",0,1,"open",1,0
"Ceanothus_diversifolius",0.89,0.11,"closed",0,1
"Ceanothus_fendleri",0.78,0.22,"closed",0,1
"Ceanothus_foliosus",0.32,0.68,"open",1,1
"Ceanothus_fresnensis",0.9,0.1,"closed",0,1
"Ceanothus_gloriosus",1,0,"closed",0,1
"Ceanothus_greggii",0.42,0.58,"open",1,1
"Ceanothus_griseus",0.4,0.6,"open",1,1
"Ceanothus_hearstiorum",0,1,"open",1,0
"Ceanothus_herbaceus",0.33,0.67,"open",1,1
"Ceanothus_impressus",0,1,"open",1,0
"Ceanothus_incanus",0.65,0.35,"closed",1,1
"Ceanothus_integerrimus",0.62,0.38,"closed",1,1
"Ceanothus_jepsonii",0.14,0.86,"open",1,0
"Ceanothus_lanuginosus",0.5,0.5,"closed",1,1
"Ceanothus_lemmonii",0.59,0.41,"closed",1,1
"Ceanothus_leucodermis",0.03,0.97,"open",1,0
"Ceanothus_martinii",0.36,0.64,"open",1,1
"Ceanothus_megacarpus",0,1,"open",1,0
"Ceanothus_ochraceus",1,0,"closed",0,1
"Ceanothus_oliganthus",0,1,"open",1,0
"Ceanothus_ophiochilus",0,1,"open",1,0
"Ceanothus_palmeri",0,1,"open",1,0
"Ceanothus_papillosus",0.29,0.71,"open",1,1
"Ceanothus_parryi",0.33,0.67,"open",1,1
"Ceanothus_prostratus",0.85,0.15,"closed",0,1
"Ceanothus_pumilus",1,0,"closed",0,1
"Ceanothus_purpureus",0,1,"open",1,0
"Ceanothus_roderickii",0,1,"open",1,0
"Ceanothus_sanguineus",0.9,0.1,"closed",0,1
"Ceanothus_sonomensis",0,1,"open",1,0
"Ceanothus_spinosus",0,1,"open",1,0
"Ceanothus_thyrsiflorus",0.53,0.47,"closed",1,1
"Ceanothus_tomentosus",0,1,"open",1,0
"Ceanothus_velutinus",0.8,0.2,"closed",0,1
"Ceanothus_verrucosus",0,1,"open",1,0
