"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Chamaecrista_absus",0.36,0.64,"open",1,1
"Chamaecrista_altoana",0,1,"open",1,0
"Chamaecrista_amorimii",1,0,"closed",0,1
"Chamaecrista_anamariae",0,1,"open",1,0
"Chamaecrista_anceps",0,1,"open",1,0
"Chamaecrista_aristata",0,1,"open",1,0
"Chamaecrista_azulana",0,1,"open",1,0
"Chamaecrista_belemii",0.12,0.88,"open",1,0
"Chamaecrista_benthamiana",0,1,"open",1,0
"Chamaecrista_botryoides",0,1,"open",1,0
"Chamaecrista_brachyrachis",0.08,0.92,"open",1,0
"Chamaecrista_brevicalyx",0.16,0.84,"open",1,0
"Chamaecrista_burchellii",0,1,"open",1,0
"Chamaecrista_calycioides",0.26,0.74,"open",1,1
"Chamaecrista_campestris",0.22,0.78,"open",1,0
"Chamaecrista_campicola",0,1,"open",1,0
"Chamaecrista_cardiostegia",0.09,0.91,"open",1,0
"Chamaecrista_cathartica",0.29,0.71,"open",1,1
"Chamaecrista_choriophylla",0.67,0.33,"closed",1,1
"Chamaecrista_cinerascens",0.2,0.8,"open",1,0
"Chamaecrista_cipoana",0.33,0.67,"open",1,1
"Chamaecrista_confertiformis",0,1,"open",1,0
"Chamaecrista_coradinii",0.06,0.94,"open",1,0
"Chamaecrista_coriacea",0,1,"open",1,0
"Chamaecrista_cytisoides",0.47,0.53,"open",1,1
"Chamaecrista_dalbergiifolia",0,1,"open",1,0
"Chamaecrista_dawsonii",0,1,"open",1,0
"Chamaecrista_decumbens",0,1,"open",1,0
"Chamaecrista_densifolia",0,1,"open",1,0
"Chamaecrista_depauperata",0,1,"open",1,0
"Chamaecrista_diphylla",0.61,0.39,"closed",1,1
"Chamaecrista_distichoclada",0,1,"open",1,0
"Chamaecrista_fagonioides",0.31,0.69,"open",1,1
"Chamaecrista_feliciana",0,1,"open",1,0
"Chamaecrista_filicifolia",0,1,"open",1,0
"Chamaecrista_flexuosa",0.39,0.61,"open",1,1
"Chamaecrista_floribunda",0,1,"open",1,0
"Chamaecrista_glaucofilix",0,1,"open",1,0
"Chamaecrista_gymnothyrsa",0,1,"open",1,0
"Chamaecrista_hispidula",0.66,0.34,"closed",1,1
"Chamaecrista_irwiniana",0,1,"open",1,0
"Chamaecrista_isidorea",0.05,0.95,"open",1,0
"Chamaecrista_jacobinea",0.25,0.75,"open",1,0
"Chamaecrista_lagotois",0.33,0.67,"open",1,1
"Chamaecrista_latifolia",0,1,"open",1,0
"Chamaecrista_lineata",0.43,0.57,"open",1,1
"Chamaecrista_macedoi",0,1,"open",1,0
"Chamaecrista_mollicaulis",0,1,"open",1,0
"Chamaecrista_mucronata",0.47,0.53,"open",1,1
"Chamaecrista_multipennis",0.67,0.33,"closed",1,1
"Chamaecrista_multiseta",0.04,0.96,"open",1,0
"Chamaecrista_neesiana",0.07,0.93,"open",1,0
"Chamaecrista_nummulariifolia",0,1,"open",1,0
"Chamaecrista_obolaria",0,1,"open",1,0
"Chamaecrista_olesiphylla",0.56,0.44,"closed",1,1
"Chamaecrista_onusta",1,0,"closed",0,1
"Chamaecrista_pachyclada",0,1,"open",1,0
"Chamaecrista_papillata",0.11,0.89,"open",1,0
"Chamaecrista_pilosa",0.49,0.51,"open",1,1
"Chamaecrista_planaltoana",0,1,"open",1,0
"Chamaecrista_polita",0,1,"open",1,0
"Chamaecrista_potentilla",0.67,0.33,"closed",1,1
"Chamaecrista_repens",0.21,0.79,"open",1,0
"Chamaecrista_roraimae",0.39,0.61,"open",1,1
"Chamaecrista_rupestrium",0,1,"open",1,0
"Chamaecrista_scabra",0,1,"open",1,0
"Chamaecrista_setosa_var._detonsa",0.05,0.95,"open",1,0
"Chamaecrista_setosa",0.09,0.91,"open",1,0
"Chamaecrista_simplifacta",0,1,"open",1,0
"Chamaecrista_sincorana",0,1,"open",1,0
"Chamaecrista_sparsifolia",0,1,"open",1,0
"Chamaecrista_speciosa",0,1,"open",1,0
"Chamaecrista_strictula",0,1,"open",1,0
"Chamaecrista_swainsonii",0.3,0.7,"open",1,1
"Chamaecrista_tenuicaulis",0,1,"open",1,0
"Chamaecrista_ulmea",0,1,"open",1,0
"Chamaecrista_urophyllidia",0.11,0.89,"open",1,0
"Chamaecrista_venulosa",0.2,0.8,"open",1,0
