"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Ascarina_coursii",1,0,"closed",0,1
"Ascarina_lucida",0.97,0.03,"closed",0,1
"Ascarina_polystachya",1,0,"closed",0,1
"Chloranthus_angustifolius",1,0,"closed",0,1
"Chloranthus_fortunei",0.95,0.05,"closed",0,1
"Chloranthus_henryi",0.99,0.01,"closed",0,1
"Chloranthus_holostegius",1,0,"closed",0,1
"Chloranthus_japonicus",0.93,0.07,"closed",0,1
"Chloranthus_nervosus",1,0,"closed",0,1
"Chloranthus_spicatus",1,0,"closed",0,1
"Hedyosmum_angustifolium",0.92,0.08,"closed",0,1
"Hedyosmum_arborescens",1,0,"closed",0,1
"Hedyosmum_bonplandianum",0.97,0.03,"closed",0,1
"Hedyosmum_brasiliense",0.53,0.47,"closed",1,1
"Hedyosmum_correanum",1,0,"closed",0,1
"Hedyosmum_costaricense",1,0,"closed",0,1
"Hedyosmum_cuatrecazanum",0.91,0.09,"closed",0,1
"Hedyosmum_cumbalense",0.82,0.18,"closed",0,1
"Hedyosmum_dombeyanum",1,0,"closed",0,1
"Hedyosmum_goudotianum",0.96,0.04,"closed",0,1
"Hedyosmum_mexicanum",1,0,"closed",0,1
"Hedyosmum_nutans",1,0,"closed",0,1
"Hedyosmum_orientale",0.93,0.07,"closed",0,1
"Hedyosmum_parvifolium",0.69,0.31,"closed",1,1
"Hedyosmum_racemosum",0.95,0.05,"closed",0,1
"Hedyosmum_scaberrimum",0.96,0.04,"closed",0,1
"Hedyosmum_scabrum",0.9,0.1,"closed",0,1
"Hedyosmum_spectabile",1,0,"closed",0,1
"Hedyosmum_sprucei",0.95,0.05,"closed",0,1
"Hedyosmum_strigosum",1,0,"closed",0,1
"Hedyosmum_translucidum",0.97,0.03,"closed",0,1
