"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Chorispora_bungeana",0.03,0.97,"open",1,0
"Chorispora_macropoda",0,1,"open",1,0
"Chorispora_purpurascens",0,1,"open",1,0
"Chorispora_sabulosa",0.17,0.83,"open",1,0
"Chorispora_sibirica",0.12,0.88,"open",1,0
"Chorispora_tashkorganica",0,1,"open",1,0
"Chorispora_tenella",0.17,0.83,"open",1,0
"Diptychocarpus_strictus",0.1,0.9,"open",1,0
"Parrya_alba",0,1,"open",1,0
"Parrya_arctica",0.02,0.98,"open",1,0
"Parrya_lancifolia",0,1,"open",1,0
"Parrya_maidantalica",0,1,"open",1,0
"Parrya_nudicaulis",0.12,0.88,"open",1,0
"Parrya_pinnatifida",0,1,"open",1,0
"Parrya_pulvinata",0,1,"open",1,0
"Parrya_runcinata",0,1,"open",1,0
"Parrya_rydbergii",1,0,"closed",0,1
"Parrya_stenocarpa",1,0,"closed",0,1
"Parrya_subsiliquosa",1,0,"closed",0,1
"Parrya_turkestanica",0,1,"open",1,0
"Pseudoclausia_turkestanica",0,1,"open",1,0
