"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Asplundia_alata",0.97,0.03,"closed",0,1
"Asplundia_allenii",1,0,"closed",0,1
"Asplundia_antioquiae",1,0,"closed",0,1
"Asplundia_aurantiaca",1,0,"closed",0,1
"Asplundia_brachyphylla",0.88,0.12,"closed",0,1
"Asplundia_brachypus",1,0,"closed",0,1
"Asplundia_fanshawei",1,0,"closed",0,1
"Asplundia_flavovaginata",1,0,"closed",0,1
"Asplundia_gamotepala",1,0,"closed",0,1
"Asplundia_gardneri",0.71,0.29,"closed",1,1
"Asplundia_glandulosa",1,0,"closed",0,1
"Asplundia_heteranthera",1,0,"closed",0,1
"Asplundia_longitepala",1,0,"closed",0,1
"Asplundia_maguirei",0.92,0.08,"closed",0,1
"Asplundia_peruviana",0.97,0.03,"closed",0,1
"Asplundia_pittieri",1,0,"closed",0,1
"Asplundia_platyphylla",1,0,"closed",0,1
"Asplundia_pycnantha",0.82,0.18,"closed",0,1
"Asplundia_rivularis",0.83,0.17,"closed",0,1
"Asplundia_stenophylla",1,0,"closed",0,1
"Asplundia_utilis",1,0,"closed",0,1
"Asplundia_vagans",0.94,0.06,"closed",0,1
"Asplundia_vaupesiana",1,0,"closed",0,1
"Asplundia_xiphophylla",1,0,"closed",0,1
"Carludovica_drudei",1,0,"closed",0,1
"Carludovica_palmata",0.96,0.04,"closed",0,1
"Carludovica_rotundifolia",1,0,"closed",0,1
"Carludovica_sulcata",1,0,"closed",0,1
"Chorigyne_cylindrica",1,0,"closed",0,1
"Chorigyne_ensiformis",1,0,"closed",0,1
"Chorigyne_pendula",1,0,"closed",0,1
"Cyclanthus_bipartitus",0.99,0.01,"closed",0,1
"Dicranopygium_goudotii",1,0,"closed",0,1
"Dicranopygium_lugonis",1,0,"closed",0,1
"Dicranopygium_pygmaeum",1,0,"closed",0,1
"Dicranopygium_stenophyllum",1,0,"closed",0,1
"Dicranopygium_wallisii",1,0,"closed",0,1
"Evodianthus_funifer",0.99,0.01,"closed",0,1
"Ludovia_bierhorstii",1,0,"closed",0,1
"Ludovia_integrifolia",1,0,"closed",0,1
"Ludovia_lancifolia",1,0,"closed",0,1
"Schultesiophytum_chorianthum",1,0,"closed",0,1
"Sphaeradenia_acutitepala",1,0,"closed",0,1
"Sphaeradenia_crocea",1,0,"closed",0,1
"Sphaeradenia_duidae",1,0,"closed",0,1
"Sphaeradenia_laucheana",1,0,"closed",0,1
"Sphaeradenia_pallida",1,0,"closed",0,1
"Sphaeradenia_pterostigma",1,0,"closed",0,1
"Stelestylis_stylaris",1,0,"closed",0,1
"Stelestylis_surinamensis",1,0,"closed",0,1
"Thoracocarpus_bissectus",0.97,0.03,"closed",0,1
