"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Acrothamnus_hookeri",0.63,0.37,"closed",1,1
"Acrothamnus_maccraei",0.68,0.32,"closed",1,1
"Acrothamnus_spathaceus",0.86,0.14,"closed",0,1
"Acrothamnus_suaveolens",0.55,0.45,"closed",1,1
"Acrotriche_affinis",0.18,0.82,"open",1,0
"Acrotriche_divaricata",1,0,"closed",0,1
"Acrotriche_parviflora",0,1,"open",1,0
"Acrotriche_rigida",0.6,0.4,"closed",1,1
"Acrotriche_serrulata",0.67,0.33,"closed",1,1
"Agapetes_hosseana",1,0,"closed",0,1
"Agapetes_serpens",0.6,0.4,"closed",1,1
"Agarista_populifolia",1,0,"closed",0,1
"Agarista_salicifolia",0.72,0.28,"closed",1,1
"Agiortia_pedicellata",1,0,"closed",0,1
"Agiortia_pleiosperma",0.24,0.76,"open",1,0
"Allotropa_virgata",0.96,0.04,"closed",0,1
"Andersonia_sprengelioides",0,1,"open",1,0
"Andromeda_polifolia",0.72,0.28,"closed",1,1
"Androstoma_empetrifolia",0.91,0.09,"closed",0,1
"Androstoma_verticillata",1,0,"closed",0,1
"Anthopterus_revolutus",1,0,"closed",0,1
"Anthopterus_wardii",0.97,0.03,"closed",0,1
"Arbutus_canariensis",0.33,0.67,"open",1,1
"Arbutus_menziesii",0.72,0.28,"closed",1,1
"Archeria_comberi",1,0,"closed",0,1
"Archeria_hirtella",1,0,"closed",0,1
"Arctostaphylos_pungens",0.67,0.33,"closed",1,1
"Astroloma_ciliatum",0,1,"open",1,0
"Astroloma_conostephioides",0.1,0.9,"open",1,0
"Astroloma_epacridis",0,1,"open",1,0
"Astroloma_glaucescens",0,1,"open",1,0
"Astroloma_humifusum",0.5,0.5,"closed",1,1
"Astroloma_microdonta",0,1,"open",1,0
"Astroloma_pallidum",0,1,"open",1,0
"Astroloma_pinifolium",0.95,0.05,"closed",0,1
"Astroloma_prostratum",0,1,"open",1,0
"Astroloma_serratifolium",0,1,"open",1,0
"Astroloma_xerophyllum",0,1,"open",1,0
"Bejaria_aestuans",0.92,0.08,"closed",0,1
"Bejaria_racemosa",1,0,"closed",0,1
"Bejaria_resinosa",0.71,0.29,"closed",1,1
"Brachyloma_concolor",0,1,"open",1,0
"Brachyloma_daphnoides",0.77,0.23,"closed",0,1
"Brachyloma_mogin",0,1,"open",1,0
"Brachyloma_preissii",0,1,"open",1,0
"Brachyloma_saxicola",1,0,"closed",0,1
"Brachyloma_scortechinii",1,0,"closed",0,1
"Bryanthus_gmelinii",0.69,0.31,"closed",1,1
"Calluna_vulgaris",0.76,0.24,"closed",0,1
"Cassiope_fastigiata",0.41,0.59,"open",1,1
"Cassiope_mertensiana",0.96,0.04,"closed",0,1
"Cassiope_pectinata",1,0,"closed",0,1
"Cassiope_selaginoides",0.91,0.09,"closed",0,1
"Cavendishia_bracteata",0.94,0.06,"closed",0,1
"Cavendishia_martii",0.97,0.03,"closed",0,1
"Ceratiola_ericoides",0.97,0.03,"closed",0,1
"Ceratostema_silvicola",1,0,"closed",0,1
"Chamaedaphne_calyculata",0.94,0.06,"closed",0,1
"Chimaphila_umbellata",0.96,0.04,"closed",0,1
"Coleanthera_myrtoides",0,1,"open",1,0
"Comarostaphylis_arbutoides",1,0,"closed",0,1
"Conostephium_pendulum",0,1,"open",1,0
"Conostephium_preissii",0,1,"open",1,0
"Corema_album",0.07,0.93,"open",1,0
"Corema_conradii",1,0,"closed",0,1
"Craibiodendron_yunnanense",1,0,"closed",0,1
"Croninia_kingiana",0,1,"open",1,0
"Cyathodes_glauca",1,0,"closed",0,1
"Cyathodes_straminea",1,0,"closed",0,1
"Daboecia_cantabrica",0.84,0.16,"closed",0,1
"Demosthenesia_mandonii",0.7,0.3,"closed",1,1
"Demosthenesia_pearcei",0.75,0.25,"closed",0,1
"Demosthenesia_spectabilis",1,0,"closed",0,1
"Dimorphanthera_dekockii",0.33,0.67,"open",1,1
"Dimorphanthera_kempteriana",1,0,"closed",0,1
"Dimorphanthera_keysseri",0.36,0.64,"open",1,1
"Diogenesia_alstoniana",1,0,"closed",0,1
"Diogenesia_boliviana",0.88,0.12,"closed",0,1
"Diplycosia_acuminata",1,0,"closed",0,1
"Diplycosia_cinnamomifolia",0,1,"open",1,0
"Disterigma_alaternoides",0.91,0.09,"closed",0,1
"Disterigma_ovatum",0.95,0.05,"closed",0,1
"Dracophyllum_acerosum",0.21,0.79,"open",1,0
"Dracophyllum_alticola",1,0,"closed",0,1
"Dracophyllum_arboreum",1,0,"closed",0,1
"Dracophyllum_balansae",1,0,"closed",0,1
"Dracophyllum_cosmelioides",1,0,"closed",0,1
"Dracophyllum_densum",1,0,"closed",0,1
"Dracophyllum_filifolium",0.94,0.06,"closed",0,1
"Dracophyllum_fiordense",0.5,0.5,"closed",1,1
"Dracophyllum_involucratum",1,0,"closed",0,1
"Dracophyllum_kirkii",0.33,0.67,"open",1,1
"Dracophyllum_latifolium",1,0,"closed",0,1
"Dracophyllum_longifolium",0.62,0.38,"closed",1,1
"Dracophyllum_macranthum",1,0,"closed",0,1
"Dracophyllum_menziesii",0.7,0.3,"closed",1,1
"Dracophyllum_milliganii",1,0,"closed",0,1
"Dracophyllum_minimum",1,0,"closed",0,1
"Dracophyllum_muscoides",0,1,"open",1,0
"Dracophyllum_ophioliticum",1,0,"closed",0,1
"Dracophyllum_ouaiemense",1,0,"closed",0,1
"Dracophyllum_patens",1,0,"closed",0,1
"Dracophyllum_pronum",0.37,0.63,"open",1,1
"Dracophyllum_ramosum",1,0,"closed",0,1
"Dracophyllum_rosmarinifolium",0.5,0.5,"closed",1,1
"Dracophyllum_sayeri",1,0,"closed",0,1
"Dracophyllum_scoparium",1,0,"closed",0,1
"Dracophyllum_secundum",1,0,"closed",0,1
"Dracophyllum_strictum",1,0,"closed",0,1
"Dracophyllum_townsonii",1,0,"closed",0,1
"Dracophyllum_traversii",0.82,0.18,"closed",0,1
"Dracophyllum_trimorphum",1,0,"closed",0,1
"Dracophyllum_verticillatum",1,0,"closed",0,1
"Elliottia_bracteata",1,0,"closed",0,1
"Elliottia_racemosa",1,0,"closed",0,1
"Empetrum_eamesii",1,0,"closed",0,1
"Empetrum_nigrum",0.76,0.24,"closed",0,1
"Empetrum_rubrum",0.78,0.22,"closed",0,1
"Enkianthus_campanulatus",1,0,"closed",0,1
"Enkianthus_cernuus",1,0,"closed",0,1
"Enkianthus_chinensis",1,0,"closed",0,1
"Enkianthus_nudipes",1,0,"closed",0,1
"Enkianthus_perulatus",1,0,"closed",0,1
"Enkianthus_quinqueflorus",1,0,"closed",0,1
"Enkianthus_sikokianus",1,0,"closed",0,1
"Enkianthus_subsessilis",1,0,"closed",0,1
"Epacris_impressa",0.74,0.26,"closed",1,1
"Epacris_lanuginosa",1,0,"closed",0,1
"Erica_anguliger",0,1,"open",1,0
"Erica_arborea",0.19,0.81,"open",1,0
"Erica_azorica",1,0,"closed",0,1
"Erica_carnea",0.93,0.07,"closed",0,1
"Erica_cinerea",0.75,0.25,"closed",0,1
"Erica_discolor",0,1,"open",1,0
"Erica_sicula",0,1,"open",1,0
"Erica_tetralix",0.73,0.27,"closed",1,1
"Eubotrys_racemosa",1,0,"closed",0,1
"Eubotrys_recurva",1,0,"closed",0,1
"Gaultheria_antipoda",0.79,0.21,"closed",0,1
"Gaultheria_borneensis",1,0,"closed",0,1
"Gaultheria_brevistipes",1,0,"closed",0,1
"Gaultheria_cardiosepala",0.93,0.07,"closed",0,1
"Gaultheria_codonantha",1,0,"closed",0,1
"Gaultheria_cuneata",1,0,"closed",0,1
"Gaultheria_discolor",1,0,"closed",0,1
"Gaultheria_dolichopoda",1,0,"closed",0,1
"Gaultheria_dumicola",1,0,"closed",0,1
"Gaultheria_eciliata",1,0,"closed",0,1
"Gaultheria_eriophylla",0.68,0.32,"closed",1,1
"Gaultheria_fragrantissima",1,0,"closed",0,1
