"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Actinidia_arguta",1,0,"closed",0,1
"Actinidia_callosa",0.99,0.01,"closed",0,1
"Actinidia_chrysantha",1,0,"closed",0,1
"Actinidia_cylindrica",1,0,"closed",0,1
"Actinidia_eriantha",1,0,"closed",0,1
"Actinidia_farinosa",1,0,"closed",0,1
"Actinidia_fortunatii",1,0,"closed",0,1
"Actinidia_fulvicoma",1,0,"closed",0,1
"Actinidia_glaucocallosa",1,0,"closed",0,1
"Actinidia_grandiflora",1,0,"closed",0,1
"Actinidia_henryi",1,0,"closed",0,1
"Actinidia_indochinensis",1,0,"closed",0,1
"Actinidia_kolomikta",0.99,0.01,"closed",0,1
"Actinidia_laevissima",1,0,"closed",0,1
"Actinidia_lanceolata",1,0,"closed",0,1
"Actinidia_latifolia",1,0,"closed",0,1
"Actinidia_liangguangensis",1,0,"closed",0,1
"Actinidia_lijiangensis",1,0,"closed",0,1
"Actinidia_macrosperma",1,0,"closed",0,1
"Actinidia_melanandra",1,0,"closed",0,1
"Actinidia_melliana",1,0,"closed",0,1
"Actinidia_pilosula",1,0,"closed",0,1
"Actinidia_polygama",1,0,"closed",0,1
"Actinidia_rubricaulis",1,0,"closed",0,1
"Actinidia_rudis",1,0,"closed",0,1
"Actinidia_rufa",1,0,"closed",0,1
"Actinidia_sabiifolia",1,0,"closed",0,1
"Actinidia_styracifolia",1,0,"closed",0,1
"Actinidia_valvata",1,0,"closed",0,1
"Actinidia_venosa",1,0,"closed",0,1
"Actinidia_zhejiangensis",1,0,"closed",0,1
"Saurauia_andreana",1,0,"closed",0,1
"Saurauia_aspera",1,0,"closed",0,1
"Saurauia_biserrata",1,0,"closed",0,1
"Saurauia_bullosa",0.9,0.1,"closed",0,1
"Saurauia_chaparensis",1,0,"closed",0,1
"Saurauia_choriophylla",1,0,"closed",0,1
"Saurauia_conferta",1,0,"closed",0,1
"Saurauia_ferox",0.83,0.17,"closed",0,1
"Saurauia_kegeliana",1,0,"closed",0,1
"Saurauia_leprosa",1,0,"closed",0,1
"Saurauia_macrotricha",1,0,"closed",0,1
"Saurauia_montana",1,0,"closed",0,1
"Saurauia_napaulensis",1,0,"closed",0,1
"Saurauia_novoguineensis",0.83,0.17,"closed",0,1
"Saurauia_oreophila",1,0,"closed",0,1
"Saurauia_parviflora",1,0,"closed",0,1
"Saurauia_pedunculata",1,0,"closed",0,1
"Saurauia_pentapetala",1,0,"closed",0,1
"Saurauia_pittieri",1,0,"closed",0,1
"Saurauia_polyneura",1,0,"closed",0,1
"Saurauia_purgans",1,0,"closed",0,1
"Saurauia_roxburghii",1,0,"closed",0,1
"Saurauia_scabrida",0.99,0.01,"closed",0,1
"Saurauia_spectabilis",1,0,"closed",0,1
"Saurauia_subspinosa",1,0,"closed",0,1
"Saurauia_tewensis",1,0,"closed",0,1
"Saurauia_tristyla",1,0,"closed",0,1
"Saurauia_ursina",1,0,"closed",0,1
"Saurauia_yasicae",0.98,0.02,"closed",0,1
"Hydrocera_triflora",0.96,0.04,"closed",0,1
"Impatiens_acaulis",1,0,"closed",0,1
"Impatiens_alboflava",1,0,"closed",0,1
"Impatiens_amoena",1,0,"closed",0,1
"Impatiens_amplexicaulis",1,0,"closed",0,1
"Impatiens_andohahelae",1,0,"closed",0,1
"Impatiens_andringitrensis",0.67,0.33,"closed",1,1
"Impatiens_anovensis",1,0,"closed",0,1
"Impatiens_apsotis",0.62,0.38,"closed",1,1
"Impatiens_aquatilis",1,0,"closed",0,1
"Impatiens_arguta",1,0,"closed",0,1
"Impatiens_aureliana",1,0,"closed",0,1
"Impatiens_auricoma",0,1,"open",1,0
"Impatiens_balfourii",0.56,0.44,"closed",1,1
"Impatiens_balsamina",0.89,0.11,"closed",0,1
"Impatiens_barbata",0,1,"open",1,0
"Impatiens_baronii",1,0,"closed",0,1
"Impatiens_beccarii",1,0,"closed",0,1
"Impatiens_bequaertii",1,0,"closed",0,1
"Impatiens_bicornuta",0.5,0.5,"closed",1,1
"Impatiens_brachycentra",0.39,0.61,"open",1,1
"Impatiens_brevicornis",1,0,"closed",0,1
"Impatiens_burtonii",0.78,0.22,"closed",0,1
"Impatiens_capensis",0.74,0.26,"closed",1,1
"Impatiens_chimiliensis",1,0,"closed",0,1
"Impatiens_chinensis",1,0,"closed",0,1
"Impatiens_chungtienensis",1,0,"closed",0,1
"Impatiens_circaeoides",1,0,"closed",0,1
"Impatiens_clavigera",1,0,"closed",0,1
"Impatiens_columbaria",1,0,"closed",0,1
"Impatiens_conchibracteata",1,0,"closed",0,1
"Impatiens_congolensis",1,0,"closed",0,1
"Impatiens_corchorifolia",0.9,0.1,"closed",0,1
"Impatiens_cuspidata",1,0,"closed",0,1
"Impatiens_cyanantha",1,0,"closed",0,1
"Impatiens_cyathiflora",1,0,"closed",0,1
"Impatiens_davidii",1,0,"closed",0,1
"Impatiens_delavayi",0.87,0.13,"closed",0,1
"Impatiens_desmantha",1,0,"closed",0,1
