"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Allosyncarpia_ternata",0,1,"open",1,0
"Angophora_bakeri",1,0,"closed",0,1
"Angophora_costata",0.66,0.34,"closed",1,1
"Angophora_exul",1,0,"closed",0,1
"Angophora_floribunda",0.53,0.47,"closed",1,1
"Angophora_hispida",1,0,"closed",0,1
"Angophora_inopina",1,0,"closed",0,1
"Angophora_melanoxylon",0,1,"open",1,0
"Angophora_robur",1,0,"closed",0,1
"Angophora_subvelutina",0.93,0.07,"closed",0,1
"Angophora_woodsiana",1,0,"closed",0,1
"Arillastrum_gummiferum",1,0,"closed",0,1
"Corymbia_abbreviata",0,1,"open",1,0
"Corymbia_abergiana",0.19,0.81,"open",1,0
"Corymbia_aparrerinja",0,1,"open",1,0
"Corymbia_arafurica",0,1,"open",1,0
"Corymbia_arenaria",0,1,"open",1,0
"Corymbia_aspera",0,1,"open",1,0
"Corymbia_aureola",0,1,"open",1,0
"Corymbia_bella",0.01,0.99,"open",1,0
"Corymbia_blakei",0,1,"open",1,0
"Corymbia_bleeseri",0,1,"open",1,0
"Corymbia_bloxsomei",0,1,"open",1,0
"Corymbia_brachycarpa",0,1,"open",1,0
"Corymbia_bunites",0,1,"open",1,0
"Corymbia_cadophora",0,1,"open",1,0
"Corymbia_calophylla",0,1,"open",1,0
"Corymbia_candida",0,1,"open",1,0
"Corymbia_chippendalei",0,1,"open",1,0
"Corymbia_citriodora",0.38,0.62,"open",1,1
"Corymbia_clarksoniana",0.17,0.83,"open",1,0
"Corymbia_collina",0,1,"open",1,0
"Corymbia_confertiflora",0.01,0.99,"open",1,0
"Corymbia_dallachiana",0.04,0.96,"open",1,0
"Corymbia_dendromerinx",0,1,"open",1,0
"Corymbia_deserticola",0,1,"open",1,0
"Corymbia_dichromophloia",0,1,"open",1,0
"Corymbia_dunlopiana",0,1,"open",1,0
"Corymbia_ellipsoidea",0,1,"open",1,0
"Corymbia_eremaea",0,1,"open",1,0
"Corymbia_erythrophloia",0.14,0.86,"open",1,0
"Corymbia_eximia",1,0,"closed",0,1
"Corymbia_ferriticola",0,1,"open",1,0
"Corymbia_ferruginea",0,1,"open",1,0
"Corymbia_ficifolia",0,1,"open",1,0
"Corymbia_flavescens",0,1,"open",1,0
"Corymbia_foelscheana",0,1,"open",1,0
"Corymbia_gilbertensis",0,1,"open",1,0
"Corymbia_grandifolia",0,1,"open",1,0
"Corymbia_greeniana",0,1,"open",1,0
"Corymbia_gummifera",0.97,0.03,"closed",0,1
"Corymbia_haematoxylon",0,1,"open",1,0
"Corymbia_hamersleyana",0,1,"open",1,0
"Corymbia_hendersonii",0,1,"open",1,0
"Corymbia_henryi",1,0,"closed",0,1
"Corymbia_hylandii",0.13,0.87,"open",1,0
"Corymbia_intermedia",0.7,0.3,"closed",1,1
"Corymbia_jacobsiana",0,1,"open",1,0
"Corymbia_latifolia",0,1,"open",1,0
"Corymbia_lenziana",0,1,"open",1,0
"Corymbia_leptoloma",1,0,"closed",0,1
"Corymbia_ligans",0.06,0.94,"open",1,0
"Corymbia_maculata",0.96,0.04,"closed",0,1
"Corymbia_nesophila",0.03,0.97,"open",1,0
"Corymbia_novoguinensis",0,1,"open",1,0
"Corymbia_pachycarpa",0,1,"open",1,0
"Corymbia_papillosa",0,1,"open",1,0
"Corymbia_papuana",0.1,0.9,"open",1,0
"Corymbia_pauciseta",0,1,"open",1,0
"Corymbia_peltata",0.14,0.86,"open",1,0
"Corymbia_petalophylla",0,1,"open",1,0
"Corymbia_plena",0,1,"open",1,0
"Corymbia_polycarpa",0.01,0.99,"open",1,0
"Corymbia_porrecta",0,1,"open",1,0
"Corymbia_ptychocarpa",0,1,"open",1,0
"Corymbia_rhodops",0,1,"open",1,0
"Corymbia_scabrida",0,1,"open",1,0
"Corymbia_stockeri",0.17,0.83,"open",1,0
"Corymbia_terminalis",0,1,"open",1,0
"Corymbia_tessellaris",0.2,0.8,"open",1,0
"Corymbia_torelliana",0.57,0.43,"closed",1,1
"Corymbia_torta",0,1,"open",1,0
"Corymbia_trachyphloia",0.3,0.7,"open",1,1
"Corymbia_watsoniana",0,1,"open",1,0
"Corymbia_xanthope",0.33,0.67,"open",1,1
"Corymbia_zygophylla",0,1,"open",1,0
"Eucalyptopsis_papuana",1,0,"closed",0,1
"Eucalyptus_acaciiformis",1,0,"closed",0,1
"Eucalyptus_accedens",0,1,"open",1,0
"Eucalyptus_acies",0,1,"open",1,0
"Eucalyptus_acmenoides",0.66,0.34,"closed",1,1
"Eucalyptus_acroleuca",0,1,"open",1,0
"Eucalyptus_aequioperta",0,1,"open",1,0
"Eucalyptus_agglomerata",1,0,"closed",0,1
"Eucalyptus_aggregata",1,0,"closed",0,1
"Eucalyptus_alaticaulis",1,0,"closed",0,1
"Eucalyptus_alba",0,1,"open",1,0
"Eucalyptus_albens",0.75,0.25,"closed",0,1
"Eucalyptus_albida",0,1,"open",1,0
"Eucalyptus_albopurpurea",0,1,"open",1,0
"Eucalyptus_alipes",0,1,"open",1,0
"Eucalyptus_alligatrix",0.83,0.17,"closed",0,1
"Eucalyptus_amygdalina",1,0,"closed",0,1
"Eucalyptus_andrewsii",1,0,"closed",0,1
"Eucalyptus_angophoroides",1,0,"closed",0,1
"Eucalyptus_angulosa",0,1,"open",1,0
"Eucalyptus_angustissima",0,1,"open",1,0
"Eucalyptus_annulata",0,1,"open",1,0
"Eucalyptus_apiculata",0.86,0.14,"closed",0,1
"Eucalyptus_apodophylla",0,1,"open",1,0
"Eucalyptus_apothalassica",0.05,0.95,"open",1,0
"Eucalyptus_approximans",1,0,"closed",0,1
"Eucalyptus_aquilina",0.5,0.5,"closed",1,1
"Eucalyptus_arachnaea",0,1,"open",1,0
"Eucalyptus_arborella",0,1,"open",1,0
"Eucalyptus_arenacea",0.13,0.87,"open",1,0
"Eucalyptus_argillacea",0,1,"open",1,0
"Eucalyptus_argophloia",0,1,"open",1,0
"Eucalyptus_argyphea",0,1,"open",1,0
"Eucalyptus_aromaphloia",0.76,0.24,"closed",0,1
"Eucalyptus_aspersa",0,1,"open",1,0
"Eucalyptus_aspratilis",0,1,"open",1,0
"Eucalyptus_astringens",0,1,"open",1,0
"Eucalyptus_atrata",0,1,"open",1,0
"Eucalyptus_badjensis",1,0,"closed",0,1
"Eucalyptus_baeuerlenii",1,0,"closed",0,1
"Eucalyptus_baileyana",0.4,0.6,"open",1,1
"Eucalyptus_bakeri",0.19,0.81,"open",1,0
"Eucalyptus_balanopelex",0,1,"open",1,0
"Eucalyptus_balladoniensis",0,1,"open",1,0
"Eucalyptus_barberi",1,0,"closed",0,1
"Eucalyptus_baueriana",1,0,"closed",0,1
"Eucalyptus_baxteri",0.45,0.55,"open",1,1
"Eucalyptus_beaniana",0,1,"open",1,0
"Eucalyptus_behriana",0.32,0.68,"open",1,1
"Eucalyptus_bensonii",1,0,"closed",0,1
"Eucalyptus_benthamii",1,0,"closed",0,1
"Eucalyptus_beyeriana",0.55,0.45,"closed",1,1
"Eucalyptus_blakelyi",0.78,0.22,"closed",0,1
"Eucalyptus_blaxellii",0,1,"open",1,0
"Eucalyptus_blaxlandii",1,0,"closed",0,1
"Eucalyptus_boliviana",1,0,"closed",0,1
"Eucalyptus_bosistoana",1,0,"closed",0,1
"Eucalyptus_botryoides",0.88,0.12,"closed",0,1
"Eucalyptus_brachyandra",0,1,"open",1,0
"Eucalyptus_brachycalyx",0,1,"open",1,0
"Eucalyptus_brassiana",0.12,0.88,"open",1,0
"Eucalyptus_brevistylis",0,1,"open",1,0
"Eucalyptus_bridgesiana",0.91,0.09,"closed",0,1
"Eucalyptus_brockwayi",0.33,0.67,"open",1,1
"Eucalyptus_brookeriana",0.97,0.03,"closed",0,1
"Eucalyptus_buprestium",0,1,"open",1,0
"Eucalyptus_burdettiana",0.5,0.5,"closed",1,1
"Eucalyptus_burgessiana",1,0,"closed",0,1
"Eucalyptus_burracoppinensis",0,1,"open",1,0
"Eucalyptus_cadens",1,0,"closed",0,1
"Eucalyptus_caesia",0.24,0.76,"open",1,0
"Eucalyptus_calcareana",0,1,"open",1,0
"Eucalyptus_calcicola",0,1,"open",1,0
"Eucalyptus_caleyi",0.91,0.09,"closed",0,1
"Eucalyptus_caliginosa",1,0,"closed",0,1
"Eucalyptus_campaspe",0,1,"open",1,0
"Eucalyptus_camphora",1,0,"closed",0,1
"Eucalyptus_canaliculata",1,0,"closed",0,1
"Eucalyptus_canescens",0,1,"open",1,0
"Eucalyptus_canobolensis",1,0,"closed",0,1
"Eucalyptus_capillosa",0,1,"open",1,0
"Eucalyptus_capitellata",1,0,"closed",0,1
"Eucalyptus_captiosa",0,1,"open",1,0
"Eucalyptus_carnea",1,0,"closed",0,1
"Eucalyptus_carnei",0,1,"open",1,0
"Eucalyptus_castrensis",1,0,"closed",0,1
"Eucalyptus_celastroides",0,1,"open",1,0
"Eucalyptus_cephalocarpa",1,0,"closed",0,1
"Eucalyptus_cerasiformis",0,1,"open",1,0
"Eucalyptus_ceratocorys",0,1,"open",1,0
"Eucalyptus_cernua",0,1,"open",1,0
"Eucalyptus_chartaboma",0,1,"open",1,0
"Eucalyptus_chlorophylla",0.01,0.99,"open",1,0
"Eucalyptus_cinerea",0.82,0.18,"closed",0,1
"Eucalyptus_cladocalyx",0.14,0.86,"open",1,0
"Eucalyptus_clelandii",0,1,"open",1,0
"Eucalyptus_clivicola",0,1,"open",1,0
"Eucalyptus_cloeziana",0.2,0.8,"open",1,0
"Eucalyptus_cneorifolia",0,1,"open",1,0
"Eucalyptus_concinna",0,1,"open",1,0
"Eucalyptus_conferruminata",0,1,"open",1,0
"Eucalyptus_conglobata",0,1,"open",1,0
"Eucalyptus_conglomerata",1,0,"closed",0,1
"Eucalyptus_conica",0.53,0.47,"closed",1,1
"Eucalyptus_consideniana",1,0,"closed",0,1
"Eucalyptus_conspicua",0.95,0.05,"closed",0,1
"Eucalyptus_conveniens",0,1,"open",1,0
"Eucalyptus_coolabah",0,1,"open",1,0
"Eucalyptus_cooperiana",0,1,"open",1,0
"Eucalyptus_cordata",1,0,"closed",0,1
"Eucalyptus_cornuta",0,1,"open",1,0
"Eucalyptus_coronata",0.67,0.33,"closed",1,1
"Eucalyptus_corrugata",0,1,"open",1,0
"Eucalyptus_cosmophylla",0,1,"open",1,0
