"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Eugenia_anastomosans",0.95,0.05,"closed",0,1
"Eugenia_angustissima",0.14,0.86,"open",1,0
"Eugenia_arenosa",0,1,"open",1,0
"Eugenia_astringens",0.76,0.24,"closed",0,1
"Eugenia_axillaris",0.81,0.19,"closed",0,1
"Eugenia_bacopari",0.83,0.17,"closed",0,1
"Eugenia_bahiensis",0.97,0.03,"closed",0,1
"Eugenia_bimarginata",0.29,0.71,"open",1,1
"Eugenia_brevistyla",0.89,0.11,"closed",0,1
"Eugenia_brongniartiana",1,0,"closed",0,1
"Eugenia_cerasiflora",0.82,0.18,"closed",0,1
"Eugenia_coffeifolia",0.95,0.05,"closed",0,1
"Eugenia_convexinervia",1,0,"closed",0,1
"Eugenia_crassa",1,0,"closed",0,1
"Eugenia_cuprea",1,0,"closed",0,1
"Eugenia_densiracemosa",0.54,0.46,"closed",1,1
"Eugenia_domingensis",1,0,"closed",0,1
"Eugenia_dysenterica",0.17,0.83,"open",1,0
"Eugenia_ellipsoidea",0.38,0.62,"open",1,1
"Eugenia_erythrophylla",0.8,0.2,"closed",0,1
"Eugenia_excelsa",0.79,0.21,"closed",0,1
"Eugenia_flavescens",0.59,0.41,"closed",1,1
"Eugenia_florida",0.73,0.27,"closed",1,1
"Eugenia_foetida",0.89,0.11,"closed",0,1
"Eugenia_goiapabana",1,0,"closed",0,1
"Eugenia_hamiltonii",0.12,0.88,"open",1,0
"Eugenia_handroi",0.96,0.04,"closed",0,1
"Eugenia_intermedia",1,0,"closed",0,1
"Eugenia_inversa",0.67,0.33,"closed",1,1
"Eugenia_laevis",0.94,0.06,"closed",0,1
"Eugenia_lindahlii",1,0,"closed",0,1
"Eugenia_melanogyna",0.94,0.06,"closed",0,1
"Eugenia_monticola",0.87,0.13,"closed",0,1
"Eugenia_myrcianthes",0.48,0.52,"open",1,1
"Eugenia_natalitia",0.35,0.65,"open",1,1
"Eugenia_neoglomerata",0.88,0.12,"closed",0,1
"Eugenia_neoverrucosa",0.87,0.13,"closed",0,1
"Eugenia_nutans",0.65,0.35,"closed",1,1
"Eugenia_patens",0.94,0.06,"closed",0,1
"Eugenia_patrisii",0.95,0.05,"closed",0,1
"Eugenia_pisiformis",0.98,0.02,"closed",0,1
"Eugenia_pistaciifolia",0.07,0.93,"open",1,0
"Eugenia_plicatocostata",1,0,"closed",0,1
"Eugenia_pluriflora",0.83,0.17,"closed",0,1
"Eugenia_prasina",0.96,0.04,"closed",0,1
"Eugenia_pseudopsidium",0.94,0.06,"closed",0,1
"Eugenia_punicifolia",0.46,0.54,"open",1,1
"Eugenia_pyriformis",0.7,0.3,"closed",1,1
"Eugenia_reinwardtiana",0.28,0.72,"open",1,1
"Eugenia_roseopetiolata",1,0,"closed",0,1
"Eugenia_rotula",0,1,"open",1,0
"Eugenia_sparsa",0.09,0.91,"open",1,0
"Eugenia_sphenophylla",0.61,0.39,"closed",1,1
"Eugenia_splendens",0,1,"open",1,0
"Eugenia_spruceana",1,0,"closed",0,1
"Eugenia_stictopetala",0.26,0.74,"open",1,1
"Eugenia_stipitata",0.67,0.33,"closed",1,1
"Eugenia_subavenia",0.92,0.08,"closed",0,1
"Eugenia_tetramera",1,0,"closed",0,1
"Eugenia_umtamvunensis",1,0,"closed",0,1
"Eugenia_unana",1,0,"closed",0,1
"Eugenia_verticillata",0.96,0.04,"closed",0,1
"Eugenia_wentii",0.96,0.04,"closed",0,1
"Eugenia_woodii",0.3,0.7,"open",1,1
"Eugenia_zeyheri",0.38,0.62,"open",1,1
"Eugenia_zuluensis",0,1,"open",1,0
