"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Eutrema_altaicum",0.1,0.9,"open",1,0
"Eutrema_botschantzevii",0,1,"open",1,0
"Eutrema_deltoideum",0.43,0.57,"open",1,1
"Eutrema_edwardsii",0.1,0.9,"open",1,0
"Eutrema_fontanum",0.25,0.75,"open",1,0
"Eutrema_heterophyllum",0.42,0.58,"open",1,1
"Eutrema_himalaicum",0.82,0.18,"closed",0,1
"Eutrema_hookeri",0.4,0.6,"open",1,1
"Eutrema_integrifolium",0.12,0.88,"open",1,0
"Eutrema_salsugineum",0.67,0.33,"closed",1,1
"Eutrema_schulzii",0.83,0.17,"closed",0,1
"Eutrema_tenue",1,0,"closed",0,1
"Eutrema_verticillatum",0.8,0.2,"closed",0,1
"Eutrema_violifolium",0.8,0.2,"closed",0,1
"Eutrema_wuchengyii",0.67,0.33,"closed",1,1
"Eutrema_yunnanense",1,0,"closed",0,1
