"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Guibourtia_arnoldiana",0.67,0.33,"closed",1,1
"Guibourtia_carrissoana",0,1,"open",1,0
"Guibourtia_chodatiana",0.81,0.19,"closed",0,1
"Guibourtia_coleosperma",0.06,0.94,"open",1,0
"Guibourtia_conjugata",0.1,0.9,"open",1,0
"Guibourtia_copallifera",0.25,0.75,"open",1,0
"Guibourtia_ehie",0.93,0.07,"closed",0,1
"Guibourtia_hymenaefolia",0.45,0.55,"open",1,1
"Guibourtia_leonensis",0.75,0.25,"closed",0,1
"Guibourtia_pellegriniana",0.83,0.17,"closed",0,1
"Guibourtia_schliebenii",1,0,"closed",0,1
"Guibourtia_sousae",0.5,0.5,"closed",1,1
"Guibourtia_tessmannii",0.84,0.16,"closed",0,1
