"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Hakea_aculeata",0,1,"open",1,0
"Hakea_adnata",0,1,"open",1,0
"Hakea_aenigma",0,1,"open",1,0
"Hakea_ambigua",0,1,"open",1,0
"Hakea_amplexicaulis",0,1,"open",1,0
"Hakea_arborescens",0,1,"open",1,0
"Hakea_auriculata",0,1,"open",1,0
"Hakea_bakeriana",1,0,"closed",0,1
"Hakea_baxteri",0,1,"open",1,0
"Hakea_bicornata",0,1,"open",1,0
"Hakea_brownii",0,1,"open",1,0
"Hakea_bucculenta",0,1,"open",1,0
"Hakea_candolleana",0,1,"open",1,0
"Hakea_carinata",0,1,"open",1,0
"Hakea_ceratophylla",0,1,"open",1,0
"Hakea_chordophylla",0,1,"open",1,0
"Hakea_cinerea",0,1,"open",1,0
"Hakea_clavata",0,1,"open",1,0
"Hakea_collina",0,1,"open",1,0
"Hakea_commutata",0,1,"open",1,0
"Hakea_conchifolia",0,1,"open",1,0
"Hakea_constablei",1,0,"closed",0,1
"Hakea_corymbosa",0,1,"open",1,0
"Hakea_costata",0,1,"open",1,0
"Hakea_cucullata",0,1,"open",1,0
"Hakea_cyclocarpa",0,1,"open",1,0
"Hakea_cycloptera",0,1,"open",1,0
"Hakea_dactyloides",1,0,"closed",0,1
"Hakea_denticulata",0,1,"open",1,0
"Hakea_divaricata",0,1,"open",1,0
"Hakea_dohertyi",1,0,"closed",0,1
"Hakea_ednieana",0,1,"open",1,0
"Hakea_elliptica",0,1,"open",1,0
"Hakea_eneabba",0,1,"open",1,0
"Hakea_erecta",0,1,"open",1,0
"Hakea_eriantha",0.96,0.04,"closed",0,1
"Hakea_erinacea",0,1,"open",1,0
"Hakea_eyreana",0,1,"open",1,0
"Hakea_falcata",0,1,"open",1,0
"Hakea_ferruginea",0,1,"open",1,0
"Hakea_flabellifolia",0,1,"open",1,0
"Hakea_florida",0,1,"open",1,0
"Hakea_francisiana",0.01,0.99,"open",1,0
"Hakea_fraseri",0.33,0.67,"open",1,1
"Hakea_gibbosa",1,0,"closed",0,1
"Hakea_grammatophylla",0,1,"open",1,0
"Hakea_hastata",0,1,"open",1,0
"Hakea_horrida",0,1,"open",1,0
"Hakea_ilicifolia",0,1,"open",1,0
"Hakea_incrassata",0,1,"open",1,0
"Hakea_invaginata",0,1,"open",1,0
"Hakea_ivoryi",0,1,"open",1,0
"Hakea_kippistiana",0,1,"open",1,0
"Hakea_lasianthoides",0,1,"open",1,0
"Hakea_laurina",0,1,"open",1,0
"Hakea_lehmanniana",0,1,"open",1,0
"Hakea_linearis",0,1,"open",1,0
"Hakea_lissocarpha",0,1,"open",1,0
"Hakea_loranthifolia",0,1,"open",1,0
"Hakea_maconochieana",0,1,"open",1,0
"Hakea_macraeana",1,0,"closed",0,1
"Hakea_macrocarpa",0,1,"open",1,0
"Hakea_macrorrhyncha",1,0,"closed",0,1
"Hakea_marginata",0,1,"open",1,0
"Hakea_megalosperma",0,1,"open",1,0
"Hakea_meisneriana",0,1,"open",1,0
"Hakea_microcarpa",0.86,0.14,"closed",0,1
"Hakea_minyma",0,1,"open",1,0
"Hakea_mitchellii",0.06,0.94,"open",1,0
"Hakea_multilineata",0,1,"open",1,0
"Hakea_neurophylla",0.25,0.75,"open",1,0
"Hakea_newbeyana",0,1,"open",1,0
"Hakea_nitida",0,1,"open",1,0
"Hakea_nodosa",0.61,0.39,"closed",1,1
"Hakea_obtusa",0,1,"open",1,0
"Hakea_ochroptera",1,0,"closed",0,1
"Hakea_oleifolia",0,1,"open",1,0
"Hakea_pachyphylla",1,0,"closed",0,1
"Hakea_pedunculata",0,1,"open",1,0
"Hakea_persiehana",0.03,0.97,"open",1,0
"Hakea_platysperma",0,1,"open",1,0
"Hakea_polyanthema",0,1,"open",1,0
"Hakea_pritzelii",0,1,"open",1,0
"Hakea_propinqua",1,0,"closed",0,1
"Hakea_purpurea",0.03,0.97,"open",1,0
"Hakea_pycnoneura",0,1,"open",1,0
"Hakea_repullulans",0.33,0.67,"open",1,1
"Hakea_rhombales",0,1,"open",1,0
"Hakea_rostrata",0.14,0.86,"open",1,0
"Hakea_rugosa",0.05,0.95,"open",1,0
"Hakea_ruscifolia",0,1,"open",1,0
"Hakea_sericea",1,0,"closed",0,1
"Hakea_smilacifolia",0,1,"open",1,0
"Hakea_stenocarpa",0,1,"open",1,0
"Hakea_strumosa",0,1,"open",1,0
"Hakea_sulcata",0,1,"open",1,0
"Hakea_tephrosperma",0.12,0.88,"open",1,0
"Hakea_trifurcata",0,1,"open",1,0
"Hakea_trineura",0,1,"open",1,0
"Hakea_tuberculata",0,1,"open",1,0
"Hakea_ulicina",0.89,0.11,"closed",0,1
"Hakea_undulata",0,1,"open",1,0
"Hakea_varia",0,1,"open",1,0
"Hakea_verrucosa",0,1,"open",1,0
"Hakea_victoria",0,1,"open",1,0
