"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Exhalimolobos_berlandieri",0.73,0.27,"closed",1,1
"Exhalimolobos_hispidulus",0.62,0.38,"closed",1,1
"Exhalimolobos_palmeri",0.25,0.75,"open",1,0
"Exhalimolobos_parryi",0,1,"open",1,0
"Exhalimolobos_pazense",0.33,0.67,"open",1,1
"Exhalimolobos_weddellii",0.14,0.86,"open",1,0
"Halimolobos_diffusus",0.38,0.62,"open",1,1
"Halimolobos_elatus",0,1,"open",1,0
"Halimolobos_lasiolobus",0.6,0.4,"closed",1,1
"Halimolobos_pubens",0,1,"open",1,0
"Mancoa_bracteata",1,0,"closed",0,1
"Mancoa_foliosa",1,0,"closed",0,1
"Pennellia_longifolia",0.91,0.09,"closed",0,1
"Pennellia_micrantha",0.66,0.34,"closed",1,1
"Pennellia_tricornuta",1,0,"closed",0,1
"Sphaerocardamum_divaricatum",0.44,0.56,"open",1,1
"Sphaerocardamum_nesliiforme",1,0,"closed",0,1
"Sphaerocardamum_stellatum",0.45,0.55,"open",1,1
