"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Aglaodorum_griffithii",1,0,"closed",0,1
"Aglaonema_modestum",1,0,"closed",0,1
"Alloschemone_occidentalis",1,0,"closed",0,1
"Alocasia_acuminata",1,0,"closed",0,1
"Alocasia_cucullata",0.96,0.04,"closed",0,1
"Alocasia_heterophylla",1,0,"closed",0,1
"Alocasia_inornata",1,0,"closed",0,1
"Alocasia_lauterbachiana",1,0,"closed",0,1
"Alocasia_longiloba",1,0,"closed",0,1
"Alocasia_maquilingensis",1,0,"closed",0,1
"Alocasia_odora",1,0,"closed",0,1
"Alocasia_perakensis",1,0,"closed",0,1
"Alocasia_princeps",0.83,0.17,"closed",0,1
"Alocasia_reversa",1,0,"closed",0,1
"Alocasia_robusta",1,0,"closed",0,1
"Alocasia_sinuata",0,1,"open",1,0
"Ambrosina_bassii",0,1,"open",1,0
"Amorphophallus_angolensis",0.67,0.33,"closed",1,1
"Amorphophallus_paeoniifolius",0.68,0.32,"closed",1,1
"Amydrium_humile",1,0,"closed",0,1
"Anaphyllopsis_americana",0.92,0.08,"closed",0,1
"Anchomanes_difformis",0.62,0.38,"closed",1,1
"Anthurium_acaule",0,1,"open",1,0
"Anubias_barteri",0.95,0.05,"closed",0,1
"Aridarum_nicolsonii",0.33,0.67,"open",1,1
"Arisaema_amurense",0.99,0.01,"closed",0,1
"Arisaema_costatum",1,0,"closed",0,1
"Arisaema_dracontium",0.72,0.28,"closed",1,1
"Arisaema_franchetianum",0.94,0.06,"closed",0,1
"Arisaema_heterophyllum",1,0,"closed",0,1
"Arisaema_macrospathum",0.98,0.02,"closed",0,1
"Arisaema_schimperianum",0.09,0.91,"open",1,0
"Arisaema_speciosum",0.5,0.5,"closed",1,1
"Arisaema_tortuosum",0.6,0.4,"closed",1,1
"Arisaema_triphyllum",0.8,0.2,"closed",0,1
"Arisarum_vulgare",0.01,0.99,"open",1,0
"Arophyton_buchetii",1,0,"closed",0,1
"Arum_hygrophilum",0,1,"open",1,0
"Biarum_tenuifolium",0,1,"open",1,0
"Bognera_recondita",1,0,"closed",0,1
"Bucephalandra_motleyana",0.95,0.05,"closed",0,1
"Caladium_lindenii",1,0,"closed",0,1
"Calla_palustris",0.98,0.02,"closed",0,1
"Callopsis_volkensii",1,0,"closed",0,1
"Carlephyton_glaucophyllum",1,0,"closed",0,1
"Cercestis_mirabilis",0.9,0.1,"closed",0,1
"Colletogyne_perrieri",1,0,"closed",0,1
"Colocasia_esculenta",0.76,0.24,"closed",0,1
"Croatiella_integrifolia",1,0,"closed",0,1
"Cryptocoryne_lingua",1,0,"closed",0,1
"Culcasia_liberica",0.82,0.18,"closed",0,1
"Cyrtosperma_macrotum",1,0,"closed",0,1
