"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Lithospermum_calcicola",0.68,0.32,"closed",1,1
"Lithospermum_californicum",0.86,0.14,"closed",0,1
"Lithospermum_calycosum",0.67,0.33,"closed",1,1
"Lithospermum_canescens",0.42,0.58,"open",1,1
"Lithospermum_caroliniense",0.57,0.43,"closed",1,1
"Lithospermum_cinereum",0,1,"open",1,0
"Lithospermum_cobrense",0.73,0.27,"closed",1,1
"Lithospermum_discolor",1,0,"closed",0,1
"Lithospermum_distichum",0.83,0.17,"closed",0,1
"Lithospermum_erythrorhizon",0.97,0.03,"closed",0,1
"Lithospermum_exsertum",1,0,"closed",0,1
"Lithospermum_gayanum",0.25,0.75,"open",1,0
"Lithospermum_helleri",0,1,"open",1,0
"Lithospermum_johnstonii",1,0,"closed",0,1
"Lithospermum_latifolium",0.59,0.41,"closed",1,1
"Lithospermum_macromeria",0.96,0.04,"closed",0,1
"Lithospermum_matamorense",0.29,0.71,"open",1,1
"Lithospermum_multiflorum",0.88,0.12,"closed",0,1
"Lithospermum_nelsonii",0.67,0.33,"closed",1,1
"Lithospermum_notatum",0.8,0.2,"closed",0,1
"Lithospermum_oblongifolium",1,0,"closed",0,1
"Lithospermum_obovatum",1,0,"closed",0,1
"Lithospermum_officinale",0.73,0.27,"closed",1,1
"Lithospermum_parksii",0.75,0.25,"closed",0,1
"Lithospermum_revolutum",0,1,"open",1,0
"Lithospermum_rosei",1,0,"closed",0,1
"Lithospermum_ruderale",0.53,0.47,"closed",1,1
"Lithospermum_scabrum",0,1,"open",1,0
"Lithospermum_strictum",0.79,0.21,"closed",0,1
"Lithospermum_trinervium",1,0,"closed",0,1
"Lithospermum_tuberosum",1,0,"closed",0,1
"Lithospermum_tubuliflorum",1,0,"closed",0,1
"Lithospermum_viride",0.62,0.38,"closed",1,1
