"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Lupinus_albescens",0.12,0.88,"open",1,0
"Lupinus_albicaulis",0.61,0.39,"closed",1,1
"Lupinus_albifrons",0.2,0.8,"open",1,0
"Lupinus_andersonii",0.53,0.47,"closed",1,1
"Lupinus_arboreus",0.59,0.41,"closed",1,1
"Lupinus_arcticus",0.43,0.57,"open",1,1
"Lupinus_argenteus",0.57,0.43,"closed",1,1
"Lupinus_arizonicus",0.07,0.93,"open",1,0
"Lupinus_arvensis",0.67,0.33,"closed",1,1
"Lupinus_aschenbornii",1,0,"closed",0,1
"Lupinus_atlanticus",0,1,"open",1,0
"Lupinus_aureonitens",0,1,"open",1,0
"Lupinus_ballianus",0.5,0.5,"closed",1,1
"Lupinus_bandelierae",0.83,0.17,"closed",0,1
"Lupinus_bangii",1,0,"closed",0,1
"Lupinus_benthamii",0.07,0.93,"open",1,0
"Lupinus_bicolor",0.27,0.73,"open",1,1
"Lupinus_bogotensis",0.79,0.21,"closed",0,1
"Lupinus_bracteolaris",0.42,0.58,"open",1,1
"Lupinus_brevicaulis",0.19,0.81,"open",1,0
"Lupinus_breweri",0.74,0.26,"closed",1,1
"Lupinus_chamissonis",0,1,"open",1,0
"Lupinus_chrysanthus",0.33,0.67,"open",1,1
"Lupinus_citrinus",0.33,0.67,"open",1,1
"Lupinus_concinnus",0.05,0.95,"open",1,0
"Lupinus_cosentinii",0.2,0.8,"open",1,0
"Lupinus_crotalarioides",0.11,0.89,"open",1,0
"Lupinus_cumulicola",1,0,"closed",0,1
"Lupinus_diffusus",1,0,"closed",0,1
"Lupinus_digitatus",0,1,"open",1,0
"Lupinus_duranii",0.33,0.67,"open",1,1
"Lupinus_elegans",0.98,0.02,"closed",0,1
"Lupinus_ellsworthianus",1,0,"closed",0,1
"Lupinus_excubitus",0.08,0.92,"open",1,0
"Lupinus_flavoculatus",0,1,"open",1,0
"Lupinus_formosus",0.24,0.76,"open",1,0
"Lupinus_gibertianus",0.41,0.59,"open",1,1
"Lupinus_grayi",0.89,0.11,"closed",0,1
"Lupinus_guaraniticus",0.92,0.08,"closed",0,1
"Lupinus_havardii",0.14,0.86,"open",1,0
"Lupinus_hispanicus",0.02,0.98,"open",1,0
"Lupinus_huachucanus",0.77,0.23,"closed",0,1
"Lupinus_huigrensis",1,0,"closed",0,1
"Lupinus_lanatus",0.8,0.2,"closed",0,1
"Lupinus_latifolius",0.53,0.47,"closed",1,1
"Lupinus_lepidus",0.64,0.36,"closed",1,1
"Lupinus_leucophyllus",0.54,0.46,"closed",1,1
"Lupinus_lindleyanus",0.67,0.33,"closed",1,1
"Lupinus_linearis",0.2,0.8,"open",1,0
"Lupinus_littoralis",1,0,"closed",0,1
"Lupinus_luteolus",0.42,0.58,"open",1,1
"Lupinus_magnistipulatus",0.89,0.11,"closed",0,1
"Lupinus_mexicanus",0.83,0.17,"closed",0,1
"Lupinus_micranthus",0.02,0.98,"open",1,0
"Lupinus_microcarpus",0.18,0.82,"open",1,0
"Lupinus_microphyllus",0.17,0.83,"open",1,0
"Lupinus_mollendoensis",0.25,0.75,"open",1,0
"Lupinus_montanus",0.95,0.05,"closed",0,1
"Lupinus_multiflorus",0.54,0.46,"closed",1,1
"Lupinus_nanus",0.3,0.7,"open",1,1
"Lupinus_neomexicanus",1,0,"closed",0,1
"Lupinus_nevadensis",0.08,0.92,"open",1,0
"Lupinus_nootkatensis",0.7,0.3,"closed",1,1
"Lupinus_odoratus",0,1,"open",1,0
"Lupinus_pachylobus",0,1,"open",1,0
"Lupinus_palaestinus",0,1,"open",1,0
"Lupinus_paraguariensis",0.64,0.36,"closed",1,1
"Lupinus_paranensis",0.91,0.09,"closed",0,1
"Lupinus_parvifolius",0.33,0.67,"open",1,1
"Lupinus_perennis",0.88,0.12,"closed",0,1
"Lupinus_pilosus",0,1,"open",1,0
"Lupinus_polyphyllus",0.74,0.26,"closed",1,1
"Lupinus_prostratus",0,1,"open",1,0
"Lupinus_pubescens",0.57,0.43,"closed",1,1
"Lupinus_pulvinaris",0.5,0.5,"closed",1,1
"Lupinus_ramosissimus",0.4,0.6,"open",1,1
"Lupinus_reitzii",1,0,"closed",0,1
"Lupinus_rivularis",0.74,0.26,"closed",1,1
"Lupinus_rubriflorus",1,0,"closed",0,1
"Lupinus_sarmentosus",0.38,0.62,"open",1,1
"Lupinus_semperflorens",1,0,"closed",0,1
"Lupinus_sericeus",0.48,0.52,"open",1,1
"Lupinus_shockleyi",0,1,"open",1,0
"Lupinus_solanagrorum",0,1,"open",1,0
"Lupinus_sparsiflorus",0.11,0.89,"open",1,0
"Lupinus_stiversii",0.7,0.3,"closed",1,1
"Lupinus_subacaulis",0.33,0.67,"open",1,1
"Lupinus_subsessilis",0,1,"open",1,0
"Lupinus_succulentus",0.02,0.98,"open",1,0
"Lupinus_sulphureus",0.73,0.27,"closed",1,1
"Lupinus_tarapacensis",0.5,0.5,"closed",1,1
"Lupinus_texensis",0.13,0.87,"open",1,0
"Lupinus_tomentosus",1,0,"closed",0,1
"Lupinus_tominensis",0,1,"open",1,0
"Lupinus_truncatus",0,1,"open",1,0
"Lupinus_uleanus",1,0,"closed",0,1
"Lupinus_uncialis",0,1,"open",1,0
"Lupinus_velutinus",0.2,0.8,"open",1,0
"Lupinus_villosus",1,0,"closed",0,1
