"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Alzatea_verticillata",1,0,"closed",0,1
"Axinandra_coriacea",0.89,0.11,"closed",0,1
"Axinandra_zeylanica",1,0,"closed",0,1
"Crypteronia_glabriflora",1,0,"closed",0,1
"Crypteronia_griffithii",0.84,0.16,"closed",0,1
"Crypteronia_paniculata",0.96,0.04,"closed",0,1
"Dactylocladus_stenostachys",0.83,0.17,"closed",0,1
"Acanthella_sprucei",0.84,0.16,"closed",0,1
"Aciotis_acuminifolia",0.89,0.11,"closed",0,1
"Aciotis_annua",0.91,0.09,"closed",0,1
"Aciotis_circaeifolia",1,0,"closed",0,1
"Aciotis_indecora",0.92,0.08,"closed",0,1
"Aciotis_paludosa",0.9,0.1,"closed",0,1
"Aciotis_polystachya",0.96,0.04,"closed",0,1
"Aciotis_purpurascens",0.94,0.06,"closed",0,1
"Aciotis_rubricaulis",0.95,0.05,"closed",0,1
"Acisanthera_alsinaefolia",0.33,0.67,"open",1,1
"Acisanthera_paraguayensis",0.15,0.85,"open",1,0
"Acisanthera_quadrata",0.5,0.5,"closed",1,1
"Acisanthera_uniflora",0.54,0.46,"closed",1,1
"Acisanthera_variabilis",0.46,0.54,"open",1,1
"Adelobotrys_adscendens",0.99,0.01,"closed",0,1
"Adelobotrys_barbata",1,0,"closed",0,1
"Adelobotrys_boissieriana",1,0,"closed",0,1
"Adelobotrys_macrantha",1,0,"closed",0,1
"Adelobotrys_permixta",1,0,"closed",0,1
"Adelobotrys_scandens",1,0,"closed",0,1
"Adelobotrys_spruceana",1,0,"closed",0,1
"Adelobotrys_subsessilis",1,0,"closed",0,1
"Adelobotrys_tessmannii",1,0,"closed",0,1
"Allomaieta_ebejicosana",1,0,"closed",0,1
"Allomaieta_grandiflora",1,0,"closed",0,1
"Allomaieta_hirsuta",1,0,"closed",0,1
"Allomaieta_pancurana",1,0,"closed",0,1
"Allomaieta_villosa",1,0,"closed",0,1
"Allomaieta_zenufanasana",1,0,"closed",0,1
"Alloneuron_ulei",1,0,"closed",0,1
"Amphiblemma_cymosum",1,0,"closed",0,1
"Amphorocalyx_multiflorus",1,0,"closed",0,1
"Amphorocalyx_rupestris",1,0,"closed",0,1
"Anaectocalyx_bracteosa",1,0,"closed",0,1
"Anerincleistus_macrophyllus",0.84,0.16,"closed",0,1
"Antherotoma_angustifolia",0.75,0.25,"closed",0,1
"Antherotoma_densiflora",0,1,"open",1,0
"Antherotoma_gracilis",0,1,"open",1,0
"Antherotoma_irvingiana",0.33,0.67,"open",1,1
"Antherotoma_naudinii",0.48,0.52,"open",1,1
"Antherotoma_senegambiensis",0.41,0.59,"open",1,1
"Appendicularia_thymifolia",1,0,"closed",0,1
"Argyrella_amplexicaulis",0.64,0.36,"closed",1,1
"Argyrella_canescens",0.32,0.68,"open",1,1
"Arthrostemma_ciliatum",0.98,0.02,"closed",0,1
"Arthrostemma_primaevum",1,0,"closed",0,1
"Astronia_cumingiana",0.9,0.1,"closed",0,1
"Astronia_ferruginea",1,0,"closed",0,1
"Astronia_macrophylla",0.89,0.11,"closed",0,1
"Astronia_smilacifolia",0.9,0.1,"closed",0,1
"Astronidium_montanum",1,0,"closed",0,1
"Astronidium_morobiense",1,0,"closed",0,1
"Axinaea_affinis",0.92,0.08,"closed",0,1
"Axinaea_alata",1,0,"closed",0,1
"Axinaea_costaricensis",1,0,"closed",0,1
"Axinaea_floribunda",0.94,0.06,"closed",0,1
"Axinaea_grandifolia",0.79,0.21,"closed",0,1
"Axinaea_macrophylla",0.88,0.12,"closed",0,1
"Axinaea_sclerophylla",0.83,0.17,"closed",0,1
"Barthea_barthei",1,0,"closed",0,1
"Behuria_comosa",0.83,0.17,"closed",0,1
"Behuria_glutinosa",1,0,"closed",0,1
"Bellucia_aequiloba",1,0,"closed",0,1
"Bellucia_arborescens",0.94,0.06,"closed",0,1
"Bellucia_grossularioides",0.9,0.1,"closed",0,1
"Bellucia_mespiloides",0.93,0.07,"closed",0,1
"Bellucia_pentamera",0.96,0.04,"closed",0,1
"Bellucia_spruceana",0.99,0.01,"closed",0,1
"Bellucia_subandina",1,0,"closed",0,1
"Bertolonia_maculata",1,0,"closed",0,1
"Bertolonia_marmorata",0.82,0.18,"closed",0,1
"Bertolonia_mosenii",0.97,0.03,"closed",0,1
"Blakea_acuminata",1,0,"closed",0,1
"Blakea_albertiae",1,0,"closed",0,1
"Blakea_alternifolia",1,0,"closed",0,1
"Blakea_anomala",1,0,"closed",0,1
"Blakea_brasiliensis",1,0,"closed",0,1
"Blakea_brevibractea",1,0,"closed",0,1
"Blakea_brunnea",1,0,"closed",0,1
"Blakea_bullata",1,0,"closed",0,1
"Blakea_calycosa",1,0,"closed",0,1
"Blakea_calycularis",1,0,"closed",0,1
"Blakea_castanedae",1,0,"closed",0,1
"Blakea_chlorantha",1,0,"closed",0,1
"Blakea_cordata",1,0,"closed",0,1
"Blakea_costaricensis",0.83,0.17,"closed",0,1
"Blakea_crinita",1,0,"closed",0,1
"Blakea_cutucuensis",1,0,"closed",0,1
"Blakea_dodsonorum",1,0,"closed",0,1
"Blakea_foliacea",1,0,"closed",0,1
"Blakea_fragrantissima",1,0,"closed",0,1
"Blakea_fuchsioides",1,0,"closed",0,1
"Blakea_gerardoana",1,0,"closed",0,1
"Blakea_glaberrima",1,0,"closed",0,1
"Blakea_glabrescens",1,0,"closed",0,1
"Blakea_gracilis",1,0,"closed",0,1
"Blakea_granatensis",1,0,"closed",0,1
"Blakea_grandiflora",1,0,"closed",0,1
"Blakea_guatemalensis",1,0,"closed",0,1
"Blakea_henripittieri",1,0,"closed",0,1
"Blakea_hexandra",1,0,"closed",0,1
"Blakea_hirsuta",1,0,"closed",0,1
"Blakea_hispida",0.75,0.25,"closed",0,1
"Blakea_intricata",1,0,"closed",0,1
"Blakea_involvens",1,0,"closed",0,1
"Blakea_jativae",1,0,"closed",0,1
"Blakea_lanuginosa",1,0,"closed",0,1
"Blakea_litoralis",0.83,0.17,"closed",0,1
"Blakea_maurofernandeziana",0.96,0.04,"closed",0,1
"Blakea_micrantha",1,0,"closed",0,1
"Blakea_multiflora",0.93,0.07,"closed",0,1
"Blakea_oldemanii",0.88,0.12,"closed",0,1
"Blakea_paleacea",1,0,"closed",0,1
"Blakea_parvifolia",1,0,"closed",0,1
"Blakea_pauciflora",1,0,"closed",0,1
"Blakea_penduliflora",1,0,"closed",0,1
"Blakea_platypoda",1,0,"closed",0,1
