"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Alzatea_verticillata",1,0,"closed",0,1
"Axinandra_coriacea",0.89,0.11,"closed",0,1
"Axinandra_zeylanica",1,0,"closed",0,1
"Crypteronia_glabriflora",1,0,"closed",0,1
"Crypteronia_griffithii",0.84,0.16,"closed",0,1
"Crypteronia_paniculata",0.96,0.04,"closed",0,1
"Dactylocladus_stenostachys",0.83,0.17,"closed",0,1
"Diplusodon_adpressipilus",0,1,"open",1,0
"Diplusodon_alatus",0,1,"open",1,0
"Diplusodon_appendiculosus",0,1,"open",1,0
"Diplusodon_argenteus",0,1,"open",1,0
"Diplusodon_argyrophyllus",0.67,0.33,"closed",1,1
"Diplusodon_astictus",0,1,"open",1,0
"Diplusodon_bolivianus",0.64,0.36,"closed",1,1
"Diplusodon_bradei",1,0,"closed",0,1
"Diplusodon_candollei",0.33,0.67,"open",1,1
"Diplusodon_capitalensis",0,1,"open",1,0
"Diplusodon_ciliatiflorus",0,1,"open",1,0
"Diplusodon_cordifolius",0,1,"open",1,0
"Diplusodon_cryptanthus",0,1,"open",1,0
"Diplusodon_divaricatus",0,1,"open",1,0
"Diplusodon_epilobioides",0.23,0.77,"open",1,0
"Diplusodon_ericoides",0,1,"open",1,0
"Diplusodon_glocimarii",0.33,0.67,"open",1,1
"Diplusodon_hatschbachii",0,1,"open",1,0
"Diplusodon_hirsutus",0.43,0.57,"open",1,1
"Diplusodon_kielmeyeroides",0,1,"open",1,0
"Diplusodon_lanceolatus",0.09,0.91,"open",1,0
"Diplusodon_longipes",0,1,"open",1,0
"Diplusodon_macrodon",0,1,"open",1,0
"Diplusodon_micromerus",0,1,"open",1,0
"Diplusodon_microphyllus",0.46,0.54,"open",1,1
"Diplusodon_oblongus",0.08,0.92,"open",1,0
"Diplusodon_paraisoensis",0,1,"open",1,0
"Diplusodon_parvifolius",0,1,"open",1,0
"Diplusodon_plumbeus",0,1,"open",1,0
"Diplusodon_puberulus",0.08,0.92,"open",1,0
"Diplusodon_punctatus",0,1,"open",1,0
"Diplusodon_quintuplinervius",0.17,0.83,"open",1,0
"Diplusodon_ramosissimus",0,1,"open",1,0
"Diplusodon_rosmarinifolius",0,1,"open",1,0
"Diplusodon_sessiliflorus",0,1,"open",1,0
"Diplusodon_sigillatus",0,1,"open",1,0
"Diplusodon_sordidus",0,1,"open",1,0
"Diplusodon_speciosus",0,1,"open",1,0
"Diplusodon_strigosus",0.07,0.93,"open",1,0
"Diplusodon_thymifolius",0.31,0.69,"open",1,1
"Diplusodon_uninervius",0.17,0.83,"open",1,0
"Diplusodon_vidalii",1,0,"closed",0,1
"Diplusodon_villosissimus",0.2,0.8,"open",1,0
"Aciotis_rubricaulis",0.95,0.05,"closed",0,1
"Adelobotrys_adscendens",0.99,0.01,"closed",0,1
"Adelobotrys_boissieriana",1,0,"closed",0,1
"Adelobotrys_macrantha",1,0,"closed",0,1
"Allomaieta_ebejicosana",1,0,"closed",0,1
"Allomaieta_grandiflora",1,0,"closed",0,1
"Allomaieta_hirsuta",1,0,"closed",0,1
"Allomaieta_pancurana",1,0,"closed",0,1
"Allomaieta_villosa",1,0,"closed",0,1
"Allomaieta_zenufanasana",1,0,"closed",0,1
"Alloneuron_ulei",1,0,"closed",0,1
"Amphiblemma_cymosum",1,0,"closed",0,1
"Arthrostemma_ciliatum",0.98,0.02,"closed",0,1
"Astronia_macrophylla",0.89,0.11,"closed",0,1
"Astronia_smilacifolia",0.9,0.1,"closed",0,1
"Barthea_barthei",1,0,"closed",0,1
"Bellucia_aequiloba",1,0,"closed",0,1
"Bellucia_grossularioides",0.9,0.1,"closed",0,1
"Bellucia_pentamera",0.96,0.04,"closed",0,1
"Bertolonia_maculata",1,0,"closed",0,1
"Bertolonia_marmorata",0.82,0.18,"closed",0,1
"Bertolonia_mosenii",0.97,0.03,"closed",0,1
"Blakea_gracilis",1,0,"closed",0,1
"Blakea_schlimii",1,0,"closed",0,1
"Blakea_trinervia",1,0,"closed",0,1
"Blastus_cochinchinensis",1,0,"closed",0,1
"Calvoa_orientalis",0.81,0.19,"closed",0,1
"Cambessedesia_corymbosa",0.41,0.59,"open",1,1
"Cambessedesia_hermogenesii",0.33,0.67,"open",1,1
"Cambessedesia_hilariana",0.11,0.89,"open",1,0
"Cambessedesia_purpurata",0.25,0.75,"open",1,0
"Cambessedesia_rupestris",0.67,0.33,"closed",1,1
"Cambessedesia_tenuis",0.17,0.83,"open",1,0
"Castratella_piloselloides",0.62,0.38,"closed",1,1
"Centradenia_inaequilateralis",1,0,"closed",0,1
"Chaetostoma_cupressinum",0,1,"open",1,0
"Clidemia_dentata",0.98,0.02,"closed",0,1
"Clidemia_octona",0.97,0.03,"closed",0,1
"Clidemia_petiolaris",0.99,0.01,"closed",0,1
"Clidemia_rubra",0.81,0.19,"closed",0,1
"Clidemia_septuplinervia",0.99,0.01,"closed",0,1
"Clidemia_setosa",0.98,0.02,"closed",0,1
"Comolia_microphylla",0.86,0.14,"closed",0,1
"Conostegia_bracteata",1,0,"closed",0,1
"Conostegia_cinnamomea",0.91,0.09,"closed",0,1
"Conostegia_icosandra",0.94,0.06,"closed",0,1
"Conostegia_subcrustulata",0.97,0.03,"closed",0,1
"Cyphotheca_montana",1,0,"closed",0,1
"Desmoscelis_villosa",0.45,0.55,"open",1,1
"Dichaetanthera_asperrima",1,0,"closed",0,1
"Driessenia_glanduligera",0.75,0.25,"closed",0,1
"Eriocnema_fulva",0,1,"open",1,0
"Graffenrieda_latifolia",0.94,0.06,"closed",0,1
"Graffenrieda_moritziana",1,0,"closed",0,1
"Graffenrieda_rotundifolia",0.14,0.86,"open",1,0
"Henriettea_martiusii",0.91,0.09,"closed",0,1
"Henriettea_patrisiana",0.68,0.32,"closed",1,1
"Heterocentron_elegans",1,0,"closed",0,1
"Heterocentron_subtriplinervium",1,0,"closed",0,1
"Heterotis_rotundifolia",0.68,0.32,"closed",1,1
"Lavoisiera_alba",0.3,0.7,"open",1,1
"Lavoisiera_caryophyllea",0.67,0.33,"closed",1,1
"Lavoisiera_confertiflora",0.17,0.83,"open",1,0
"Lavoisiera_cordata",0.67,0.33,"closed",1,1
"Lavoisiera_crassifolia",0,1,"open",1,0
"Lavoisiera_imbricata",0.35,0.65,"open",1,1
"Lavoisiera_macrocarpa",0,1,"open",1,0
"Lavoisiera_pulchella",0.29,0.71,"open",1,1
"Lavoisiera_subulata",0,1,"open",1,0
"Leandra_dichotoma",0.99,0.01,"closed",0,1
