"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Bartsia_alpina",0.55,0.45,"closed",1,1
"Euphrasia_alsa",0,1,"open",1,0
"Euphrasia_collina",0.62,0.38,"closed",1,1
"Euphrasia_mollis",0.75,0.25,"closed",0,1
"Euphrasia_regelii",0.53,0.47,"closed",1,1
"Euphrasia_stricta",0.86,0.14,"closed",0,1
"Hedbergia_abyssinica",0.43,0.57,"open",1,1
"Lathraea_squamaria",0.99,0.01,"closed",0,1
"Melampyrum_lineare",0.98,0.02,"closed",0,1
"Melampyrum_sylvaticum",0.72,0.28,"closed",1,1
"Odontites_aucheri",0.45,0.55,"open",1,1
"Odontites_corsicus",0,1,"open",1,0
"Odontites_vulgaris",1,0,"closed",0,1
"Rhinanthus_freynii",1,0,"closed",0,1
"Rhinanthus_serotinus",0.98,0.02,"closed",0,1
"Rhynchocorys_elephas",1,0,"closed",0,1
"Rhynchocorys_kurdica",1,0,"closed",0,1
"Rhynchocorys_maxima",1,0,"closed",0,1
"Rhynchocorys_orientalis",0.88,0.12,"closed",0,1
"Tozzia_alpina",0.97,0.03,"closed",0,1
