"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Aphyllon_arizonicum",0.38,0.62,"open",1,1
"Aphyllon_chilense",0.14,0.86,"open",1,0
"Aphyllon_corymbosum",0.83,0.17,"closed",0,1
"Aphyllon_dugesii",0.33,0.67,"open",1,1
"Aphyllon_fasciculatum",0.37,0.63,"open",1,1
"Aphyllon_ludovicianum",0.17,0.83,"open",1,0
"Aphyllon_multiflorum",0.09,0.91,"open",1,0
"Aphyllon_pinorum",0.8,0.2,"closed",0,1
"Aphyllon_purpureum",0.56,0.44,"closed",1,1
"Aphyllon_riparium",0,1,"open",1,0
"Aphyllon_tuberosum",0.07,0.93,"open",1,0
"Aphyllon_vallicolum",0,1,"open",1,0
"Boschniakia_himalaica",0.88,0.12,"closed",0,1
"Boschniakia_rossica",0.56,0.44,"closed",1,1
"Cistanche_deserticola",0.17,0.83,"open",1,0
"Cistanche_mauritanica",0,1,"open",1,0
"Cistanche_ridgewayana",0,1,"open",1,0
"Cistanche_rosea",0,1,"open",1,0
"Cistanche_sinensis",0,1,"open",1,0
"Cistanche_violacea",0,1,"open",1,0
"Conopholis_americana",0.98,0.02,"closed",0,1
"Epifagus_virginiana",0.99,0.01,"closed",0,1
"Mannagettaea_hummelii",0,1,"open",1,0
"Orobanche_alba",0.55,0.45,"closed",1,1
"Orobanche_alsatica",0.94,0.06,"closed",0,1
"Orobanche_amethystea",0.05,0.95,"open",1,0
"Orobanche_amoena",0.2,0.8,"open",1,0
"Orobanche_artemisiae-campestris",0.25,0.75,"open",1,0
"Orobanche_austrohispanica",0,1,"open",1,0
"Orobanche_caryophyllacea",0.71,0.29,"closed",1,1
"Orobanche_cernua",0.12,0.88,"open",1,0
"Orobanche_clausonis",0.05,0.95,"open",1,0
"Orobanche_coerulescens",0.75,0.25,"closed",0,1
"Orobanche_colorata",1,0,"closed",0,1
"Orobanche_crenata",0,1,"open",1,0
"Orobanche_cumana",0.32,0.68,"open",1,1
"Orobanche_densiflora",0,1,"open",1,0
"Orobanche_elatior",0.81,0.19,"closed",0,1
"Orobanche_flava",1,0,"closed",0,1
"Orobanche_foetida",0.02,0.98,"open",1,0
"Orobanche_gamosepala",0.9,0.1,"closed",0,1
"Orobanche_gracilis",0.33,0.67,"open",1,1
"Orobanche_grenieri",1,0,"closed",0,1
"Orobanche_grossheimii",1,0,"closed",0,1
"Orobanche_hederae",0.23,0.77,"open",1,0
"Orobanche_inulae",1,0,"closed",0,1
"Orobanche_kochii",0.83,0.17,"closed",0,1
"Orobanche_kurdica",1,0,"closed",0,1
"Orobanche_laxissima",1,0,"closed",0,1
"Orobanche_leptantha",0,1,"open",1,0
"Orobanche_lucorum",1,0,"closed",0,1
"Orobanche_lutea",0.85,0.15,"closed",0,1
"Orobanche_lycoctoni",1,0,"closed",0,1
"Orobanche_minor",0.43,0.57,"open",1,1
"Orobanche_owerinii",1,0,"closed",0,1
"Orobanche_pancicii",1,0,"closed",0,1
"Orobanche_picridis",0.73,0.27,"closed",1,1
"Orobanche_pubescens",0,1,"open",1,0
"Orobanche_pycnostachya",0.78,0.22,"closed",0,1
"Orobanche_rapum-genistae",0.27,0.73,"open",1,1
"Orobanche_reticulata",0.73,0.27,"closed",1,1
"Orobanche_salviae",1,0,"closed",0,1
"Orobanche_sanguinea",0.05,0.95,"open",1,0
"Orobanche_sintenisii",1,0,"closed",0,1
"Orobanche_teucrii",0.93,0.07,"closed",0,1
"Phacellanthus_tubiflorus",0.93,0.07,"closed",0,1
"Phelipanche_aegyptiaca",0.14,0.86,"open",1,0
"Phelipanche_arenaria",0.31,0.69,"open",1,1
"Phelipanche_bohemica",0.67,0.33,"closed",1,1
"Phelipanche_caesia",0.2,0.8,"open",1,0
"Phelipanche_coelestis",0.69,0.31,"closed",1,1
"Phelipanche_gratiosa",0,1,"open",1,0
"Phelipanche_inexspectata",1,0,"closed",0,1
"Phelipanche_lavandulacea",0,1,"open",1,0
"Phelipanche_mutelii",0.19,0.81,"open",1,0
"Phelipanche_portoilicitana",0,1,"open",1,0
"Phelipanche_purpurea",0.73,0.27,"closed",1,1
"Phelipanche_ramosa",0.11,0.89,"open",1,0
"Phelipanche_reuteriana",0,1,"open",1,0
"Phelipanche_rosmarina",0,1,"open",1,0
"Phelipanche_schultzii",0.03,0.97,"open",1,0
"Phelypaea_coccinea",1,0,"closed",0,1
