"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Agathis_atropurpurea",0.67,0.33,"closed",1,1
"Agathis_australis",1,0,"closed",0,1
"Agathis_borneensis",0.93,0.07,"closed",0,1
"Agathis_dammara",0.96,0.04,"closed",0,1
"Agathis_labillardierei",1,0,"closed",0,1
"Agathis_lanceolata",1,0,"closed",0,1
"Agathis_macrophylla",1,0,"closed",0,1
"Agathis_microstachya",1,0,"closed",0,1
"Agathis_moorei",1,0,"closed",0,1
"Agathis_ovata",1,0,"closed",0,1
"Agathis_robusta",0.87,0.13,"closed",0,1
"Agathis_silbae_de",1,0,"closed",0,1
"Araucaria_angustifolia",0.87,0.13,"closed",0,1
"Araucaria_araucana",0.76,0.24,"closed",0,1
"Araucaria_bernieri",1,0,"closed",0,1
"Araucaria_bidwillii",0.71,0.29,"closed",1,1
"Araucaria_biramulata",1,0,"closed",0,1
"Araucaria_columnaris",0.71,0.29,"closed",1,1
"Araucaria_cunninghamii",0.88,0.12,"closed",0,1
"Araucaria_heterophylla",0.62,0.38,"closed",1,1
"Araucaria_humboldtensis",1,0,"closed",0,1
"Araucaria_hunsteinii",1,0,"closed",0,1
"Araucaria_laubenfelsii",1,0,"closed",0,1
"Araucaria_luxurians",1,0,"closed",0,1
"Araucaria_montana",1,0,"closed",0,1
"Araucaria_muelleri",1,0,"closed",0,1
"Araucaria_nemorosa_de",1,0,"closed",0,1
"Araucaria_rulei",1,0,"closed",0,1
"Araucaria_schmidii_de",1,0,"closed",0,1
"Araucaria_scopulorum_de",1,0,"closed",0,1
"Araucaria_subulata",1,0,"closed",0,1
"Wollemia_nobilis",0.71,0.29,"closed",1,1
"Cephalotaxus_fortunei",0.99,0.01,"closed",0,1
"Cephalotaxus_hainanensis",1,0,"closed",0,1
"Cephalotaxus_harringtonii",0.64,0.36,"closed",1,1
"Cephalotaxus_lanceolata",1,0,"closed",0,1
"Cephalotaxus_latifolia",1,0,"closed",0,1
"Cephalotaxus_mannii",1,0,"closed",0,1
"Cephalotaxus_oliveri",1,0,"closed",0,1
"Cephalotaxus_sinensis",0.99,0.01,"closed",0,1
"Actinostrobus_acuminatus",0,1,"open",1,0
"Actinostrobus_arenarius",0,1,"open",1,0
"Actinostrobus_pyramidalis",0,1,"open",1,0
"Athrotaxis_cupressoides",1,0,"closed",0,1
"Athrotaxis_laxifolia",1,0,"closed",0,1
"Athrotaxis_selaginoides",1,0,"closed",0,1
"Austrocedrus_chilensis",0.89,0.11,"closed",0,1
"Callitris_canescens",0,1,"open",1,0
"Callitris_columellaris",0.13,0.87,"open",1,0
"Callitris_drummondii",0,1,"open",1,0
"Callitris_endlicheri",0.57,0.43,"closed",1,1
"Callitris_macleayana",0.88,0.12,"closed",0,1
"Callitris_muelleri",1,0,"closed",0,1
"Callitris_preissii",0.06,0.94,"open",1,0
"Callitris_rhomboidea",0.75,0.25,"closed",0,1
"Callitris_sulcata",1,0,"closed",0,1
"Callitris_verrucosa",0.07,0.93,"open",1,0
"Calocedrus_decurrens",0.6,0.4,"closed",1,1
"Calocedrus_formosana",1,0,"closed",0,1
"Calocedrus_macrolepis",1,0,"closed",0,1
"Calocedrus_rupestris",1,0,"closed",0,1
"Chamaecyparis_formosensis",1,0,"closed",0,1
"Chamaecyparis_lawsoniana",0.85,0.15,"closed",0,1
"Chamaecyparis_obtusa",1,0,"closed",0,1
"Chamaecyparis_pisifera",0.97,0.03,"closed",0,1
"Chamaecyparis_thyoides",0.99,0.01,"closed",0,1
"Cryptomeria_japonica",0.93,0.07,"closed",0,1
"Cunninghamia_konishii",1,0,"closed",0,1
"Cunninghamia_lanceolata",1,0,"closed",0,1
"Cupressus_chengiana",0.58,0.42,"closed",1,1
"Cupressus_duclouxiana",0.92,0.08,"closed",0,1
"Cupressus_dupreziana",0,1,"open",1,0
"Cupressus_funebris",0.99,0.01,"closed",0,1
"Cupressus_sempervirens",0.31,0.69,"open",1,1
"Cupressus_torulosa",0.71,0.29,"closed",1,1
"Diselma_archeri",1,0,"closed",0,1
"Fitzroya_cupressoides",1,0,"closed",0,1
"Fokienia_hodginsii",1,0,"closed",0,1
"Glyptostrobus_pensilis",1,0,"closed",0,1
"Juniperus_angosturana",0.67,0.33,"closed",1,1
"Juniperus_ashei",0.16,0.84,"open",1,0
"Juniperus_barbadensis",1,0,"closed",0,1
"Juniperus_bermudiana",0.73,0.27,"closed",1,1
"Juniperus_blancoi",0.72,0.28,"closed",1,1
"Juniperus_californica",0.04,0.96,"open",1,0
"Juniperus_chinensis",0.81,0.19,"closed",0,1
"Juniperus_coahuilensis",0.42,0.58,"open",1,1
"Juniperus_comitana",1,0,"closed",0,1
"Juniperus_convallium",0.31,0.69,"open",1,1
"Juniperus_deppeana",0.77,0.23,"closed",0,1
"Juniperus_drupacea",0,1,"open",1,0
"Juniperus_durangensis",0.9,0.1,"closed",0,1
"Juniperus_excelsa",0.71,0.29,"closed",1,1
"Juniperus_flaccida",0.85,0.15,"closed",0,1
"Juniperus_formosana",0.9,0.1,"closed",0,1
"Juniperus_gamboana",1,0,"closed",0,1
"Juniperus_gracilior",1,0,"closed",0,1
"Juniperus_horizontalis",0.62,0.38,"closed",1,1
"Juniperus_indica",0.5,0.5,"closed",1,1
"Juniperus_komarovii",0.5,0.5,"closed",1,1
"Juniperus_monosperma",0.38,0.62,"open",1,1
"Juniperus_occidentalis",0.44,0.56,"open",1,1
"Juniperus_osteosperma",0.18,0.82,"open",1,0
"Juniperus_oxycedrus",0.18,0.82,"open",1,0
"Juniperus_phoenicea",0.08,0.92,"open",1,0
"Juniperus_pinchotii",0.32,0.68,"open",1,1
"Juniperus_pingii",0.67,0.33,"closed",1,1
"Juniperus_procera",0.33,0.67,"open",1,1
"Juniperus_procumbens",0.85,0.15,"closed",0,1
"Juniperus_przewalskii",0.27,0.73,"open",1,1
"Juniperus_pseudosabina",0.18,0.82,"open",1,0
"Juniperus_recurva",0.59,0.41,"closed",1,1
"Juniperus_rigida",1,0,"closed",0,1
"Juniperus_sabina",0.61,0.39,"closed",1,1
"Juniperus_saltillensis",0.59,0.41,"closed",1,1
"Juniperus_saltuaria",0.72,0.28,"closed",1,1
"Juniperus_saxicola",1,0,"closed",0,1
"Juniperus_scopulorum",0.46,0.54,"open",1,1
"Juniperus_semiglobosa",0.05,0.95,"open",1,0
"Juniperus_squamata",0.6,0.4,"closed",1,1
"Juniperus_taxifolia",1,0,"closed",0,1
"Juniperus_thurifera",0.08,0.92,"open",1,0
"Juniperus_tibetica",0.38,0.62,"open",1,1
"Libocedrus_bidwillii",0.78,0.22,"closed",0,1
"Libocedrus_plumosa",1,0,"closed",0,1
"Metasequoia_glyptostroboides",0.78,0.22,"closed",0,1
"Microbiota_decussata",1,0,"closed",0,1
"Neocallitropsis_pancheri",1,0,"closed",0,1
"Papuacedrus_papuana",0.72,0.28,"closed",1,1
"Pilgerodendron_uviferum",0.96,0.04,"closed",0,1
"Platycladus_orientalis",0.8,0.2,"closed",0,1
"Sequoia_sempervirens",0.44,0.56,"open",1,1
"Sequoiadendron_giganteum",0.54,0.46,"closed",1,1
"Taiwania_cryptomerioides",1,0,"closed",0,1
"Taxodium_distichum",0.84,0.16,"closed",0,1
"Taxodium_mucronatum",0.78,0.22,"closed",0,1
"Tetraclinis_articulata",0.02,0.98,"open",1,0
"Thuja_koraiensis",1,0,"closed",0,1
"Thuja_plicata",0.91,0.09,"closed",0,1
"Thuja_standishii",1,0,"closed",0,1
"Widdringtonia_cedarbergensis",0,1,"open",1,0
"Widdringtonia_nodiflora",0.03,0.97,"open",1,0
"Widdringtonia_schwarzii",0,1,"open",1,0
"Widdringtonia_whytei",0,1,"open",1,0
"Xanthocyparis_nootkatensis",0.97,0.03,"closed",0,1
"Xanthocyparis_vietnamensis",1,0,"closed",0,1
"Phyllocladus_alpinus",0.65,0.35,"closed",1,1
"Phyllocladus_aspleniifolius",1,0,"closed",0,1
"Phyllocladus_hypophyllus",0.9,0.1,"closed",0,1
"Phyllocladus_toatoa",1,0,"closed",0,1
"Phyllocladus_trichomanoides",0.81,0.19,"closed",0,1
"Abies_alba",1,0,"closed",0,1
"Abies_amabilis",0.94,0.06,"closed",0,1
"Abies_beshanzuensis",1,0,"closed",0,1
"Abies_bracteata",0,1,"open",1,0
"Abies_chensiensis",1,0,"closed",0,1
"Abies_cilicica",0.36,0.64,"open",1,1
"Abies_concolor",0.66,0.34,"closed",1,1
"Abies_delavayi",0.95,0.05,"closed",0,1
"Abies_densa",0.11,0.89,"open",1,0
"Abies_durangensis",0.9,0.1,"closed",0,1
"Abies_fabri",0.95,0.05,"closed",0,1
"Abies_fargesii",0.79,0.21,"closed",0,1
"Abies_firma",1,0,"closed",0,1
"Abies_forrestii",0.95,0.05,"closed",0,1
"Abies_fraseri",1,0,"closed",0,1
"Abies_guatemalensis",0.98,0.02,"closed",0,1
"Abies_hidalgensis",1,0,"closed",0,1
"Abies_holophylla",1,0,"closed",0,1
"Abies_homolepis",1,0,"closed",0,1
"Abies_kawakamii",1,0,"closed",0,1
"Abies_koreana",0.94,0.06,"closed",0,1
"Abies_lasiocarpa",0.86,0.14,"closed",0,1
"Abies_mariesii",1,0,"closed",0,1
"Abies_nebrodensis",0,1,"open",1,0
"Abies_nephrolepis",0.98,0.02,"closed",0,1
"Abies_nordmanniana",0.99,0.01,"closed",0,1
"Abies_numidica_de",1,0,"closed",0,1
"Abies_pindrow",0.36,0.64,"open",1,1
"Abies_pinsapo",0.17,0.83,"open",1,0
"Abies_procera",0.98,0.02,"closed",0,1
"Abies_recurvata",0.67,0.33,"closed",1,1
"Abies_religiosa",0.98,0.02,"closed",0,1
"Abies_sachalinensis",1,0,"closed",0,1
"Abies_sibirica",0.94,0.06,"closed",0,1
"Abies_spectabilis",0.43,0.57,"open",1,1
"Abies_veitchii",1,0,"closed",0,1
"Abies_vejarii",1,0,"closed",0,1
"Abies_yuanbaoshanensis",1,0,"closed",0,1
"Abies_ziyuanensis",1,0,"closed",0,1
"Cathaya_argyrophylla",1,0,"closed",0,1
"Cedrus_atlantica",0.5,0.5,"closed",1,1
"Cedrus_deodara",0.6,0.4,"closed",1,1
"Cedrus_libani",0.76,0.24,"closed",0,1
"Keteleeria_davidiana",1,0,"closed",0,1
"Keteleeria_evelyniana",0.99,0.01,"closed",0,1
"Keteleeria_fortunei",1,0,"closed",0,1
