"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Androsace_adfinis",1,0,"closed",0,1
"Androsace_albana",1,0,"closed",0,1
"Androsace_alpina",1,0,"closed",0,1
"Androsace_axillaris",0.89,0.11,"closed",0,1
"Androsace_brevis",1,0,"closed",0,1
"Androsace_bulleyana",0.93,0.07,"closed",0,1
"Androsace_chaixii",0.25,0.75,"open",1,0
"Androsace_chamaejasme",0.54,0.46,"closed",1,1
"Androsace_ciliata",1,0,"closed",0,1
"Androsace_cuscutiformis",1,0,"closed",0,1
"Androsace_cuttingii",0.11,0.89,"open",1,0
"Androsace_cylindrica_subsp._cylindrica",1,0,"closed",0,1
"Androsace_cylindrica_subsp._willkommii",0.33,0.67,"open",1,1
"Androsace_delavayi",0.93,0.07,"closed",0,1
"Androsace_elatior",0,1,"open",1,0
"Androsace_elongata_subsp._elongata",0,1,"open",1,0
"Androsace_erecta",0.46,0.54,"open",1,1
"Androsace_filiformis",0.82,0.18,"closed",0,1
"Androsace_globifera",0.3,0.7,"open",1,1
"Androsace_halleri",1,0,"closed",0,1
"Androsace_hausmannii",1,0,"closed",0,1
"Androsace_helvetica",0.98,0.02,"closed",0,1
"Androsace_hookeriana",0.67,0.33,"closed",1,1
"Androsace_lactiflora",0.22,0.78,"open",1,0
"Androsace_limprichtii",0.38,0.62,"open",1,1
"Androsace_mariae",0.31,0.69,"open",1,1
"Androsace_mathildae",1,0,"closed",0,1
"Androsace_maxima",0.32,0.68,"open",1,1
"Androsace_minor",0.64,0.36,"closed",1,1
"Androsace_obtusifolia",1,0,"closed",0,1
"Androsace_pubescens",1,0,"closed",0,1
"Androsace_pyrenaica",1,0,"closed",0,1
"Androsace_rioxana",0,1,"open",1,0
"Androsace_sempervivoides",0.25,0.75,"open",1,0
"Androsace_septentrionalis",0.63,0.37,"closed",1,1
"Androsace_spinulifera",0.77,0.23,"closed",0,1
"Androsace_stenophylla",0.29,0.71,"open",1,1
"Androsace_sublanata",0.5,0.5,"closed",1,1
"Androsace_triflora",0,1,"open",1,0
"Androsace_vandellii",0.56,0.44,"closed",1,1
"Androsace_vitaliana",0.89,0.11,"closed",0,1
"Androsace_wulfeniana",1,0,"closed",0,1
"Dionysia_haussknechtii",1,0,"closed",0,1
"Dionysia_lindbergii",0,1,"open",1,0
"Dionysia_tapetodes",0,1,"open",1,0
"Dodecatheon_alpinum",0.84,0.16,"closed",0,1
"Dodecatheon_clevelandii",0,1,"open",1,0
"Dodecatheon_conjugens",0.54,0.46,"closed",1,1
"Dodecatheon_dentatum",1,0,"closed",0,1
"Dodecatheon_frigidum",0.34,0.66,"open",1,1
"Dodecatheon_hendersonii",0.7,0.3,"closed",1,1
"Dodecatheon_poeticum",0.67,0.33,"closed",1,1
"Douglasia_arctica",0.12,0.88,"open",1,0
"Douglasia_beringensis",0,1,"open",1,0
"Douglasia_gormanii",0.23,0.77,"open",1,0
"Douglasia_laevigata",1,0,"closed",0,1
"Douglasia_nivalis",1,0,"closed",0,1
"Douglasia_ochotensis",0,1,"open",1,0
"Hottonia_inflata",1,0,"closed",0,1
"Hottonia_palustris",1,0,"closed",0,1
"Omphalogramma_delavayi",1,0,"closed",0,1
"Omphalogramma_souliei",1,0,"closed",0,1
"Pomatosace_filicula",0.28,0.72,"open",1,1
"Primula_advena",0.86,0.14,"closed",0,1
"Primula_algida",0.43,0.57,"open",1,1
"Primula_aliciae",0,1,"open",1,0
"Primula_alpicola",1,0,"closed",0,1
"Primula_amethystina",0.9,0.1,"closed",0,1
"Primula_angustifolia",1,0,"closed",0,1
"Primula_anvilensis",0,1,"open",1,0
"Primula_aromatica",0.5,0.5,"closed",1,1
"Primula_asarifolia",1,0,"closed",0,1
"Primula_aurantiaca",1,0,"closed",0,1
"Primula_auriculata",1,0,"closed",0,1
"Primula_barbicalyx",1,0,"closed",0,1
"Primula_bella",0.93,0.07,"closed",0,1
"Primula_bellidifolia",0.5,0.5,"closed",1,1
"Primula_blattariformis",0.86,0.14,"closed",0,1
"Primula_borealis",0.07,0.93,"open",1,0
"Primula_boreiocalliantha",0.8,0.2,"closed",0,1
"Primula_calderiana",1,0,"closed",0,1
"Primula_calliantha",0.78,0.22,"closed",0,1
"Primula_capitata",0.18,0.82,"open",1,0
"Primula_caveana",0,1,"open",1,0
"Primula_celsiiformis",0,1,"open",1,0
"Primula_cernua",1,0,"closed",0,1
"Primula_chionantha",1,0,"closed",0,1
"Primula_chungensis",0.61,0.39,"closed",1,1
"Primula_cicutariifolia",1,0,"closed",0,1
"Primula_clusiana",1,0,"closed",0,1
"Primula_cockburniana",0.6,0.4,"closed",1,1
"Primula_cuneifolia_subsp._cuneifolia",0,1,"open",1,0
"Primula_cusickiana_var._maguirei",0,1,"open",1,0
"Primula_deflexa",0.63,0.37,"closed",1,1
"Primula_denticulata",0.65,0.35,"closed",1,1
"Primula_dryadifolia",0.8,0.2,"closed",0,1
"Primula_efarinosa",1,0,"closed",0,1
"Primula_egaliksensis",0.49,0.51,"open",1,1
"Primula_elatior",1,0,"closed",0,1
"Primula_elliptica",0,1,"open",1,0
"Primula_erratica",0,1,"open",1,0
"Primula_eximia",0.3,0.7,"open",1,1
"Primula_faberi",1,0,"closed",0,1
"Primula_farinosa",0.83,0.17,"closed",0,1
"Primula_fasciculata",0.47,0.53,"open",1,1
"Primula_fedtschenkoi",0,1,"open",1,0
"Primula_firmipes",1,0,"closed",0,1
"Primula_flaccida",0.6,0.4,"closed",1,1
"Primula_floribunda",1,0,"closed",0,1
"Primula_forbesii",1,0,"closed",0,1
"Primula_gemmifera",0.67,0.33,"closed",1,1
"Primula_geraniifolia",0.75,0.25,"closed",0,1
"Primula_glabra",0,1,"open",1,0
"Primula_glomerata",0,1,"open",1,0
"Primula_glutinosa",1,0,"closed",0,1
"Primula_grandis",1,0,"closed",0,1
"Primula_halleri",1,0,"closed",0,1
"Primula_heucherifolia",0.91,0.09,"closed",0,1
"Primula_hirsuta",1,0,"closed",0,1
"Primula_incana",0.64,0.36,"closed",1,1
"Primula_interjacens",1,0,"closed",0,1
"Primula_japonica",1,0,"closed",0,1
"Primula_juliae",0.33,0.67,"open",1,1
"Primula_kisoana",0.5,0.5,"closed",1,1
"Primula_latisecta",1,0,"closed",0,1
"Primula_laurentiana",1,0,"closed",0,1
"Primula_littledalei",0,1,"open",1,0
"Primula_luteola",1,0,"closed",0,1
"Primula_malvacea",0.91,0.09,"closed",0,1
"Primula_marginata",0.6,0.4,"closed",1,1
"Primula_maximowiczii",0.77,0.23,"closed",0,1
"Primula_megaseifolia",1,0,"closed",0,1
"Primula_merrilliana",1,0,"closed",0,1
"Primula_minima",1,0,"closed",0,1
"Primula_minor",1,0,"closed",0,1
"Primula_mistassinica",0.92,0.08,"closed",0,1
"Primula_mollis",1,0,"closed",0,1
"Primula_moupinensis",1,0,"closed",0,1
"Primula_muscarioides",0.91,0.09,"closed",0,1
"Primula_muscoides",0,1,"open",1,0
"Primula_nipponica",1,0,"closed",0,1
"Primula_nivalis",0.51,0.49,"closed",1,1
"Primula_nutans",0.46,0.54,"open",1,1
"Primula_obconica",0.98,0.02,"closed",0,1
"Primula_odontocalyx",1,0,"closed",0,1
"Primula_orbicularis",0.4,0.6,"open",1,1
"Primula_ovalifolia",1,0,"closed",0,1
"Primula_palinuri",0,1,"open",1,0
"Primula_parryi",0.96,0.04,"closed",0,1
"Primula_petelotii",1,0,"closed",0,1
"Primula_pinnata",1,0,"closed",0,1
"Primula_poissonii",0.91,0.09,"closed",0,1
"Primula_polyneura",0.75,0.25,"closed",0,1
"Primula_prenantha",0.67,0.33,"closed",1,1
"Primula_primulina",0.15,0.85,"open",1,0
"Primula_prolifera",1,0,"closed",0,1
"Primula_pulchella",0.61,0.39,"closed",1,1
"Primula_pulverulenta",1,0,"closed",0,1
"Primula_pumilio",0,1,"open",1,0
"Primula_pycnoloba",1,0,"closed",0,1
"Primula_reidii",0.5,0.5,"closed",1,1
"Primula_reptans",0,1,"open",1,0
"Primula_reticulata",0.33,0.67,"open",1,1
"Primula_rotundifolia",0.2,0.8,"open",1,0
"Primula_rugosa",1,0,"closed",0,1
"Primula_rusbyi",0.78,0.22,"closed",0,1
"Primula_scandinavica",0.29,0.71,"open",1,1
"Primula_secundiflora",0.67,0.33,"closed",1,1
"Primula_septemloba",0.8,0.2,"closed",0,1
"Primula_serrata",0.34,0.66,"open",1,1
"Primula_sertulum",0.6,0.4,"closed",1,1
"Primula_sinensis",0.78,0.22,"closed",0,1
"Primula_sinolisteri",1,0,"closed",0,1
"Primula_sinomollis",1,0,"closed",0,1
"Primula_sonchifolia",0.88,0.12,"closed",0,1
"Primula_souliei",1,0,"closed",0,1
"Primula_specuicola",0,1,"open",1,0
"Primula_stirtoniana",0,1,"open",1,0
"Primula_stuartii",0.33,0.67,"open",1,1
"Primula_suffrutescens",1,0,"closed",0,1
"Primula_tenuiloba",0,1,"open",1,0
"Primula_tschuktschorum",0.13,0.87,"open",1,0
"Primula_veris",0.86,0.14,"closed",0,1
"Primula_verticillata",0,1,"open",1,0
"Primula_vialii",0.87,0.13,"closed",0,1
"Primula_villosa",0.91,0.09,"closed",0,1
"Primula_violacea",0.33,0.67,"open",1,1
"Primula_walshii",0.11,0.89,"open",1,0
"Primula_waltonii",0.43,0.57,"open",1,1
"Primula_wangii",1,0,"closed",0,1
"Primula_warshenewskiana",0,1,"open",1,0
"Primula_watsonii",0.78,0.22,"closed",0,1
"Primula_yunnanensis",0.82,0.18,"closed",0,1
"Soldanella_alpina",0.98,0.02,"closed",0,1
"Soldanella_minima",1,0,"closed",0,1
"Soldanella_villosa",1,0,"closed",0,1
