"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Artocarpus_altilis",0.95,0.05,"closed",0,1
"Bagassa_guianensis",0.97,0.03,"closed",0,1
"Brosimum_alicastrum",0.94,0.06,"closed",0,1
"Brosimum_guianense",0.95,0.05,"closed",0,1
"Brosimum_lactescens",0.87,0.13,"closed",0,1
"Brosimum_rubescens",0.95,0.05,"closed",0,1
"Brosimum_utile",0.95,0.05,"closed",0,1
"Broussonetia_papyrifera",0.99,0.01,"closed",0,1
"Clarisia_biflora",0.96,0.04,"closed",0,1
"Dorstenia_choconiana",1,0,"closed",0,1
"Dorstenia_mannii",0.95,0.05,"closed",0,1
"Ficus_altissima",1,0,"closed",0,1
"Ficus_ampelas",1,0,"closed",0,1
"Ficus_auriculata",1,0,"closed",0,1
"Ficus_benjamina",0.79,0.21,"closed",0,1
"Ficus_bernaysii",1,0,"closed",0,1
"Ficus_caulocarpa",1,0,"closed",0,1
"Ficus_citrifolia",0.87,0.13,"closed",0,1
"Ficus_colubrinae",0.96,0.04,"closed",0,1
"Ficus_congesta",0.64,0.36,"closed",1,1
"Ficus_conocephalifolia",1,0,"closed",0,1
"Ficus_copiosa",0.92,0.08,"closed",0,1
"Ficus_costaricana",0.98,0.02,"closed",0,1
"Ficus_crocata",0.93,0.07,"closed",0,1
"Ficus_cyrtophylla",1,0,"closed",0,1
"Ficus_deltoidea",0.95,0.05,"closed",0,1
"Ficus_erecta",1,0,"closed",0,1
"Ficus_erythrosperma",1,0,"closed",0,1
"Ficus_fistulosa",0.97,0.03,"closed",0,1
"Ficus_fulva",1,0,"closed",0,1
"Ficus_glaberrima",1,0,"closed",0,1
"Ficus_glumosa",0.14,0.86,"open",1,0
"Ficus_gul",0.95,0.05,"closed",0,1
"Ficus_hirta",1,0,"closed",0,1
"Ficus_hispida",0.82,0.18,"closed",0,1
"Ficus_hombroniana",1,0,"closed",0,1
"Ficus_ingens",0.23,0.77,"open",1,0
"Ficus_insipida",0.89,0.11,"closed",0,1
"Ficus_ischnopoda",1,0,"closed",0,1
"Ficus_longifolia",1,0,"closed",0,1
"Ficus_lyrata",0.46,0.54,"open",1,1
"Ficus_maxima",0.88,0.12,"closed",0,1
"Ficus_melinocarpa",0.92,0.08,"closed",0,1
"Ficus_mollior",0.92,0.07,"closed",0,1
"Ficus_mucuso",0.62,0.38,"closed",1,1
"Ficus_natalensis",0.75,0.25,"closed",0,1
"Ficus_nymphaeifolia",0.88,0.12,"closed",0,1
"Ficus_obtusifolia",0.81,0.19,"closed",0,1
"Ficus_pachyrrhachis",1,0,"closed",0,1
"Ficus_pertusa",0.84,0.16,"closed",0,1
"Ficus_polyantha",1,0,"closed",0,1
"Ficus_popenoei",0.97,0.03,"closed",0,1
"Ficus_pumila",0.99,0.01,"closed",0,1
"Ficus_pungens",1,0,"closed",0,1
"Ficus_racemigera",1,0,"closed",0,1
"Ficus_racemosa",0.32,0.68,"open",1,1
"Ficus_religiosa",0.69,0.31,"closed",1,1
"Ficus_sagittata",0.96,0.04,"closed",0,1
"Ficus_sarmentosa",0.96,0.04,"closed",0,1
"Ficus_semicordata",1,0,"closed",0,1
"Ficus_semivestita",1,0,"closed",0,1
"Ficus_septica",0.91,0.09,"closed",0,1
"Ficus_squamosa",1,0,"closed",0,1
"Ficus_stenophylla",1,0,"closed",0,1
"Ficus_subcuneata",1,0,"closed",0,1
"Ficus_subtrinervia",1,0,"closed",0,1
"Ficus_subulata",0.96,0.04,"closed",0,1
"Ficus_superba",0.94,0.06,"closed",0,1
"Ficus_sur",0.36,0.64,"open",1,1
"Ficus_tettensis",0,1,"open",1,0
"Ficus_thonningii",0.33,0.67,"open",1,1
"Ficus_tikoua",1,0,"closed",0,1
"Ficus_tinctoria",0.81,0.19,"closed",0,1
"Ficus_tonduzii",0.97,0.03,"closed",0,1
"Ficus_trachypison",1,0,"closed",0,1
"Ficus_trigona",0.87,0.13,"closed",0,1
"Ficus_trigonata",0.97,0.03,"closed",0,1
"Ficus_virens",0.72,0.28,"closed",1,1
"Ficus_wassa",1,0,"closed",0,1
"Ficus_yoponensis",0.94,0.06,"closed",0,1
"Helicostylis_pedunculata",1,0,"closed",0,1
"Helicostylis_tomentosa",0.93,0.07,"closed",0,1
"Maclura_pomifera",0.45,0.55,"open",1,1
"Maquira_calophylla",0.98,0.02,"closed",0,1
"Milicia_excelsa",0.66,0.34,"closed",1,1
"Naucleopsis_guianensis",0.83,0.17,"closed",0,1
"Perebea_guianensis",0.99,0.01,"closed",0,1
"Perebea_xanthochyma",0.97,0.03,"closed",0,1
"Poulsenia_armata",0.94,0.06,"closed",0,1
"Prainea_limpato",0.8,0.2,"closed",0,1
"Pseudolmedia_spuria",0.95,0.05,"closed",0,1
"Sorocea_affinis",0.95,0.05,"closed",0,1
"Streblus_glaber",0.9,0.1,"closed",0,1
"Streblus_pendulinus",0.71,0.29,"closed",1,1
"Trophis_involucrata",1,0,"closed",0,1
"Trophis_racemosa",0.93,0.07,"closed",0,1
"Ceanothus_americanus",0.74,0.26,"closed",1,1
"Ceanothus_arboreus",0,1,"open",1,0
"Ceanothus_buxifolius",0.74,0.26,"closed",1,1
"Ceanothus_cordulatus",0.75,0.25,"closed",0,1
"Ceanothus_crassifolius",0,1,"open",1,0
"Ceanothus_cyaneus",0,1,"open",1,0
"Ceanothus_dentatus",0,1,"open",1,0
"Ceanothus_diversifolius",0.89,0.11,"closed",0,1
"Ceanothus_fendleri",0.78,0.22,"closed",0,1
"Ceanothus_foliosus",0.32,0.68,"open",1,1
"Ceanothus_fresnensis",0.9,0.1,"closed",0,1
"Ceanothus_gloriosus",1,0,"closed",0,1
"Ceanothus_greggii",0.42,0.58,"open",1,1
"Ceanothus_griseus",0.4,0.6,"open",1,1
"Ceanothus_hearstiorum",0,1,"open",1,0
"Ceanothus_herbaceus",0.33,0.67,"open",1,1
"Ceanothus_impressus",0,1,"open",1,0
"Ceanothus_incanus",0.65,0.35,"closed",1,1
"Ceanothus_integerrimus",0.62,0.38,"closed",1,1
"Ceanothus_jepsonii",0.14,0.86,"open",1,0
"Ceanothus_lanuginosus",0.5,0.5,"closed",1,1
"Ceanothus_lemmonii",0.59,0.41,"closed",1,1
"Ceanothus_leucodermis",0.03,0.97,"open",1,0
"Ceanothus_martinii",0.36,0.64,"open",1,1
