"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Ruellia_acutangula",1,0,"closed",0,1
"Ruellia_adenocalyx",0,1,"open",1,0
"Ruellia_affinis",0.88,0.12,"closed",0,1
"Ruellia_alboviolacea",1,0,"closed",0,1
"Ruellia_amoena",1,0,"closed",0,1
"Ruellia_amplexicaulis",0,1,"open",1,0
"Ruellia_anaticollis",0.4,0.6,"open",1,1
"Ruellia_angustiflora",0.61,0.39,"closed",1,1
"Ruellia_ansericollis",0.5,0.5,"closed",1,1
"Ruellia_antiquorum",1,0,"closed",0,1
"Ruellia_asperula",0.1,0.9,"open",1,0
"Ruellia_beyrichiana",0.2,0.8,"open",1,0
"Ruellia_blechioides",1,0,"closed",0,1
"Ruellia_blechum",0.9,0.1,"closed",0,1
"Ruellia_boranica",0,1,"open",1,0
"Ruellia_bourgaei",0.86,0.14,"closed",0,1
"Ruellia_brandbergensis",0,1,"open",1,0
"Ruellia_breedlovei",1,0,"closed",0,1
"Ruellia_brevicaulis",0.87,0.13,"closed",0,1
"Ruellia_brevifolia",0.73,0.27,"closed",1,1
"Ruellia_bulbifera",0.26,0.74,"open",1,1
"Ruellia_capitata",0,1,"open",1,0
"Ruellia_caroliniensis",0.97,0.03,"closed",0,1
"Ruellia_cearensis",0.67,0.33,"closed",1,1
"Ruellia_cedilloi",1,0,"closed",0,1
"Ruellia_chariessa",1,0,"closed",0,1
"Ruellia_chartacea",1,0,"closed",0,1
"Ruellia_conzattii",1,0,"closed",0,1
"Ruellia_cordata",0.21,0.79,"open",1,0
"Ruellia_costaricensis",1,0,"closed",0,1
"Ruellia_costata",0.21,0.79,"open",1,0
"Ruellia_curviflora",1,0,"closed",0,1
"Ruellia_davisiorum",0.67,0.33,"closed",1,1
"Ruellia_densa",1,0,"closed",0,1
"Ruellia_detonsa",0,1,"open",1,0
"Ruellia_devosiana",0.25,0.75,"open",1,0
"Ruellia_discifolia",0.17,0.83,"open",1,0
"Ruellia_diversifolia",0,1,"open",1,0
"Ruellia_drummondiana",0,1,"open",1,0
"Ruellia_elegans",0.43,0.57,"open",1,1
"Ruellia_eriocalyx",0,1,"open",1,0
"Ruellia_erythropus",0.41,0.59,"open",1,1
"Ruellia_eumorphantha",1,0,"closed",0,1
"Ruellia_eurycodon",0,1,"open",1,0
"Ruellia_exilis",1,0,"closed",0,1
"Ruellia_exserta",0.86,0.14,"closed",0,1
"Ruellia_filicalyx",0.5,0.5,"closed",1,1
"Ruellia_floribunda",0.69,0.31,"closed",1,1
"Ruellia_fruticosa",1,0,"closed",0,1
"Ruellia_fulgens",1,0,"closed",0,1
"Ruellia_fulgida",0.89,0.11,"closed",0,1
"Ruellia_geminiflora",0.45,0.55,"open",1,1
"Ruellia_glischrocalyx",1,0,"closed",0,1
"Ruellia_gracilis",0.88,0.12,"closed",0,1
"Ruellia_guerrerensis",1,0,"closed",0,1
"Ruellia_haenkeana",0.88,0.12,"closed",0,1
"Ruellia_hapalotricha",0,1,"open",1,0
"Ruellia_harveyana",1,0,"closed",0,1
"Ruellia_hirsutoglandulosa",0.67,0.33,"closed",1,1
"Ruellia_hookeriana",0.95,0.05,"closed",0,1
"Ruellia_humboldtiana",0.89,0.11,"closed",0,1
"Ruellia_humilis",0.3,0.7,"open",1,1
"Ruellia_hygrophila",0.13,0.87,"open",1,0
"Ruellia_incomta",0.12,0.88,"open",1,0
"Ruellia_inflata",0.95,0.05,"closed",0,1
"Ruellia_insignis",0,1,"open",1,0
"Ruellia_intermedia",0.79,0.21,"closed",0,1
"Ruellia_inundata",0.99,0.01,"closed",0,1
"Ruellia_jaliscana",1,0,"closed",0,1
"Ruellia_japurensis",1,0,"closed",0,1
"Ruellia_jussieuoides",0.7,0.3,"closed",1,1
"Ruellia_kerrii",1,0,"closed",0,1
"Ruellia_lactea",0.74,0.26,"closed",1,1
"Ruellia_laslobasensis",1,0,"closed",0,1
"Ruellia_latibracteata",1,0,"closed",0,1
"Ruellia_latisepala",0,1,"open",1,0
"Ruellia_leucantha",0.75,0.25,"closed",0,1
"Ruellia_longepetiolata",1,0,"closed",0,1
"Ruellia_longifilamentosa",1,0,"closed",0,1
"Ruellia_longipedunculata",0.71,0.29,"closed",1,1
"Ruellia_macrosolen",0.18,0.82,"open",1,0
"Ruellia_magniflora",0.42,0.58,"open",1,1
"Ruellia_malaca",0.64,0.36,"closed",1,1
"Ruellia_matagalpae",0.96,0.04,"closed",0,1
"Ruellia_matudae",1,0,"closed",0,1
"Ruellia_maya",1,0,"closed",0,1
"Ruellia_mcvaughii",1,0,"closed",0,1
"Ruellia_menthoides",0.94,0.06,"closed",0,1
"Ruellia_metallica",1,0,"closed",0,1
"Ruellia_metzae",0.2,0.8,"open",1,0
"Ruellia_morongii",0.1,0.9,"open",1,0
"Ruellia_multifolia",0.54,0.46,"closed",1,1
"Ruellia_nitida",1,0,"closed",0,1
"Ruellia_nobilis",0.75,0.25,"closed",0,1
"Ruellia_noctiflora",1,0,"closed",0,1
"Ruellia_nocturna",0,1,"open",1,0
"Ruellia_novogaliciana",1,0,"closed",0,1
"Ruellia_nudiflora",0.57,0.43,"closed",1,1
"Ruellia_nummularia",0,1,"open",1,0
"Ruellia_oaxacana",1,0,"closed",0,1
"Ruellia_paniculata",0.44,0.56,"open",1,1
"Ruellia_parryi",0.1,0.9,"open",1,0
"Ruellia_patula",0.15,0.85,"open",1,0
"Ruellia_pearcei",0.92,0.08,"closed",0,1
"Ruellia_pedunculosa",1,0,"closed",0,1
"Ruellia_pereducta",0.97,0.03,"closed",0,1
"Ruellia_petiolaris",1,0,"closed",0,1
"Ruellia_pringlei",1,0,"closed",0,1
"Ruellia_prostrata",0.21,0.79,"open",1,0
"Ruellia_proxima",0.94,0.06,"closed",0,1
"Ruellia_purshiana",1,0,"closed",0,1
"Ruellia_pygmaea",1,0,"closed",0,1
"Ruellia_rubra",0.97,0.03,"closed",0,1
"Ruellia_ruiziana",0.93,0.07,"closed",0,1
"Ruellia_rusbyi",1,0,"closed",0,1
"Ruellia_saccata",1,0,"closed",0,1
"Ruellia_sanguinea",0.63,0.37,"closed",1,1
"Ruellia_sarukhaniana",1,0,"closed",0,1
"Ruellia_saulensis",1,0,"closed",0,1
"Ruellia_simplex",0.41,0.59,"open",1,1
"Ruellia_siraensis",1,0,"closed",0,1
"Ruellia_sororia",1,0,"closed",0,1
"Ruellia_speciosa",0.7,0.3,"closed",1,1
"Ruellia_spissa",0.97,0.03,"closed",0,1
"Ruellia_standleyi",1,0,"closed",0,1
"Ruellia_stemonacanthoides",0.93,0.07,"closed",0,1
"Ruellia_steyermarkii",0.75,0.25,"closed",0,1
"Ruellia_strepens",0.38,0.62,"open",1,1
"Ruellia_subsessilis",1,0,"closed",0,1
"Ruellia_tarapotana",1,0,"closed",0,1
"Ruellia_terminale",0.95,0.05,"closed",0,1
"Ruellia_togoensis",0.47,0.53,"open",1,1
"Ruellia_tuberosa",0.55,0.45,"closed",1,1
"Ruellia_tubiflora",1,0,"closed",0,1
"Ruellia_tuxtlensis",1,0,"closed",0,1
"Ruellia_verbasciformis",0,1,"open",1,0
"Ruellia_villosa",0.33,0.67,"open",1,1
"Ruellia_yurimaguensis",1,0,"closed",0,1
