"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Sisymbrium_altissimum",0.58,0.42,"closed",1,1
"Sisymbrium_austriacum",0.72,0.28,"closed",1,1
"Sisymbrium_brassiciforme",0.09,0.91,"open",1,0
"Sisymbrium_burchellii",0,1,"open",1,0
"Sisymbrium_capense",0,1,"open",1,0
"Sisymbrium_erysimoides",0.03,0.97,"open",1,0
"Sisymbrium_heteromallum",0.33,0.67,"open",1,1
"Sisymbrium_irio",0.19,0.81,"open",1,0
"Sisymbrium_linifolium",0.26,0.74,"open",1,1
"Sisymbrium_loeselii",0.6,0.4,"closed",1,1
"Sisymbrium_luteum",1,0,"closed",0,1
"Sisymbrium_officinale",0.32,0.68,"open",1,1
"Sisymbrium_orientale",0.3,0.7,"open",1,1
"Sisymbrium_polyceratium",0.03,0.97,"open",1,0
"Sisymbrium_polymorphum",0.4,0.6,"open",1,1
"Sisymbrium_strictissimum",0.87,0.13,"closed",0,1
"Sisymbrium_volgense",0.89,0.11,"closed",0,1
