"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Thelymitra_aggericola",1,0,"closed",0,1
"Thelymitra_albiflora",0,1,"open",1,0
"Thelymitra_alcockiae",0,1,"open",1,0
"Thelymitra_alpicola",0.78,0.22,"closed",0,1
"Thelymitra_antennifera",0.16,0.84,"open",1,0
"Thelymitra_aristata",0.93,0.07,"closed",0,1
"Thelymitra_benthamiana",0.07,0.93,"open",1,0
"Thelymitra_campanulata",0,1,"open",1,0
"Thelymitra_canaliculata",0,1,"open",1,0
"Thelymitra_circumsepta",0.94,0.06,"closed",0,1
"Thelymitra_cornicina",0,1,"open",1,0
"Thelymitra_crinita",0,1,"open",1,0
"Thelymitra_cucullata",0,1,"open",1,0
"Thelymitra_cyanea",0.82,0.18,"closed",0,1
"Thelymitra_frenchii",0,1,"open",1,0
"Thelymitra_graminea",0,1,"open",1,0
"Thelymitra_grandiflora",0,1,"open",1,0
"Thelymitra_holmesii",0.82,0.18,"closed",0,1
"Thelymitra_juncifolia",0.73,0.27,"closed",1,1
"Thelymitra_longifolia",0.73,0.27,"closed",1,1
"Thelymitra_macrophylla",0,1,"open",1,0
"Thelymitra_media",0.88,0.12,"closed",0,1
"Thelymitra_mucida",0,1,"open",1,0
"Thelymitra_pauciflora",0,1,"open",1,0
"Thelymitra_tigrina",0,1,"open",1,0
"Thelymitra_uliginosa",0,1,"open",1,0
"Thelymitra_venosa",1,0,"closed",0,1
"Thelymitra_villosa",0,1,"open",1,0
"Thelymitra_xanthotricha",0,1,"open",1,0
