"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Ampelopsis_arborea",0.79,0.21,"closed",0,1
"Ampelopsis_cantoniensis",1,0,"closed",0,1
"Ampelopsis_delavayana",1,0,"closed",0,1
"Ampelopsis_grossedentata",1,0,"closed",0,1
"Ampelopsis_megalophylla",1,0,"closed",0,1
"Cayratia_acris",0.41,0.59,"open",1,1
"Cayratia_mollissima",1,0,"closed",0,1
"Cissus_alata",0.91,0.09,"closed",0,1
"Cissus_apendiculata",1,0,"closed",0,1
"Cissus_araguainensis",0.67,0.33,"closed",1,1
"Cissus_assamica",1,0,"closed",0,1
"Cissus_bahiensis",0.23,0.77,"open",1,0
"Cissus_blanchetiana",0.64,0.36,"closed",1,1
"Cissus_cactiformis",0.12,0.88,"open",1,0
"Cissus_campestris",0.25,0.75,"open",1,0
"Cissus_cornifolia",0.05,0.95,"open",1,0
"Cissus_decidua",0.2,0.8,"open",1,0
"Cissus_descoingsii",0.97,0.03,"closed",0,1
"Cissus_duarteana",0.41,0.59,"open",1,1
"Cissus_elongata",1,0,"closed",0,1
"Cissus_erosa",0.68,0.32,"closed",1,1
"Cissus_fuliginea",0.95,0.05,"closed",0,1
"Cissus_gongylodes",1,0,"closed",0,1
"Cissus_hastata",0.48,0.52,"open",1,1
"Cissus_javana",0.98,0.02,"closed",0,1
"Cissus_neei",1,0,"closed",0,1
"Cissus_obliqua",0.94,0.06,"closed",0,1
"Cissus_paraensis",1,0,"closed",0,1
"Cissus_paullinifolia",1,0,"closed",0,1
"Cissus_pinnatifolia",0.33,0.67,"open",1,1
"Cissus_pseudoverticillata",1,0,"closed",0,1
"Cissus_pteroclada",1,0,"closed",0,1
"Cissus_reniformis",0.08,0.92,"open",1,0
"Cissus_repens",0.79,0.21,"closed",0,1
"Cissus_serroniana",0.93,0.07,"closed",0,1
"Cissus_spinosa",0.51,0.49,"closed",1,1
"Cissus_stipulata",0.96,0.04,"closed",0,1
"Cissus_sulcicaulis",0.83,0.17,"closed",0,1
"Cissus_surinamensis",0.9,0.1,"closed",0,1
"Cissus_tiliacea",0.82,0.18,"closed",0,1
"Cissus_tinctoria",0.75,0.25,"closed",0,1
"Cissus_trianae",0.95,0.05,"closed",0,1
"Cissus_ulmifolia",1,0,"closed",0,1
"Cissus_verticillata",0.7,0.3,"closed",1,1
"Leea_aculeata",1,0,"closed",0,1
"Leea_aequata",0.97,0.03,"closed",0,1
"Leea_angulata",0.97,0.03,"closed",0,1
"Leea_asiatica",1,0,"closed",0,1
"Leea_compactiflora",1,0,"closed",0,1
"Leea_coryphantha",1,0,"closed",0,1
"Leea_gonioptera",1,0,"closed",0,1
"Leea_guineensis",0.78,0.22,"closed",0,1
"Leea_indica",0.83,0.17,"closed",0,1
"Leea_longifolia",1,0,"closed",0,1
"Leea_macrophylla",1,0,"closed",0,1
"Leea_macropus",1,0,"closed",0,1
"Leea_papuana",1,0,"closed",0,1
"Leea_philippinensis",1,0,"closed",0,1
"Leea_rubra",0,1,"open",1,0
"Leea_spinea",1,0,"closed",0,1
"Parthenocissus_dalzielii",1,0,"closed",0,1
"Parthenocissus_quinquefolia",0.69,0.31,"closed",1,1
"Rhoicissus_revoilii",0.48,0.52,"open",1,1
"Rhoicissus_tomentosa",0.38,0.62,"open",1,1
"Rhoicissus_tridentata",0.36,0.64,"open",1,1
"Tetrastigma_dubium",1,0,"closed",0,1
"Tetrastigma_lauterbachianum",1,0,"closed",0,1
"Tetrastigma_leucostaphylum",0.9,0.1,"closed",0,1
"Tetrastigma_obovatum",1,0,"closed",0,1
"Tetrastigma_rumicispermum",1,0,"closed",0,1
"Tetrastigma_voinierianum",0.5,0.5,"closed",1,1
"Vitis_acerifolia",0.02,0.98,"open",1,0
"Vitis_aestivalis",0.88,0.12,"closed",0,1
"Vitis_amurensis",0.96,0.04,"closed",0,1
"Vitis_arizonica",0.51,0.49,"closed",1,1
"Vitis_betulifolia",0.98,0.02,"closed",0,1
"Vitis_bryoniifolia",0.98,0.02,"closed",0,1
"Vitis_californica",0.36,0.64,"open",1,1
"Vitis_cinerea",0.62,0.38,"closed",1,1
"Vitis_coignetiae",1,0,"closed",0,1
"Vitis_davidii",0.99,0.01,"closed",0,1
"Vitis_ficifolia",1,0,"closed",0,1
"Vitis_flexuosa",1,0,"closed",0,1
"Vitis_girdiana",0,1,"open",1,0
"Vitis_heyneana",1,0,"closed",0,1
"Vitis_monticola",0.27,0.73,"open",1,1
"Vitis_palmata",0.73,0.27,"closed",1,1
"Vitis_riparia",0.53,0.47,"closed",1,1
"Vitis_rupestris",0.42,0.58,"open",1,1
"Vitis_tiliifolia",0.93,0.07,"closed",0,1
"Vitis_vulpina",0.63,0.37,"closed",1,1
"Yua_thomsonii",1,0,"closed",0,1
