"species","closed_canopy","open_canopy","main_habitat","area_open","area_closed"
"Callisthene_erythroclada",0,1,"open",1,0
"Callisthene_fasciculata",0.3,0.7,"open",1,1
"Callisthene_major",0.12,0.88,"open",1,0
"Callisthene_microphylla",0.31,0.69,"open",1,1
"Erisma_arietinum",0.75,0.25,"closed",0,1
"Erisma_bracteosum",1,0,"closed",0,1
"Erisma_floribundum",0.86,0.14,"closed",0,1
"Erismadelphus_exsul",0.85,0.15,"closed",0,1
"Korupodendron_songweanum",0.83,0.17,"closed",0,1
"Qualea_acuminata",1,0,"closed",0,1
"Qualea_cordata",0.35,0.65,"open",1,1
"Qualea_cryptantha",0.59,0.41,"closed",1,1
"Qualea_dinizii",0.82,0.18,"closed",0,1
"Qualea_grandiflora",0.31,0.69,"open",1,1
"Qualea_insignis",0,1,"open",1,0
"Qualea_magna",1,0,"closed",0,1
"Qualea_multiflora",0.27,0.73,"open",1,1
"Qualea_paraensis",0.95,0.05,"closed",0,1
"Salvertia_convallariodora",0.28,0.72,"open",1,1
"Vochysia_acuminata",0.41,0.59,"open",1,1
"Vochysia_allenii",1,0,"closed",0,1
"Vochysia_angustifolia",0.92,0.08,"closed",0,1
"Vochysia_bifalcata",0.86,0.14,"closed",0,1
"Vochysia_catingae",1,0,"closed",0,1
"Vochysia_cinnamomea",0.07,0.93,"open",1,0
"Vochysia_condorensis",1,0,"closed",0,1
"Vochysia_dasyantha",0.33,0.67,"open",1,1
"Vochysia_elliptica",0.09,0.91,"open",1,0
"Vochysia_emarginata",0.37,0.63,"open",1,1
"Vochysia_ferruginea",0.91,0.09,"closed",0,1
"Vochysia_gardneri",0.1,0.9,"open",1,0
"Vochysia_grandis",1,0,"closed",0,1
"Vochysia_guianensis",0.95,0.05,"closed",0,1
"Vochysia_haenkeana",0.51,0.49,"closed",1,1
"Vochysia_lehmannii",0.94,0.06,"closed",0,1
"Vochysia_mapirensis",0.97,0.03,"closed",0,1
"Vochysia_maxima",1,0,"closed",0,1
"Vochysia_microphylla",0,1,"open",1,0
"Vochysia_riedeliana",0.91,0.09,"closed",0,1
"Vochysia_rufa",0.13,0.87,"open",1,0
"Vochysia_splendens",1,0,"closed",0,1
"Vochysia_thyrsoidea",0.21,0.79,"open",1,0
"Vochysia_tucanorum",0.34,0.66,"open",1,1
