"Group","f00_t01_a","f01_t00_a","f01_t11_a","f11_t01_a","f00_t01_b","f01_t00_b","f01_t11_b","f11_t01_b","tn_00_a","tn_01_a","tn_11_a","tn_00_b","tn_01_b","tn_11_b","ef_00_a","ef_01_a","ef_11_a","ef_00_b","ef_01_b","ef_11_b","hidden_incl","turn_differ","trans_differ","both_differ","ntip"
"Allium",0.881835627298754,0.630244974833557,0.24942174903969,0.130342964868021,0.881835627298754,0.630244974833557,0.24942174903969,0.130342964868021,0.433878621006417,0.433878621006417,0.433878621006417,3.80716147892418,3.80716147892418,3.80716147892418,0.319275621175464,0.319275621175464,0.319275621175464,0.877023189961837,0.877023189961837,0.877023189961837,0.998,0.997,0.226,0.225,309
"Alysseae",3.98622222150542,3.99760575889099,81.9751502968833,35.9146513224007,3.98622222150542,3.99760575889099,81.9751502968833,35.9146513224007,1.40081746122753,1.40081746122753,1.40081746122753,1.40081746122753,1.40081746122753,1.40081746122753,0.658652893296847,0.658652893296847,0.658652893296847,0.658652893296847,0.658652893296847,0.658652893296847,0.411,0.103,0.012,0.005,60
"Anarcardiaceae",9.93479285196505,99.7802165215091,18.7837607788858,99.9871979424598,0.00763788283029518,0.0679829230772107,0.0289720859432872,0.0429559000904449,1.07494370817753,1.07494370817753,1.07494370817753,0.366510183308012,0.366510183308012,0.366510183308012,0.760381198948527,0.760381198948527,0.760381198948527,0.760381198948527,0.760381198948527,0.760381198948527,1,0.994,0.822,0.817,250
"Annonaceae",0.0459979488837388,3.71893456606624e-07,0.0454578622228443,0.476524484196432,0.0459979488837388,3.71893456606624e-07,0.0454578622228443,0.476524484196432,0.47929481297382,0.47929481297382,0.47929481297382,1.02925906540455,1.02925906540455,1.02925906540455,0.6542466856953,3,2.04768995059716,0.6542466856953,3,2.04768995059716,1.001,0.578,0.237,0.11,188
"Antirrhineae",6.66570294232538,8.7621766979723,2.43772060346384e-09,0.206407818337044,0.303587038702921,0.16962390515274,3.14483229582179,0.477149780983237,0.661458856672062,0.661458856672062,0.661458856672062,0.138725842245268,0.138725842245268,0.138725842245268,3,0.168104990003797,3.51462791365919e-09,3,0.168104990003797,3.51462791365919e-09,1,0.975,0.577,0.576,191
"Apioideae",0.151451721241214,0.0913057664759176,0.329341766038609,0.173490757033524,1.24077037556191,0.96789020455659,0.467835602398807,0.0977642237102989,0.573554988181886,0.573554988181886,0.573554988181886,1.69427174346334,1.69427174346334,1.69427174346334,0.317883547596857,0.598609170032459,0.713481825206654,0.317883547596857,0.598609170032459,0.713481825206654,1,1,1,1,847
"Apocynaceae",0.0881631431047206,7.03660859847253e-08,0.0295900498750712,0.250208567489142,0.0934259050530284,0.468342482294527,3.24080126744113,5.25275719222317,1.26482216578496e-08,7.78814071505131e-08,0.43053002656288,0.772294734217329,376.702074049477,3.92060530878051,0.632521465706936,1.03854547085419,0.0809739864938857,0.632521465706936,1.03854547085419,0.0809739864938857,1,1,1,1,733
"Arabideae",0.0870857276321551,0.0764793258642107,100,99.5305430638786,43.2298903131767,56.2521719585471,2.09269183034484,1.52944591902449,0.390430799547904,0.390430799547904,0.390430799547904,12.584338020764,12.584338020764,12.584338020764,3.66689080008786e-06,3.66689080008786e-06,3.66689080008786e-06,0.90485433070303,0.90485433070303,0.90485433070303,0.999,0.999,0.938,0.938,226
"Araceae",31.1521098963588,99.6618329151752,0.0190176366264543,0.0352342781215877,31.1521098963588,99.6618329151752,0.0190176366264543,0.0352342781215877,0.887800343324249,0.887800343324249,0.887800343324249,0.396487645797134,0.396487645797134,0.396487645797134,0.782492391899244,0.782492391899244,0.782492391899244,0.782492391899244,0.782492391899244,0.782492391899244,0.847,0.704,0.217,0.208,96
"Arecaceae",0.0523600879775994,0.897068464963645,0.0398412053310479,0.160637950212326,0.00724954355028396,0.0611565789578513,0.0790798630849411,0.0689775820361613,0.206213591840459,0.476168458160547,0.352935752058695,0.0627096020752351,0.123355115791097,0.00658841523104984,0.0701427274949441,0.0701427274949441,0.0701427274949441,0.0701427274949441,0.0701427274949441,0.0701427274949441,1,1,1,1,1460
"Begonia",0.137305984373731,1.05524221771436e-05,0.166995546371715,2.06138833358266e-09,0.137305984373731,1.05524221771436e-05,0.166995546371715,2.06138833358266e-09,1.10031203798405,16.2488369222516,4.25848223545241,0.569251673126189,1.86385230599231,2.06115362243856e-09,0.176690350661757,3,0.561350225287657,0.176690350661757,3,0.561350225287657,0.999,0.855,0.364,0.26,301
"Bignonieae",33.6109680868426,78.0115119594867,0.207873161762114,0.970460076029637,33.6109680868426,78.0115119594867,0.207873161762114,0.970460076029637,0.121115413311165,0.121115413311165,0.121115413311165,7.13611477433427e-08,7.13611477433427e-08,7.13611477433427e-08,2.21110947282478e-08,2.21110947282478e-08,2.21110947282478e-08,2.21110947282478e-08,2.21110947282478e-08,2.21110947282478e-08,0.642,0.431,0.048,0.012,99
"Bombacoideae",3.02979156074519,3.74106094860026,0.273771025087916,0.266022199019247,0.43980705803775,8.98460436835259,3.3218044274393e-07,0.0962657870165915,1.29885301682811,1.29885301682811,1.29885301682811,0.261228621220055,0.261228621220055,0.261228621220055,0.940036426626659,0.940036426626659,0.940036426626659,0.940036426626659,0.940036426626659,0.940036426626659,0.939,0.674,0.802,0.562,93
"Bulbophyllum",0.049299928718332,0.16157806267889,1.46089366076897,3.89732839234086,0.0169340232221662,0.527715065091024,2.06115362243856e-09,0.568489013664289,7.99225305546984,7.99225305546984,7.99225305546984,0.529753027677011,0.529753027677011,0.529753027677011,0.928962710595546,0.928962710595546,0.928962710595546,0.291412203564975,0.291412203564975,0.291412203564975,1,1,0.659,0.659,178
"Cardamineae",49.5387306220874,95.4725852461083,46.3622960544299,100,26.9338547845526,57.6902258266991,0.0126352193134264,0.0754705868535329,0.723385992601004,0.723385992601004,0.723385992601004,0.275601450681796,0.275601450681796,0.275601450681796,4.45529251395858e-08,4.45529251395858e-08,4.45529251395858e-08,4.45529251395858e-08,4.45529251395858e-08,4.45529251395858e-08,0.998,0.973,0.828,0.804,125
"Carex",0.00803941700672633,0.0426551739929467,0.41328941467298,0.754228978196573,0.0576887479486598,1.31879275138452,0.305904958074416,1.44582653687014,0.188082528835394,0.255715084100333,2.06115362243856e-09,0.688430537865309,1.31259176611021,0.410756448993056,0.236665052943409,2.06144716938702e-09,1.54082570864018e-06,3,2.06115362243856e-09,0.0950012874743957,1,1,1,1,991
"Chamaecrista",3.5298354217005,0.493139900659956,0.47208232286126,0.0762742908296504,2.08533796774273e-09,0.00503199711117438,1.24468991843486,1.94449889847099,1.14583976949689,1.14583976949689,1.14583976949689,0.169374106054668,0.169374106054668,0.169374106054668,2.06384600846574e-09,2.06384600846574e-09,2.06384600846574e-09,2.06384600846574e-09,2.06384600846574e-09,2.06384600846574e-09,0.998,0.961,0.967,0.937,93
"Chrysobalanaceae",0.0478536793129533,0.645618498935489,2.06115362243856e-09,2.06115362243856e-09,0.047494428471152,0.332878156558373,0.0904891180232261,0.0566291987426911,0.282782704347025,3.19253892250509,0.154729237673939,0.282782704347025,3.19253892250509,0.154729237673939,0.809777729155934,0.809777729155934,0.809777729155934,0.809777729155934,0.809777729155934,0.809777729155934,1,0.599,0.651,0.253,134
"Croton",0.101727067772898,0.112605980255701,0.194683642071222,0.328953477679816,0.101727067772898,0.112605980255701,0.194683642071222,0.328953477679816,0.299960626398314,0.299960626398314,0.299960626398314,0.712576238350401,0.712576238350401,0.712576238350401,0.27560374759109,0.935915797423387,0.377966492823564,0.27560374759109,0.935915797423387,0.377966492823564,0.998,0.751,0.254,0.06,253
"Cyclanthaceae",1.95250463096262,97.6608179250886,2.55603303959964e-09,1.96259492768943e-08,1.95250463096262,97.6608179250886,2.55603303959964e-09,1.96259492768943e-08,3.45762322330872e-08,3.45762322330872e-08,3.45762322330872e-08,0.248107628611703,0.248107628611703,0.248107628611703,0.268114292136146,0.268114292136146,0.268114292136146,0.268114292136146,0.268114292136146,0.268114292136146,0.727,0.538,0.012,0.01,51
"Ericaceae",0.0652032276759303,0.412442821949156,0.00224153301096438,0.0313829085689002,0.027385165644709,0.605570952123022,0.166235812964023,2.06198178801486e-09,0.523389995894097,0.328133895482327,0.751934961987922,1.60159660707705,6.77851476425691,0.219530302544064,0.823356520503335,0.823356520503335,0.823356520503335,0.823356520503335,0.823356520503335,0.823356520503335,1,0.999,0.989,0.988,386
"Erysimeae",2.3744884016887,2.33831581029759,1.57574177502565,0.821218368048246,2.3744884016887,2.33831581029759,1.57574177502565,0.821218368048246,0.452871312709388,0.452871312709388,0.452871312709388,0.452871312709388,0.452871312709388,0.452871312709388,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,2.06115362243856e-09,0.411,0.098,0.027,0.005,62
"Eucalypts",0.210106310081375,1.55020042159412,4.7740300272798,100,1.9849494099549,0.18014354014457,8.23340140323506,0.104375063200697,0.034002250077719,4.09490119960216,6.55313740723989e-05,3.68632818644546,12.1302029860852,0.117773725811936,0.239684509993481,0.767491040829353,0.568342410584356,0.239684509993481,0.767491040829353,0.568342410584356,1,1,1,1,665
"Fagales",6.88278994382955e-08,0.07607549060833,0.00900416285944444,0.113296357664006,15.3967336265787,100,0.0401068076500648,0.939237799615992,0.242693912206958,0.285840444701144,0.267101963181081,1.14299454429863,3.62313030400464,0.842144747070594,0.960905430649171,0.882827023215985,0.0503762008306342,0.960905430649171,0.882827023215985,0.0503762008306342,1,1,1,1,501
"Ficus",0.012033533179144,0.0697332355502327,0.0370943531991383,0.124407655347793,0.012033533179144,0.0697332355502327,0.0370943531991383,0.124407655347793,0.219215661472302,0.219215661472302,0.219215661472302,0.0819996828693843,0.0819996828693843,0.0819996828693843,0.231023037081253,0.231023037081253,0.231023037081253,0.231023037081253,0.231023037081253,0.231023037081253,0.998,0.726,0.195,0.112,254
"Hakea",8.01686903694609,97.1414059570174,0.243377420055694,0.00675035119384336,8.01686903694609,97.1414059570174,0.243377420055694,0.00675035119384336,0.119029337206144,0.119029337206144,0.119029337206144,0.00472663186514714,0.00472663186514714,0.00472663186514714,6.93669117322755e-09,6.93669117322755e-09,6.93669117322755e-09,6.93669117322755e-09,6.93669117322755e-09,6.93669117322755e-09,0.995,0.987,0.143,0.136,137
