"lnLik","k","AIC","dAIC","AICwt"
-3127.5516423666,5,6263.1032847332,164.693655413093,1.24345839691807e-36
-3086.18058045746,8,6186.36116091493,87.9515315948174,5.74079067151271e-20
-3310.39362757389,10,6638.78725514779,540.377625827676,3.28014931912311e-118
-3284.50205355453,16,6599.00410710907,500.594477788959,1.42788899727412e-109
-3574.53758125856,14,7175.07516251712,1076.66553319701,1.15466013830932e-234
-3310.14351120256,10,6638.28702240513,539.877393085017,4.21228525700006e-118
-3185.10860077481,7,6382.21720154963,283.807572229515,1.69579309981856e-62
-4626.95959762066,10,9271.91919524131,3173.5095659212,0
-3045.79195346134,12,6113.58390692268,15.1742776025749,0.000365049383868391
-4607.97220516817,20,9253.94441033634,3155.53478101623,0
-3034.20481466006,16,6098.40962932011,0,0.72011877595255
-3309.84704005459,14,6645.69408010917,547.284450789064,1.03775690088571e-119
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-3072.96035396397,10,6163.92070792793,65.5110786078249,4.28404637213475e-15
-3118.84618504553,7,6249.69237009106,151.282740770954,1.01572086206916e-33
-3085.17084572962,10,6188.34169145924,89.9320621391307,2.13257821290849e-20
-3305.37345340973,12,6632.74690681945,534.337277499341,6.72262038421325e-117
-4532.82907764964,20,9103.65815529928,3005.24852597917,0
-3079.27331573123,16,6188.54663146247,90.1370021423554,1.92487623992788e-20
-3052.43611546135,14,6130.87223092269,32.4626016025823,6.43042626162507e-08
-3092.58318035999,9,6201.16636071997,102.756731399862,3.49996274780713e-23
-3082.86397927535,12,6187.7279585507,89.3183292305894,2.898513822434e-20
-4616.61792001177,14,9259.23584002354,3160.82621070343,0
-4386.44915993075,24,8818.8983198615,2720.48869054139,0
-3304.18376734824,18,6642.36753469649,543.957905376377,5.47577744181095e-119
-3061.82075684468,18,6157.64151368936,59.2318843692547,9.89381686877137e-14
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-3039.1511708942,12,6100.3023417884,1.89271246829139,0.279516110359216
