"lnLik","k","AIC","dAIC","AICwt"
-543.144947131211,5,1094.28989426242,42.9613366411556,2.70069677555288e-10
-538.882324228104,8,1091.76464845621,40.4360908349418,9.54610013100168e-10
-520.003482433342,10,1058.00696486668,6.67840724541702,0.0204274350278062
-517.296077304299,16,1064.5921546086,13.2635969873311,0.000759028449581634
-518.548676850972,14,1063.09735370194,11.7687960806761,0.00160269154898658
-517.287335814097,10,1052.57467162819,1.2461140069272,0.308902431351641
-543.068760676667,7,1098.13752135333,46.8089637320675,3.94433886542501e-11
-542.241639421021,10,1102.48327884204,51.1547212207756,4.49060618714825e-12
-522.636841304592,12,1067.27368260918,15.9451249879169,0.000198596526073297
-511.220117951668,20,1060.44023590334,9.11167828206862,0.00605111972434513
-542.937718475959,16,1115.87543695192,64.5468793306504,5.54925633429504e-15
-518.916834105887,14,1063.83366821177,12.5051105905075,0.0011090759366441
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-519.919943573886,10,1057.83988714777,6.51132952650505,0.0222072255490208
-542.403540465258,7,1096.80708093052,45.4785233092491,7.67141868468670e-11
-559.814872464723,10,1137.62974492945,86.3011873081787,1.04796512552224e-19
-520.776110302138,12,1063.55222060428,12.2236629830081,0.00127666471123334
-515.25455610316,20,1068.50911220632,17.1805545850532,0.000107078312663756
-518.460244795065,16,1066.92048959013,15.5919319688626,0.000236955359986574
-517.174409528369,14,1060.34881905674,9.02026143547005,0.00633412546831238
-542.339112571143,9,1100.67822514229,49.3496675210185,1.10730535721616e-11
-540.176018858896,12,1102.35203771779,51.0234800965256,4.79516569267083e-12
-512.664278810634,14,1051.32855762127,0,0.575985492851099
-507.045446467372,24,1060.09089293474,8.76233531347771,0.00720600580293336
-511.202079167133,18,1056.40415833427,5.07560071299986,0.0455259329189086
-521.269950731067,18,1076.53990146213,25.2113438408676,1.93124685446125e-06
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-520.293678824348,12,1062.5873576487,11.2588000274288,0.00206820785270799
