"lnLik","k","AIC","dAIC","AICwt"
-1015.20324736766,5,2038.40649473531,120.709264994109,6.04880485435829e-27
-1012.65578737289,8,2039.31157474578,121.614345004572,3.84710417352512e-27
-971.269584034777,10,1960.53916806955,42.8419383283492,4.90167733484782e-10
-948.186426740954,16,1926.37285348191,8.67562374070235,0.0128666552775803
-955.487256048653,14,1936.97451209731,19.2772823560995,6.41718777803634e-05
-956.448160216421,10,1930.89632043284,13.1990906916362,0.00134031629502534
-1014.48310053018,7,2040.96620106035,123.268971319145,1.68204034110922e-27
-1019.42925411196,10,2056.85850822393,139.161278482723,5.95478045901243e-31
-981.444180325843,12,1984.88836065169,67.1911309104796,2.52920907093574e-15
-939.848614870603,20,1917.69722974121,0,0.984812209745314
-980.242910821962,16,1990.48582164392,72.7885919027178,1.53996737410496e-16
-963.58582317212,14,1953.17164634424,35.474416603035,1.95066070144789e-08
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-995.678677188658,10,2009.35735437732,91.6601246361099,1.22916519515506e-20
-1015.24042932356,7,2042.48085864713,124.783628905921,7.88737866763434e-28
-1012.33969439467,10,2042.67938878933,124.982159048127,7.14204231366813e-28
-959.23950557766,12,1940.47901115532,22.781781414114,1.11263430561768e-05
-961.175373192448,20,1960.3507463849,42.6535166436895,5.38592086793685e-10
-983.032112291864,16,1996.06422458373,78.3669948425213,9.46622259709605e-18
-971.223456629644,14,1968.44691325929,50.7496835180816,9.40155452776307e-12
-1014.4627670535,9,2044.925534107,127.228304365795,2.32315485902885e-28
-1012.04601153481,12,2046.09202306963,128.394793328423,1.2965172534629e-28
-988.433464536492,14,2002.86692907298,85.1696993317789,3.15491891442927e-19
-944.462597118355,24,1934.92519423671,17.2279644955045,0.00017879215826891
-984.336659929205,18,2002.67331985841,84.9760901172044,3.47560096034635e-19
-949.060296709073,18,1932.12059341815,14.4233636769409,0.000726707758203711
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-990.400796527017,12,2002.80159305403,85.1043633128274,3.25968578082224e-19
