"lnLik","k","AIC","dAIC","AICwt"
-1515.99501108572,5,3039.99002217145,144.56015094861,3.45362277708407e-32
-1485.45057038897,8,2984.90114077795,89.4712695551098,3.16718550825746e-20
-1480.18160275477,10,2978.36320550954,82.9333342867044,8.32469070346027e-19
-1465.85492474864,16,2961.70984949728,66.279978274441,3.44031665009196e-15
-1474.99772903629,14,2975.99545807258,80.5655868497461,2.71968076585061e-18
-1483.28473526262,10,2984.56947052523,89.1395993023957,3.73847759198183e-20
-1469.03564646258,7,2950.07129292517,54.6414217023271,1.15845419240097e-12
-1461.28265212973,10,2940.56530425946,45.1354330366248,1.34300638328222e-10
-1440.43239422331,12,2902.86478844662,7.43491722377894,0.0206367388359771
-1452.0089087963,20,2942.01781759259,46.5879463697556,6.49634101063355e-11
-1432.71493561142,16,2895.42987122284,0,0.849401121214786
-1446.10050710302,14,2918.20101420603,22.7711429831957,9.64765928965316e-06
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-1448.59429577364,10,2915.18859154728,19.7587203244402,4.3507209267416e-05
-1499.06000252199,7,3010.12000504399,114.690133821147,1.05795380845936e-25
-1563.83084840389,10,3145.66169680778,250.231825584946,3.90806974639814e-55
-1485.21378602422,12,2992.42757204843,96.9977008255928,7.35071723882034e-22
-1449.02445370389,20,2936.04890740777,40.6190361849312,1.28469842666679e-09
-1450.54083496562,16,2931.08166993123,35.6517987083944,1.53965389653794e-08
-1468.24030867402,14,2962.48061734804,67.0507461252014,2.34006706967738e-15
-1468.73710673771,9,2953.47421347542,58.0443422525809,2.11321681105523e-13
-1458.6740414762,12,2939.34808295239,43.9182117295554,2.46827943790103e-10
-1440.04040615323,14,2906.08081230647,10.6509410836297,0.0041332374912425
-1454.38617380696,24,2954.77234761393,59.3424763910871,1.10422559721557e-13
-1432.6250504331,18,2899.25010086621,3.82022964336784,0.125765205002411
-1445.82003400334,18,2925.64006800668,30.2101967838394,2.33911702389436e-07
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-1448.03589959734,12,2918.07179919468,22.6419279718448,1.02915465087224e-05
