"closed","widespread","open"
1,8.4016953146378e-18,5.54001991410376e-19
1,2.08610157226345e-21,1.31241533367626e-31
1,4.66131326144358e-22,1.97827730885519e-34
1,6.92024137801604e-20,6.23594800231447e-31
1,5.18968147396296e-21,1.32907339380978e-32
1,1.63791459863378e-20,6.55063423116424e-32
1,7.92385334560204e-22,5.22392712097317e-34
1,2.10689266314284e-22,4.71368746362726e-35
1,3.57079167444956e-21,1.9745985988457e-33
0.999999999999965,3.4880072958944e-14,1.60817838076795e-26
1,1.39715009398485e-21,1.41599098784087e-33
1,3.25395037513213e-21,7.89258496597311e-33
1,1.06837459982553e-21,1.04139173508478e-33
1,1.66274615861092e-21,2.38728181041144e-33
1,3.22356677269078e-21,8.95411275029611e-33
1,5.70245268913516e-21,2.38227203048721e-32
1,7.09719662161092e-21,3.10711909084792e-32
1,1.98819240994211e-21,3.27760633216447e-33
1,6.63089730033919e-22,3.5121072935314e-34
1,1.66091677974537e-21,1.98477077448855e-33
1,3.67502775545431e-20,7.79382137827094e-31
1,8.65231562296265e-21,3.67197004972808e-32
1,4.10245821808523e-21,1.08976653944669e-32
1,1.2040122276388e-20,8.34950224588387e-32
1,5.21277195636654e-21,1.3672530632932e-32
1,2.44807435389441e-20,2.34583136117464e-31
1,2.31252745794115e-20,2.53547704742393e-31
1,2.15760884167893e-20,1.96310853311463e-31
1,1.11081936610421e-20,7.56736366566893e-32
1,3.31816023198929e-20,3.69587232988202e-31
1,8.42888746405017e-21,3.9558220832096e-32
1,2.81415181142632e-21,6.69842354119496e-33
1,1.42753793515264e-20,1.0508187846571e-31
1,5.24276749511206e-21,2.11310961394577e-32
1,2.18962210083053e-21,2.31430810856821e-33
1,9.66628421288905e-22,6.86414307716338e-34
1,1.40097653591052e-21,1.33192368973943e-33
1,6.90318704898961e-21,1.59163230486298e-32
1,1.32921991719465e-20,6.7459619419301e-32
1,4.61873496287599e-21,1.1322790791496e-32
1,8.78990313519521e-22,7.19724341899249e-34
1,2.00573943472539e-20,2.02916223230122e-31
1,1.63011256964202e-20,1.22456645661111e-31
1,2.3663246528607e-20,1.98317782491172e-31
1,2.38784883686296e-20,2.34011882169278e-31
1,9.15830750622775e-20,1.71220633134437e-30
1,4.38916211576771e-20,7.46825603007059e-31
1,1.55490981647492e-19,4.54790931615136e-30
1,3.64028536951359e-20,2.17984389136901e-31
1,3.17842002761803e-20,2.4726233117945e-31
1,2.28707185126177e-20,2.42878801448185e-31
1,2.46936250291867e-21,3.95502021510577e-33
1,7.74915968276664e-21,2.6578643765812e-32
1,2.49897604147041e-19,2.76536783982205e-30
0.999999999906159,9.3840698202197e-11,7.55459455839876e-22
1,1.3451351079385e-17,5.68004711859303e-29
1,2.4209104538572e-18,8.38100810647779e-29
0.999999999718441,2.8155929329971e-10,8.24754009900008e-21
1,1.14026080355795e-19,1.16177088090564e-30
1,4.94522292167677e-21,1.92519612281167e-32
1,6.31748523270454e-21,3.9128943868061e-32
0.0520233461058238,0.947976653719489,1.74687405731094e-10
1,9.65877544943879e-20,1.47252428053391e-30
1,5.36413798756634e-20,8.32215168909151e-31
1,1.27367843702663e-19,2.29284381391137e-30
1,4.54014733826593e-20,5.43737845657826e-31
1,3.66952438886088e-20,4.7672985910401e-31
1,1.51705947741645e-19,4.39943810672039e-30
1,5.25019320497721e-20,4.63681515909547e-31
1,4.27853020390485e-20,2.73147956644677e-31
1,2.91846162888958e-21,5.3634785715399e-33
1,1.50464889413024e-20,5.93980120486786e-32
1,5.84628596600027e-21,2.00683157018168e-32
1,1.36545275062044e-21,1.48276506143489e-33
1,4.82604494701449e-22,2.17724261229891e-34
1,2.96384670615109e-21,5.15326356759072e-33
1,2.12725047205633e-20,1.92921525293692e-31
1,1.56841579579288e-20,1.29640395664771e-31
1,7.62838552881842e-21,4.20210733748572e-32
1,3.29007153515367e-20,4.38814662381979e-31
