"clade","nTip","p_LRT.M3.M1","p_LRT.M3.M2","meanTransA","meanTurnA","meanNetDivA","meanTransB","meanTurnB","meanNetDivB","slopeTurn","slopeNetDiv"
"Fagales",526,"<0.0001","<0.0001",0.047,0.192,0.067,29.712,1.75,0.096,19.041,1003.673
"Onagraceae",267,"<0.0001","<0.0001",60.611,6.069,0.037,0.004,0.221,0.112,10.364,-810.197
"Carex",1221,"<0.0001","<0.0001",0.09,0.182,0.182,4.171,0.591,0.591,9.976,9.976
"Arecaceae",2202,"<0.0001","<0.0001",0.038,0.046,0.046,0.265,0.181,0.181,1.687,1.687
"Salvia",484,"<0.0001","<0.0001",0.032,0.156,0.156,0.165,0.395,0.395,0.555,0.555
"Eucalypts",691,"<0.0001","<0.0001",0.572,1.342,0.971,0.049,0.069,0.069,0.411,0.579
"Antirrhineae",276,"<0.0001","<0.0001",1.172,0.292,0.107,0.965,0.537,0.537,-0.844,-0.481
"Mimosoids_Ringelberg_et_al_2023",1758,"<0.0001","<0.0001",0.512,0.136,0.119,0.229,0.311,0.311,-1.617,-1.478
"NeoAstragalus",364,"<0.0001","0.002",0.389,0.907,0.907,5.684,0,0,-5.838,-5.838
"Arabideae",320,"<0.0001","<0.0001",45.238,6.054,0.903,92.244,0.323,0.323,-8.202,-80.968
"Apioideae",1033,"1","1",0.134,0.283,0.202,0.493,1.51,0.446,0.293,1.469
"Mimosoids",1000,"1","<0.0001",0.063,0.348,0.2,0.219,1.141,0.64,0.197,0.355
"Restionaceae",332,"1","1",0.079,0.121,0.121,0.199,0.018,0.018,-1.158,-1.158
