"wcvp_name","gbif_name"
"Horsfieldia amplomontana","Horsfieldia amplomontana W.J.de Wilde"
"Horsfieldia amygdalina","Horsfieldia amygdalina (Wall. ex Hook.fil. & Thomson) Warb."
"Horsfieldia amygdalina var. lanata","Horsfieldia amygdalina var. lanata W.J.de Wilde"
"Horsfieldia amygdalina var. macrocarpa","Horsfieldia amygdalina var. macrocarpa W.J.de Wilde"
"Horsfieldia androphora","Horsfieldia androphora W.J.de Wilde"
"Horsfieldia angularis","Horsfieldia angularis W.J.de Wilde"
"Horsfieldia ardisiifolia","Horsfieldia ardisiifolia (A.DC.) Warb."
"Horsfieldia aruana","Horsfieldia aruana (Blume) W.J.de Wilde"
"Horsfieldia atjehensis","Horsfieldia atjehensis W.J.de Wilde"
"Horsfieldia australiana","Horsfieldia australiana S.T.Blake"
"Horsfieldia basifissa","Horsfieldia basifissa W.J.de Wilde"
"Horsfieldia borneensis","Horsfieldia borneensis W.J.de Wilde"
"Horsfieldia brachiata","Horsfieldia brachiata (King) Warb."
"Galeopsis × carinthiaca","Galeopsis ×carinthiaca Porsch ex Fiori"
"Horsfieldia carnosa","Horsfieldia carnosa Warb."
"Horsfieldia clavata","Horsfieldia clavata W.J.de Wilde"
"Horsfieldia coriacea","Horsfieldia coriacea W.J.de Wilde"
"Horsfieldia corrugata","Horsfieldia corrugata Foreman"
"Horsfieldia coryandra","Horsfieldia coryandra W.J.de Wilde"
"Horsfieldia costulata","Horsfieldia costulata (Miq.) Warb."
"Horsfieldia crassifolia","Horsfieldia crassifolia (Hook.fil. & Thomson) Warb."
"Horsfieldia crux-melitensis","Horsfieldia crux-melitensis Markgr."
"Horsfieldia decalvata","Horsfieldia decalvata W.J.de Wilde"
"Horsfieldia discolor","Horsfieldia discolor W.J.de Wilde"
"Horsfieldia disticha","Horsfieldia disticha W.J.de Wilde"
"Horsfieldia elongata","Horsfieldia elongata W.J.de Wilde"
"Horsfieldia endertii","Horsfieldia endertii W.J.de Wilde"
"Horsfieldia flocculosa","Horsfieldia flocculosa (King) Warb."
"Horsfieldia fragillima","Horsfieldia fragillima Airy-Shaw"
"Horsfieldia glabra","Horsfieldia glabra (Reinw. ex Blume) Warb."
